DateTime,Entries,UniqueIPs
1468369062,252,252
1468372667,246,246
1468376381,247,247
1468379775,232,232
1468383482,236,236
1468387156,237,237
1468390633,242,242
1468394187,237,237
1468397887,237,237
1468401456,241,241
1468405094,234,234
1468408628,236,236
1468412250,239,239
1468415883,236,236
1468419519,237,237
1468423116,237,237
1468426734,238,238
1468430299,236,236
1468434001,236,236
1468437444,236,236
1468441210,234,234
1468444670,233,233
1468448273,234,234
1468451818,236,236
1468455600,254,254
1468459031,256,256
1468462952,255,255
1468466262,237,237
1468469818,235,235
1468473604,241,241
1468477068,239,239
1468480666,237,237
1468484238,236,236
1468487796,235,235
1468491425,236,236
1468494994,236,236
1468498651,231,231
1468502286,231,231
1468505832,234,234
1468509545,238,238
1468512997,238,238
1468516593,238,238
1468520223,233,233
1468523769,233,233
1468527397,233,233
1468530944,225,225
1468534710,228,228
1468538330,232,232
1468541930,246,246
1468545434,249,249
1468549380,252,252
1468552672,245,245
1468556368,244,244
1468559975,244,244
1468563488,238,238
1468567426,237,237
1468571077,235,235
1468574854,238,238
1468578263,238,238
1468581934,240,240
1468585496,238,238
1468589153,238,238
1468592671,234,234
1468596282,224,224
1468599875,222,222
1468603060,236,236
1468606645,239,239
1468610270,240,240
1468613847,244,244
1468617485,242,242
1468621156,249,249
1468624687,248,248
1468628404,274,274
1468631941,277,277
1468635639,276,276
1468638993,251,251
1468642637,247,247
1468646266,250,250
1468649750,247,247
1468653327,250,250
1468656992,250,250
1468660649,251,251
1468664175,252,252
1468667789,253,253
1468671419,252,252
1468675025,250,250
1468678698,252,252
1468682252,250,250
1468685859,249,249
1468689439,250,250
1468693012,251,251
1468696626,253,253
1468700317,253,253
1468703767,251,251
1468707487,248,248
1468711010,248,248
1468714712,271,271
1468718268,269,269
1468721869,271,271
1468725450,251,251
1468729044,252,252
1468732645,250,250
1468736258,250,250
1468739885,252,252
1468743448,253,253
1468747053,250,250
1468750637,248,248
1468754232,245,245
1468757919,246,246
1468761389,247,247
1468765084,248,248
1468768596,249,249
1468772255,248,248
1468775827,248,248
1468779457,242,242
1468782999,240,240
1468786587,244,244
1468790177,247,247
1468793929,247,247
1468797438,247,247
1468801164,258,258
1468804666,264,264
