DateTime,AddedIPs,RemovedIPs
1462990121,1,1
1462997372,1,0
1463022538,0,1
1463047690,1,0
1463062118,0,1
1463072985,1,0
1463091000,0,1
1463098265,3,0
1463112595,0,1
1463116139,1,0
1463141386,0,1
1463152158,1,0
1463173753,0,1
1463177349,1,0
1463216936,0,1
1463238560,1,0
1463263778,0,1
1463274521,1,0
1463289007,0,1
1463296132,1,0
1463314132,0,1
1463317732,1,0
1463353722,0,1
1463357395,1,0
1463432893,0,1
1463436557,1,0
1463447435,1,0
1463458149,0,1
1463472557,0,1
1463487004,0,1
1463490526,1,0
1463497742,0,1
1463512140,1,0
1463526587,0,1
1463540988,0,1
1463648953,0,1
1463666950,1,0
1463699375,0,1
1463706601,1,1
1463731808,1,0
1463746256,1,0
1463771336,0,2
1463775028,1,0
1463785806,1,0
1463793107,0,1
1463796718,1,0
1463803898,0,1
1463810934,1,1
1463814640,1,0
1463818214,0,1
1463821758,1,0
1463900941,1,0
1463915339,0,2
1463919012,1,0
1463922541,1,0
1463936958,0,1
1463940596,1,0
1463954987,0,1
1463958550,1,0
1463965804,0,1
1463987359,1,0
1463994528,0,1
1464001736,1,0
1464008982,0,1
1464019784,1,0
1464073729,1,0
1464080937,0,1
1464084568,1,1
1464091777,0,2
1464095385,1,0
1464149398,0,1
1464153040,1,0
1464160192,1,0
1464167359,0,1
1464203368,2,0
1464228638,0,2
1464242975,2,0
1464264564,0,2
1464282547,2,0
1464286223,0,1
1464297026,0,2
1464300872,2,0
1464314959,0,2
1464318555,3,0
1464329336,1,0
1464343762,0,1
1464347388,0,3
1464361770,2,0
1464372569,1,0
1464386960,0,3
1464390544,1,0
1464401482,0,1
1464408599,1,0
1464480822,0,1
1464495020,1,0
1464538194,0,1
1464541776,1,0
1464570553,0,1
1464577745,1,0
1464610181,0,1
1464620926,1,0
1464639004,0,1
1464646176,1,0
1464703753,0,1
1464721795,1,0
1464736144,0,2
1464747007,2,0
1464761342,0,1
1464764996,0,1
1464782950,1,1
1464786563,1,0
1464790194,1,0
1464811742,0,1
1464826174,1,0
1464829776,1,0
1464833603,0,1
1464844185,0,1
1464851339,1,0
1464854973,1,0
1464865761,0,1
1464876570,1,0
1464880159,0,1
1464890982,1,0
1464912664,1,0
1464926933,0,1
1464930607,1,0
1464962941,0,1
1464970124,1,0
1465002592,1,0
1465006234,0,1
1465016949,1,1
1465085284,1,0
1465088960,1,0
1465099762,0,1
1465103394,1,0
1465106962,0,2
1465110598,1,1
1465114135,2,0
1465121343,1,1
1465124954,1,0
1465139329,0,1
1465157351,0,2
1465168190,0,1
1465171766,1,0
1465175342,0,1
1465179002,1,0
1465186184,1,2
1465193380,0,1
1465196959,1,0
1465200545,1,1
1465204144,1,0
1465207748,1,0
1465211357,0,1
1465214979,3,1
1465218526,1,1
1465222151,1,0
1465229364,0,1
1465232929,0,1
1465236614,1,1
1465243770,0,2
1465250953,1,1
1465254596,1,0
1465258165,1,0
1465265400,0,1
1465268942,1,2
1465276135,0,1
1465279758,1,0
1465283365,0,1
1465290530,1,0
1465304968,0,1
1465315802,2,0
1465330174,0,1
1465337344,0,1
1465344554,2,0
1465348190,1,1
1465352030,1,0
1465366146,0,1
1465369760,0,1
1465373413,0,1
1465380557,1,0
1465391432,0,1
1465394937,0,1
1465398561,2,0
1465402199,1,0
1465405776,0,1
1465413083,2,1
1465416621,1,0
1465427366,0,1
1465431014,0,2
1465448965,1,0
1465452552,1,0
1465456202,1,0
1465466936,0,1
1465474140,1,1
1465477750,1,1
1465488559,0,1
1465506560,1,0
1465517473,1,0
1465521195,0,1
1465607349,0,1
1465611143,1,0
1465780155,0,1
1465787346,1,0
1465805369,0,1
1465809043,0,1
1465812568,1,0
1465819807,0,1
1465823395,1,0
1465830570,1,0
1465841428,0,1
1465845047,1,1
1465848555,1,1
1465852189,1,0
1465866575,0,2
1465870409,1,0
1465877424,1,0
1465891722,0,1
1465902591,0,1
1465906212,1,0
1465909743,1,0
1465956587,0,1
1465985408,0,1
1465992621,1,0
1466006934,0,1
1466014141,1,0
1466028578,0,1
1466035862,1,0
1466043128,1,1
1466046592,0,1
1466050203,1,0
