DateTime,AddedIPs,RemovedIPs
1463497467,0,1
1463504727,2,0
1463511882,0,1
1463519077,0,2
1463526312,2,0
1463537305,1,0
1463540730,0,1
1463544253,1,1
1463551462,1,1
1463558647,0,2
1463562280,1,0
1463565848,0,1
1463569497,2,0
1463573071,1,0
1463587474,0,1
1463591062,1,0
1463605475,0,1
1463616348,1,1
1463620031,1,0
1463630737,0,2
1463637883,1,0
1463641474,1,0
1463648691,0,1
1463652283,0,1
1463655950,1,1
1463659585,1,0
1463663060,1,0
1463677474,0,1
1463681065,1,1
1463699110,1,0
1463702675,0,1
1463710034,1,2
1463713594,1,1
1463720808,1,0
1463731536,1,1
1463738740,1,0
1463746002,0,1
1463749541,0,1
1463753151,1,0
1463760324,1,0
1463767561,0,1
1463778311,1,0
1463782051,0,1
1463785540,1,0
1463789121,0,2
1463792836,1,1
1463810668,0,1
1463814367,0,1
1463817915,1,0
1463821496,0,1
1463825119,2,0
1463835989,1,0
1463882711,0,1
1463886298,1,0
1463893614,0,1
1463897189,1,0
1463907928,0,1
1463911491,1,0
1463922277,0,1
1463943898,0,1
1463951086,2,0
1463961949,1,0
1463965549,0,1
1463969473,0,1
1463979954,1,0
1463983465,1,2
1463990690,2,0
1464008712,0,1
1464012283,1,0
1464015913,0,1
1464026670,0,1
1464030357,2,0
1464051898,0,1
1464059088,0,1
1464066414,2,0
1464069951,0,1
1464080678,0,1
1464084303,0,1
1464087948,1,0
1464095100,1,1
1464102329,1,0
1464120309,0,2
1464123893,1,0
1464127599,1,1
1464138404,0,1
1464142075,1,0
1464145477,1,0
1464156309,0,1
1464159928,1,0
1464167090,0,1
1464174330,1,1
1464177907,1,0
1464181509,0,1
1464188718,0,1
1464192326,1,0
1464199554,1,0
1464217455,0,1
1464221088,1,0
1464239096,0,1
1464242707,1,0
1464249904,0,1
1464253515,1,0
1464257065,0,1
1464271467,0,1
1464278730,1,0
1464282275,1,0
1464314684,0,1
1464325595,1,0
1464339925,0,1
1464347116,1,0
1464365085,0,1
1464379500,0,1
1464390273,1,0
1464393846,0,1
1464401209,1,0
1464429944,0,1
1464433507,1,0
1464447942,0,1
1464451467,1,0
1464458699,1,0
1464516309,0,1
1464559526,1,0
1464585921,0,1
1464589519,1,1
1464596721,1,0
1464600332,0,1
1464603918,1,0
1464627922,0,1
1464631497,1,0
1464645898,0,1
1464660297,1,0
1464663877,0,1
1464681894,1,0
1464717896,0,1
1464732289,1,0
1464746738,0,1
1464764712,1,0
1464786295,1,0
1464789914,0,1
1464797119,1,0
1464822290,0,1
1464836694,1,1
1464843921,1,0
1464851069,0,1
1464854705,1,0
1464869121,0,1
1464883492,1,1
1464890696,1,0
1464908689,0,2
1464912381,1,1
1464919581,1,0
1464941142,1,0
1464955484,0,1
1464959071,1,0
1464973481,0,1
1465005964,0,1
1465009484,1,0
1465031120,1,0
1465041916,0,1
1465056253,1,1
1465081532,1,0
1465095903,0,1
1465099479,1,0
1465139061,0,1
1465153463,1,0
1465160662,0,1
1465164328,1,0
1465171485,0,1
1465175073,1,0
1465185918,0,1
1465189565,1,1
1465232664,1,0
1465239887,0,1
1465243490,1,0
1465250675,0,1
1465257884,1,0
1465301080,0,1
1465311894,0,1
1465326284,0,1
1465329897,1,0
1465347910,1,0
1465365876,0,2
1465369489,2,0
1465383880,0,1
1465405491,0,1
1465409096,1,0
1465412819,1,0
1465423468,0,1
1465445147,1,0
1465473864,0,1
1465481096,1,0
1465502676,0,1
1465506280,1,1
1465517201,1,0
1465531501,0,1
1465571086,1,0
1465589082,0,1
1465603508,0,1
1465607073,2,0
1465621519,0,3
1465625069,1,0
1465628673,2,0
1465646735,0,1
1465661099,1,0
1465689900,0,1
1465693530,1,0
1465729476,0,1
1465747489,1,0
1465815922,0,1
1465826683,1,0
1465870142,0,1
1465873476,1,0
1465927500,0,1
1465931078,1,0
1465934677,0,1
1465938286,1,0
1465970696,0,1
1465974298,1,0
1466013878,0,1
1466017615,1,0
1466024729,0,2
1466031904,1,0
1466067908,0,1
1466085875,2,0
1466089490,0,1
1466096683,1,0
1466125527,0,1
1466129359,1,0
1466147117,0,1
1466150730,1,0
1466183074,0,1
1466190327,0,1
1466197464,1,0
1466201151,0,1
1466204675,2,0
1466255123,0,1
1466265877,1,0
1466269482,0,1
1466273098,1,0
1466294935,0,1
1466298514,0,1
1466302206,1,0
1466316348,0,1
1466323475,1,0
1466327074,1,0
1466330709,0,1
1466334315,1,0
1466366704,0,1
1466373901,1,1
1466377478,1,0
1466409889,0,1
1466413514,1,0
1466442314,0,1
1466467645,1,1
1466481985,1,1
1466489086,1,0
1466525092,0,1
1466528672,1,0
1466543123,0,1
1466550331,1,0
1466564672,0,1
1466568324,1,0
1466571909,0,1
1466575523,1,0
1466582687,0,1
1466589929,1,0
1466622316,0,1
1466625893,0,1
1466640330,1,0
1466643894,1,0
1466651075,0,1
1466669109,1,1
1466697912,0,1
1466705072,1,0
1466712293,1,0
1466726644,0,2
1466730330,2,0
1466751886,0,1
1466755541,0,1
1466759077,1,0
1466766289,1,1
1466769948,1,0
1466773465,0,1
1466780685,1,0
1466795101,0,2
1466798655,1,0
1466809483,1,0
1466845470,0,1
1466849121,0,1
1466852687,2,0
1466867090,0,2
1466877877,1,0
1466885134,1,0
1466892298,0,1
1466913889,1,0
1466928321,0,1
1466935477,1,0
1466960702,0,1
1466964415,1,0
1466975108,0,1
1466978781,0,1
1466982311,2,0
1466989532,0,1
1466996668,1,1
1467003876,1,0
1467029084,0,1
1467032696,1,0
1467097501,0,1
1467104699,0,1
1467108317,2,0
1467122719,0,1
1467144274,0,1
