DateTime,AddedIPs,RemovedIPs
1465232973,1,1
1465236659,1,2
1465240223,1,1
1465243814,1,1
1465247478,1,1
1465250997,1,1
1465254641,1,1
1465258210,18,1
1465261792,0,1
1465265453,4,2
1465268987,1,10
1465272572,1,2
1465276182,1,1
1465279799,1,5
1465283411,1,2
1465286987,1,1
1465290574,2,1
1465294204,2,1
1465297806,1,1
1465301401,2,1
1465305011,1,1
1465308587,1,1
1465312278,2,1
1465315849,0,2
1465319390,1,1
1465322985,1,1
1465326607,1,0
1465330218,1,2
1465333823,1,2
1465337390,2,1
1465341143,1,1
1465344601,21,1
1465348236,1,1
1465352077,2,1
1465355398,1,24
1465359053,1,3
1465362662,1,2
1465366190,1,1
1465369807,1,1
1465373467,1,1
1465376981,1,1
1465380600,1,1
1465384196,1,1
1465387800,2,1
1465391479,1,1
1465394983,1,2
1465398602,1,1
1465402243,1,2
1465405821,1,0
1465409428,1,1
1465413128,3,1
1465416667,2,1
1465420195,1,1
1465423789,1,1
1465427413,1,2
1465431063,17,1
1465434612,0,1
1465438372,0,2
1465441829,0,29
1465449008,1,0
1465456250,1,0
1465513800,0,1
1465517522,17,0
1465521220,2,0
1465528198,0,15
1465535375,0,1
1465603807,16,0
1465611170,1,2
1465614625,0,17
1465618292,0,1
1465672234,0,1
1465679374,1,0
1465690198,26,0
1465697609,0,2
1465700989,0,23
1465704652,0,1
1465751440,0,1
1465758607,1,0
1465776622,16,0
1465780198,1,0
1465787370,0,19
1465794626,0,1
1465863041,7,0
1465866598,2,0
1465873766,0,9
1465881021,0,1
1465949402,14,0
1465960233,0,23
1465963775,0,1
1466035892,8,0
1466039430,1,0
1466046613,0,23
1466064581,0,1
1466068216,1,0
1466100664,1,1
1466104198,1,0
1466111403,0,1
1466122193,17,0
1466125833,1,0
1466133031,0,9
1466136699,0,1
1466140300,0,1
1466147429,0,1
1466158212,1,0
1466172579,1,0
1466183381,0,1
1466187039,0,1
1466197780,1,0
1466204988,1,0
1466208636,26,0
1466212220,0,1
1466219400,0,11
1466223015,0,2
1466237385,0,1
1466269779,0,1
1466273387,1,0
1466295534,20,0
1466298837,0,1
1466305755,0,11
1466309439,1,1
1466320183,0,1
1466381460,20,0
1466384969,1,0
1466392164,0,16
1466399406,0,1
1466410171,0,1
1466467950,10,0
1466478602,0,24
1466482273,0,1
1466496584,1,0
1466543414,0,1
1466554174,14,0
1466557819,1,0
1466564980,0,15
1466579480,1,0
1466583024,0,1
1466586635,1,0
1466593851,0,1
1466597374,1,0
1466611803,0,1
1466615370,1,0
1466626200,0,1
1466629828,1,0
1466640653,29,1
1466644203,1,0
1466647914,0,1
1466651397,1,19
1466655060,0,3
1466658695,0,1
1466662170,1,0
1466676557,0,1
1466680244,0,1
1466683792,1,0
1466687365,1,0
1466726950,0,1
1466730624,12,1
1466734233,2,0
1466737848,1,0
1466741384,0,8
1466748555,0,2
1466762998,0,1
1466777399,1,0
1466813372,17,1
1466817115,1,0
1466824209,2,15
1466831424,0,1
1466838594,0,2
1466896228,0,1
1466899791,26,0
1466907068,1,0
1466910579,0,27
1466914186,0,1
1466935779,0,1
1466986253,25,0
1466993397,1,0
1466996965,1,6
1467004191,1,0
1467007765,1,0
1467011399,0,1
1467014981,0,1
1467029392,0,1
1467047447,1,0
1467065411,0,1
1467072636,26,0
1467076200,1,0
1467079840,1,0
1467083428,0,15
1467087018,0,1
1467090685,0,1
1467097808,1,0
1467112245,0,1
1467123004,0,1
1467133807,1,0
1467148223,0,2
1467158985,18,0
1467162600,1,0
1467166265,1,0
1467169766,0,29
1467173424,0,1
1467220198,0,1
1467223826,1,0
1467234595,0,1
1467238244,1,0
1467245376,22,0
1467249008,1,1
1467256232,0,24
1467259846,0,2
1467263410,0,1
1467274272,1,0
1467288627,1,1
1467299377,0,1
1467306567,1,0
1467310192,0,1
1467313760,1,0
1467321000,0,1
1467328248,1,1
1467331925,20,0
1467339082,0,1
1467342588,0,24
1467364190,1,0
1467418195,25,0
1467421825,1,0
1467425421,1,2
1467428966,0,19
1467432709,0,1
1467436206,0,1
1467439828,0,1
1467504688,12,0
1467515387,0,21
1467519129,0,1
1467591061,17,0
1467601788,1,19
1467605412,0,1
1467616182,0,1
1467677365,25,0
1467684799,0,1
1467688203,0,23
1467724195,0,1
1467727794,1,0
1467742216,0,1
1467745785,1,0
1467763786,13,1
1467767434,2,0
1467774557,0,13
1467781890,0,1
1467785370,1,0
1467788972,0,1
1467792567,0,1
1467796160,1,0
1467810559,0,1
1467814234,1,0
1467828570,0,1
1467832220,1,0
1467846658,0,1
1467850206,29,0
1467860996,0,15
1467871776,1,0
1467882585,0,1
1467893388,1,0
1467896984,0,1
1467936617,11,0
1467947432,0,25
1467951006,0,1
1468023174,15,0
1468033916,0,10
1468041234,1,0
1468051805,0,1
1468095083,1,0
1468105885,0,1
1468109418,16,0
1468113137,2,0
1468116890,0,1
1468120228,0,31
1468123884,0,1
1468127392,0,1
1468134592,1,0
1468141811,1,0
1468152655,0,1
1468195833,15,0
1468206628,0,12
1468249837,1,0
1468264255,0,1
1468282212,6,0
1468285800,1,0
1468292978,0,14
1468300323,0,1
1468368685,20,0
1468379341,0,16
1468455067,19,0
1468465805,0,15
1468541546,13,0
1468545052,1,0
1468548906,1,0
1468552278,1,6
1468555948,1,1
1468559565,1,1
1468563074,1,1
1468566957,1,1
1468570582,1,1
1468574163,1,1
1468577774,1,1
1468581408,1,1
1468584951,1,1
1468588603,1,1
1468592216,1,1
1468595773,1,1
1468599388,1,1
1468602615,1,1
1468606196,1,1
1468609793,1,1
1468613406,1,1
1468617001,1,1
1468620676,1,1
1468624198,1,1
1468627872,35,1
1468631432,1,1
1468635224,1,1
1468638598,1,23
1468642248,1,1
1468645918,1,1
1468649407,1,1
1468652980,1,1
1468656611,1,1
1468660213,1,1
1468663778,1,1
1468667402,1,1
1468671008,1,1
1468674603,1,1
1468678210,1,1
1468681790,1,1
1468685360,1,1
1468688989,1,1
1468692571,1,1
1468696167,1,1
1468699830,1,1
1468703372,1,1
1468707050,1,1
1468710627,1,1
1468714211,18,1
1468717812,1,1
1468721405,1,1
1468724970,1,19
1468728579,1,3
1468732182,1,1
1468735788,1,1
1468739443,1,1
1468742973,1,1
1468746581,1,1
1468750154,1,1
1468753771,1,1
1468757424,1,1
1468760984,1,1
1468764632,1,1
1468768187,1,1
1468771812,1,1
1468775355,1,1
1468778997,1,1
1468782573,1,1
1468786211,1,1
1468789773,1,1
1468793455,1,1
1468796997,1,1
1468800661,20,1
1468804198,2,1
1468807849,1,1
1468811391,0,13
1468815017,0,1
1468818590,1,3
1468876169,1,0
1468883423,0,1
1468886999,29,0
1468890613,1,0
1468894189,3,0
1468897854,0,35
1468904981,0,2
1468908603,1,2
1468915752,0,1
1468919375,1,0
1468926576,0,1
1468933759,1,0
1468937382,0,1
1468944575,1,0
1468955381,0,1
1468962565,1,0
1468973377,17,2
1468977028,2,0
1468980629,1,0
1468984183,0,12
1468987772,0,1
1468991477,0,1
1469009383,1,0
1469052598,0,1
1469056207,1,0
1469059913,18,0
1469067254,0,1
1469070626,1,17
1469077927,0,1
1469081390,0,1
1469085005,2,0
1469113811,0,1
1469142609,0,1
1469146346,16,0
1469149846,1,0
1469153442,0,1
1469157099,1,28
1469160610,1,0
