DateTime,AddedIPs,RemovedIPs
1468224083,2,1
1468227679,1,3
1468234940,3,2
1468238477,1,4
1468242087,3,1
1468245709,2,1
1468249313,0,1
1468253022,0,2
1468256540,0,1
1468260235,1,0
1468267279,0,3
1468271008,4,0
1468274539,1,1
1468278082,1,0
1468281681,0,2
1468285300,1,3
1468288890,0,1
1468292485,2,1
1468296140,2,0
1468299839,3,0
1468310484,0,3
1468314092,2,4
1468317681,1,4
1468321291,2,2
1468324880,2,0
1468328480,3,0
1468332085,1,1
1468335706,2,0
1468339308,1,3
1468342882,1,2
1468346505,1,0
1468350107,1,1
1468353741,1,2
1468357292,1,2
1468361006,1,0
1468364493,1,1
1468368204,0,2
1468371739,0,2
1468375309,2,0
1468378877,1,2
1468382541,4,0
1468389683,4,0
1468393279,2,1
1468396939,1,2
1468400509,3,2
1468404108,0,3
1468407707,1,1
1468411308,3,1
1468414908,1,4
1468418509,1,4
1468422083,2,2
1468425682,2,1
1468429308,2,0
1468432890,2,1
1468436477,0,3
1468440110,1,2
1468443694,0,3
1468447283,2,2
1468450883,2,0
1468454539,0,2
1468458139,2,0
1468461708,0,2
1468465285,3,1
1468468887,2,0
1468472483,1,0
1468479683,1,3
1468483282,3,2
1468486875,1,2
1468490476,3,1
1468494078,1,1
1468497688,1,3
1468501340,1,0
1468504906,3,1
1468508501,2,0
1468512109,0,1
1468515683,1,2
1468519311,1,5
1468522907,1,2
1468530109,1,2
1468533743,1,0
1468537300,0,3
1468540941,1,0
1468544485,1,1
1468548110,5,1
1468551709,3,0
1468555296,2,1
1468562506,1,3
1468566096,1,4
1468569704,0,4
1468573310,1,1
1468576904,3,2
1468580522,0,1
1468584096,1,1
1468587699,2,0
1468591311,0,4
1468594917,2,0
1468598498,0,1
1468602077,2,1
1468609293,0,1
1468612888,2,0
1468616507,1,0
1468620108,4,0
1468623705,1,1
1468627340,1,2
1468630927,2,1
1468634600,4,3
1468638103,1,1
1468641734,0,1
1468645336,0,1
1468648902,1,4
1468656102,3,0
1468659703,2,0
1468663299,0,2
1468666910,4,0
1468670499,0,2
1468674079,0,2
1468677685,2,0
1468681281,2,3
1468684904,2,2
1468688482,3,1
1468692081,0,1
1468695680,2,1
1468699309,0,1
1468702901,2,3
1468706541,1,2
1468710141,2,3
1468713689,1,0
1468717333,2,2
1468720901,3,0
1468724487,1,0
1468735302,2,3
1468738936,2,1
1468742486,2,2
1468746083,1,2
1468749682,1,2
1468753303,0,2
1468756911,1,2
1468760502,5,5
1468764138,3,1
1468767686,2,0
1468771291,1,1
1468774874,2,3
1468778501,0,4
1468782076,3,3
1468785707,3,0
1468789277,2,0
1468796504,1,1
1468800141,0,3
1468803695,1,0
1468807339,0,1
1468810882,0,1
1468814507,2,1
1468818084,2,1
1468825281,1,2
1468828886,3,0
1468832495,1,2
1468836081,2,1
1468839685,1,1
1468843311,1,2
1468846944,0,2
1468850480,0,1
1468857692,1,1
1468864909,0,3
1468868507,1,0
1468872108,2,1
1468875693,0,1
1468879298,3,0
1468882941,2,0
1468886480,0,1
1468890113,2,1
1468893682,0,1
1468897310,2,1
1468900882,0,1
1468904484,2,2
1468908139,3,1
1468911695,3,2
1468915287,3,0
1468918908,0,3
1468922539,2,2
1468926108,3,4
1468929694,2,2
1468933283,1,2
1468936880,1,2
1468940542,1,1
1468944084,2,1
1468947682,1,2
1468951289,1,1
1468954908,3,1
1468958494,0,2
1468962079,0,2
1468965678,2,2
1468969311,1,1
1468972892,1,2
1468976540,1,0
1468980142,2,2
1468983709,2,2
1468987293,1,0
1468991005,2,0
1468994491,2,3
1469001684,2,1
1469005279,1,2
1469008892,1,2
1469012480,4,1
1469016093,3,0
1469019686,1,1
1469023289,2,1
1469026893,1,3
1469030540,1,4
1469034103,1,2
1469037708,1,0
1469041280,0,1
1469044886,0,1
1469048486,0,1
1469052107,1,1
1469055689,1,3
1469066604,1,3
1469070138,2,1
1469073688,2,0
1469077293,1,0
1469080894,2,1
1469084508,1,2
1469088079,2,2
1469091691,4,0
1469095293,2,2
1469098888,1,0
