DateTime,AddedIPs,RemovedIPs
1469194352,16,9
1469196261,16,12
1469198184,20,10
1469200123,14,17
1469202024,11,7
1469203948,7,219
1469205866,22,147
1469207814,165,31
1469209797,7,6
1469211622,17,12
1469213546,24,10
1469215453,9,43
1469217385,21,12
1469219297,11,20
1469221244,14,17
1469223161,15,11
1469225054,33,16
1469226988,17,19
1469228906,5,18
1469230826,11,8
1469232753,9,12
1469234664,13,15
1469236583,8,11
1469238500,13,16
1469240444,10,15
1469242357,14,7
1469244259,9,14
1469246196,17,4
1469248109,11,7
1469250042,15,17
1469251964,11,15
1469253864,14,11
1469256018,13,15
1469257944,6,14
1469259862,14,19
1469261788,9,44
1469263711,21,34
1469265634,8,12
1469267565,10,17
1469269466,11,20
1469271407,26,27
1469273402,4,6
1469275247,25,9
1469277155,17,12
1469279071,10,9
1469280992,8,12
1469282907,5,17
1469284835,13,13
1469286752,9,10
1469288655,17,5
1469290589,12,6
1469292511,22,9
1469294432,14,159
1469296354,14,14
1469298261,9,20
1469300189,18,13
1469302127,9,13
1469304041,11,13
1469305960,25,17
1469307867,8,9
1469309801,22,16
1469311720,7,8
1469313784,9,13
1469315805,5,14
1469317716,14,13
1469319624,7,8
1469321558,12,13
1469323464,6,10
1469325385,18,20
1469327313,10,10
1469329268,11,7
1469331417,20,13
1469333318,6,17
1469335231,14,6
1469337146,6,29
1469339059,7,10
1469340993,10,13
1469342877,16,13
1469344813,5,14
1469346744,13,19
1469348648,8,70
1469350583,10,6
1469352509,12,15
1469354435,15,3
1469356344,10,10
1469358267,4,24
1469360192,7,11
1469362111,13,15
1469364023,13,17
1469365943,5,14
1469367861,13,4
1469369802,6,6
1469371711,13,9
1469373622,10,11
1469375549,11,19
1469377467,10,16
1469379378,19,11
1469381307,11,19
1469383298,22,11
1469385149,21,15
1469387089,13,14
1469388973,21,11
1469390907,13,14
1469392819,17,12
1469394752,26,13
1469396650,17,15
1469398619,38,5
1469400505,15,10
1469402422,10,5
1469404355,23,7
1469406260,10,6
1469408269,12,9
1469410110,4,10
1469412040,11,7
1469413950,22,7
1469415872,11,7
1469417802,12,11
1469419710,10,13
1469421648,12,7
1469423551,15,3
1469425463,14,6
1469427391,8,14
1469429520,13,7
1469431451,7,4
1469433389,11,5
1469435335,17,36
1469437237,19,3
1469439147,17,15
1469441069,11,20
1469442978,21,12
1469444906,17,11
1469446836,17,7
1469448754,8,10
1469450651,21,10
1469452596,24,7
1469454501,28,9
1469456412,8,6
1469458344,16,9
1469460253,8,11
1469462174,11,7
1469464111,10,10
1469466035,23,15
1469467946,11,18
1469469865,11,16
1469471787,15,12
1469473699,14,10
1469475631,16,15
1469477541,8,15
1469479458,23,12
1469481384,13,21
1469483306,19,14
1469485236,12,14
1469487161,9,15
1469489051,10,12
1469490981,16,14
1469492912,11,13
1469494842,17,10
1469496751,37,12
1469498668,28,15
1469500593,19,21
1469502602,8,16
1469504433,12,10
1469506350,9,15
1469508255,36,11
1469510190,12,27
1469512102,22,10
1469514036,7,17
1469515960,15,22
1469517849,11,7
1469519786,17,10
1469521702,10,54
1469523647,16,19
1469525556,16,14
1469527455,9,9
1469529378,11,20
1469531320,6,21
1469533236,16,8
1469535150,13,9
1469537065,21,18
1469539027,14,13
1469540919,13,15
1469542831,11,12
1469544752,11,19
1469546667,7,8
1469548591,16,13
1469550502,7,31
1469552441,22,9
1469554347,9,17
1469556280,15,10
1469558177,15,12
1469560098,12,10
1469562029,15,16
1469563945,11,7
1469565848,15,29
1469567812,10,19
1469569710,16,16
1469571622,10,9
1469573549,15,10
1469575468,11,12
1469577384,11,17
1469579330,15,18
1469581265,14,23
1469583145,10,20
1469585064,9,11
1469586998,15,16
1469588909,8,10
1469590828,24,10
1469592762,10,13
1469594739,30,40
1469596592,8,6
1469598518,9,17
1469600438,13,10
1469602352,21,15
1469604252,13,9
1469606195,12,8
1469608103,12,62
1469610035,17,9
1469611943,15,13
1469613892,12,9
1469615785,6,8
1469617725,12,11
1469619619,11,10
1469621679,14,17
1469623712,74,16
1469625619,14,11
1469627538,12,11
1469629448,7,11
1469631390,18,12
1469633298,8,5
1469635242,8,13
1469637157,14,9
1469639059,8,11
1469640984,355,11
1469642909,12,10
1469644836,21,11
1469646744,15,16
