DateTime,Entries,UniqueIPs
1469207814,1366,1366
1469209797,1367,1367
1469211622,1372,1372
1469213546,1386,1386
1469215453,1352,1352
1469217385,1361,1361
1469219297,1352,1352
1469221244,1349,1349
1469223161,1353,1353
1469225054,1370,1370
1469226988,1368,1368
1469228906,1355,1355
1469230826,1358,1358
1469232753,1355,1355
1469234664,1353,1353
1469236583,1350,1350
1469238500,1347,1347
1469240444,1342,1342
1469242357,1349,1349
1469244259,1344,1344
1469246196,1357,1357
1469248109,1361,1361
1469250042,1359,1359
1469251964,1355,1355
1469253864,1358,1358
1469256018,1356,1356
1469257944,1348,1348
1469259862,1343,1343
1469261788,1308,1308
1469263711,1295,1295
1469265634,1291,1291
1469267565,1284,1284
1469269466,1275,1275
1469271407,1274,1274
1469273402,1272,1272
1469275247,1288,1288
1469277155,1293,1293
1469279071,1294,1294
1469280992,1290,1290
1469282907,1278,1278
1469284835,1278,1278
1469286752,1277,1277
1469288655,1289,1289
1469290589,1295,1295
1469292511,1308,1308
1469294432,1163,1163
1469296354,1163,1163
1469298261,1152,1152
1469300189,1157,1157
1469302127,1153,1153
1469304041,1151,1151
1469305960,1159,1159
1469307867,1158,1158
1469309801,1164,1164
1469311720,1163,1163
1469313784,1159,1159
1469315805,1150,1150
1469317716,1151,1151
1469319624,1150,1150
1469321558,1149,1149
1469323464,1145,1145
1469325385,1143,1143
1469327313,1143,1143
1469329268,1147,1147
1469331417,1154,1154
1469333318,1143,1143
1469335231,1151,1151
1469337146,1128,1128
1469339059,1125,1125
1469340993,1122,1122
1469342877,1125,1125
1469344813,1116,1116
1469346744,1110,1110
1469348648,1048,1048
1469350583,1052,1052
1469352509,1049,1049
1469354435,1061,1061
1469356344,1061,1061
1469358267,1041,1041
1469360192,1037,1037
1469362111,1035,1035
1469364023,1031,1031
1469365943,1022,1022
1469367861,1031,1031
1469369802,1031,1031
1469371711,1035,1035
1469373622,1034,1034
1469375549,1026,1026
1469377467,1020,1020
1469379378,1028,1028
1469381307,1020,1020
1469383298,1031,1031
1469385149,1037,1037
1469387089,1036,1036
1469388973,1046,1046
