DateTime,AddedIPs,RemovedIPs
1469049144,2,0
1469049848,1,0
1469054909,0,10
1469055633,1,0
1469057782,0,1
1469062830,1,0
1469063546,0,1
1469064247,1,0
1469065709,1,0
1469071450,1,0
1469072906,0,1
1469075782,1,0
1469077946,1,0
1469079380,2,0
1469081542,2,0
1469083948,1,1
1469085373,3,0
1469086826,0,1
1469089704,1,1
1469099788,2,0
1469104823,1,0
1469105546,0,1
1469106261,1,0
1469117057,1,0
1469120902,0,1
1469121615,0,2
1469123051,1,0
1469124509,1,1
1469128816,2,1
1469129537,2,0
1469130991,1,1
1469133169,0,2
1469135296,2,0
1469136015,0,1
1469137448,1,0
1469138190,1,0
1469138899,2,0
1469139617,1,0
1469140357,1,0
1469141053,1,1
1469143936,2,0
1469144654,2,0
1469146834,1,1
1469147544,0,1
1469148980,1,1
1469151856,1,0
1469154745,0,1
1469155452,1,0
1469156182,1,0
1469156895,0,1
1469159782,0,1
1469161215,0,1
1469161934,0,1
1469164103,0,1
1469166249,0,1
1469167693,1,0
1469170579,0,1
1469172018,0,1
1469173446,0,2
1469176339,0,1
1469178513,1,0
1469179949,1,2
1469182096,1,0
1469183549,1,1
1469186434,1,0
1469187853,0,1
1469190040,0,1
1469193614,1,0
1469197219,0,1
1469198649,0,1
1469204413,0,1
1469205858,1,1
1469207297,0,1
1469210175,0,1
1469210893,1,0
1469212345,1,0
1469215221,0,1
1469216648,0,1
1469219554,1,1
1469224579,0,2
1469225303,1,0
1469226016,1,0
1469229632,1,1
1469230349,0,2
1469231051,1,0
1469236111,2,0
1469243318,1,0
1469244015,1,0
1469249054,1,0
1469253380,0,1
1469258417,1,0
1469259141,1,0
1469259847,0,1
1469260582,1,0
1469262015,0,1
1469264177,0,1
1469265619,1,1
1469267051,0,1
1469269212,0,1
1469274506,1,0
1469277379,1,0
1469278111,1,1
1469278833,1,0
1469282474,0,1
1469284581,2,1
1469286743,1,1
1469288901,1,0
1469289635,7,1
1469293262,1,0
1469296838,2,0
1469297542,1,0
1469301849,1,0
1469302589,2,0
1469304745,1,0
1469306897,1,0
1469309791,1,0
1469310508,0,1
1469313388,1,1
1469314829,1,0
1469316995,0,1
1469318439,0,2
1469319151,0,1
1469321302,1,0
1469325860,1,0
1469327302,0,3
1469328024,1,0
1469333790,1,0
1469334511,0,1
1469337394,0,2
1469338825,1,0
1469339539,1,0
1469340263,1,0
1469340985,1,0
1469341711,0,1
1469344588,2,0
1469348184,1,1
1469351797,1,0
1469353216,1,0
1469353934,2,0
1469354661,1,2
1469356812,1,0
1469358985,1,1
1469361856,0,1
1469364015,0,1
1469365451,1,0
1469366190,1,0
1469374112,0,1
1469374822,1,0
1469377696,1,0
1469378440,1,0
1469379854,2,0
1469380586,1,0
1469382030,1,0
1469384912,1,0
1469386384,1,0
1469389229,0,1
1469389944,2,0
1469390662,2,1
1469393548,0,2
1469395690,2,0
1469396442,2,19
1469404343,0,2
1469411543,1,0
1469413703,1,0
1469414423,0,1
1469420188,0,1
1469421639,1,0
1469423788,1,2
1469428810,4,0
1469429512,0,1
1469430262,0,1
1469431709,0,1
1469433863,0,1
1469434581,4,0
1469437458,0,2
1469441058,1,1
1469441776,1,0
1469443223,0,2
1469443942,3,0
1469444654,1,1
1469445382,0,1
1469447543,1,1
1469449704,0,1
1469453313,1,62
1469454020,0,85
1469454748,1,0
1469455455,1,0
1469456902,1,2
1469459058,1,0
1469461217,1,0
1469462653,1,0
1469465539,2,1
1469466985,1,0
1469467702,1,0
1469469149,1,0
1469470584,0,1
1469471298,31,0
1469472733,1,0
1469474898,1,0
1469478499,1,0
1469482818,1,0
1469487151,1,0
1469487851,1,0
1469489291,0,1
1469491462,1,0
1469492180,1,0
1469493622,1,0
1469495052,0,1
1469495776,0,1
1469496497,0,1
1469497225,2,0
1469497949,2,0
1469498658,0,1
1469503003,1,0
1469508022,0,1
1469508780,2,0
1469509450,1,0
1469510893,2,0
1469512343,0,6
1469516868,1,0
1469517633,1,0
1469521943,1,0
1469524100,0,1
1469524825,0,1
1469527695,1,0
1469529152,1,26
1469529853,1,0
1469530588,1,0
1469531312,1,0
1469532015,1,0
1469532743,1,0
1469534904,1,0
1469537058,1,0
1469538508,0,2
1469539948,1,0
1469542106,0,1
1469545244,1,0
1469547371,1,3
1469548100,1,0
1469550255,0,2
1469551715,1,0
1469553390,1,0
1469554101,1,0
1469554822,0,4
1469556271,0,3
1469559882,1,0
1469560578,1,0
1469562021,1,0
1469562744,0,1
1469564185,1,0
1469564900,0,1
1469565627,1,0
1469570663,0,3
1469572103,1,0
1469574980,1,0
1469575698,2,0
1469576418,1,0
1469577137,1,0
1469591537,5,0
1469596815,5,0
1469597546,4,0
1469598988,1,0
1469599702,1,0
1469601147,1,0
1469604754,2,0
1469605455,1,0
1469606916,3,0
1469608341,0,1
1469609046,1,0
1469610505,2,0
1469615546,0,1
1469616254,1,2
1469618418,1,13
1469619847,0,1
1469624180,1,0
1469624917,1,0
1469627046,1,0
1469632101,1,0
1469632819,3,0
1469634245,0,1
1469635007,1,0
1469637149,1,2
1469638572,1,0
1469640755,1,1
1469645786,1,0
1469646501,0,1
1469651541,1,0
1469653701,0,1
1469655853,1,0
1469659445,1,0
1469663065,1,0
1469665234,0,1
1469665954,1,0
1469673156,1,0
1469675303,1,0
1469677454,1,0
1469680347,1,0
1469683941,1,0
1469686100,0,1
1469687535,1,1
1469689702,1,0
1469691389,2,0
1469692096,1,0
1469694255,1,0
1469697848,2,0
1469698596,3,0
1469699301,1,0
1469700081,2,0
1469702896,2,0
1469703647,1,0
1469704353,0,1
1469705052,1,1
1469705778,1,0
1469712978,1,0
1469720909,1,0
1469723790,1,0
1469726658,1,0
1469729069,0,1
1469729792,1,0
1469733392,0,1
1469734105,0,1
1469735539,1,0
1469736260,1,0
1469737706,1,0
1469739134,3,0
1469743450,0,1
1469744189,0,1
1469744907,0,1
1469747795,0,1
1469748517,0,2
1469749215,4,1
1469753554,0,1
1469754265,1,0
1469754987,1,0
1469756415,0,1
1469758579,1,0
1469760750,0,1
1469762183,4,0
1469764354,2,0
1469765074,1,0
1469766490,1,0
1469767953,1,0
1469774424,1,0
1469783071,1,1
1469784520,0,1
1469786650,0,1
1469790265,1,0
1469790986,0,1
1469797457,1,0
1469798192,0,1
1469802506,1,0
1469806813,1,0
1469810416,0,1
1469811151,1,0
1469814751,0,1
1469816895,1,1
1469817635,3,0
1469818345,1,0
1469821215,1,0
1469824092,0,1
1469824832,1,0
1469829151,1,0
1469830573,1,0
1469840685,1,2
1469847134,2,0
1469847888,0,1
1469853626,0,1
1469862972,0,1
1469865373,0,1
1469868985,1,0
1469870437,0,1
