DateTime,Entries,UniqueIPs
1469459058,288,288
1469460499,281,281
1469461217,289,289
1469461943,282,282
1469462653,289,289
1469465539,290,290
1469466263,283,283
1469466985,283,283
1469467702,283,283
1469468419,291,291
1469469149,284,284
1469470584,292,292
1469471298,192,192
1469472733,193,193
1469474898,194,194
1469478499,194,194
1469481376,195,195
1469482818,196,196
1469487151,197,197
1469487851,198,198
1469491462,198,198
1469492180,199,199
1469493622,199,199
1469497225,201,201
1469497949,202,202
1469503003,203,203
1469508780,205,205
1469509450,205,205
1469510893,208,208
1469513058,209,209
1469513783,209,209
1469516868,210,210
1469517633,211,211
1469521943,212,212
1469527695,213,213
1469529152,214,214
1469529853,214,214
1469530588,214,214
1469531312,214,214
1469532015,214,214
1469532743,215,215
1469534904,216,216
1469537058,216,216
1469539948,216,216
1469545244,216,216
1469547371,216,216
1469548100,216,216
1469551715,216,216
1469553390,217,217
1469554101,218,218
1469559882,219,219
1469560578,219,219
1469562021,220,220
1469564185,220,220
1469565627,220,220
1469572103,220,220
1469574980,221,221
1469575698,223,223
1469576418,223,223
1469577137,224,224
1469591537,190,190
1469593964,100,100
1469594724,190,190
1469596815,194,194
1469597546,196,196
1469598988,199,199
1469599702,200,200
1469601147,200,200
1469601846,198,198
1469602582,200,200
1469604754,202,202
1469605455,200,200
1469606187,202,202
1469606916,204,204
1469607611,203,203
1469608341,204,204
1469609046,205,205
1469610505,205,205
1469612663,206,206
1469615546,205,205
1469616254,207,207
1469616992,206,206
1469617716,207,207
1469618418,208,208
1469619151,207,207
1469619847,208,208
1469620588,207,207
1469624180,208,208
1469624917,209,209
1469627046,210,210
1469629942,209,209
1469631381,210,210
1469632101,210,210
1469632819,212,212
1469633547,211,211
1469635007,211,211
1469635695,212,212
1469637149,211,211
1469638572,213,213
1469639298,211,211
1469640024,213,213
1469640755,211,211
1469641454,213,213
1469642901,211,211
1469644347,213,213
1469645786,214,214
1469646501,212,212
1469647233,214,214
1469649375,212,212
1469651541,216,216
1469653046,214,214
1469653701,216,216
1469655853,214,214
1469659445,215,215
1469660192,217,217
1469660901,215,215
1469662335,217,217
1469663065,218,218
1469663788,216,216
1469664508,218,218
1469665954,216,216
1469668093,218,218
1469670248,216,216
1469670969,218,218
1469671700,216,216
1469673156,217,217
1469673849,219,219
1469674592,217,217
1469675303,217,217
1469676023,219,219
1469677454,220,220
1469678181,218,218
1469679624,220,220
1469680347,220,220
1469681781,218,218
1469682511,220,220
1469683941,221,221
1469686831,219,219
1469687535,220,220
1469688989,222,222
1469689702,221,221
1469690643,223,223
1469691389,225,225
1469692096,224,224
1469693545,226,226
1469694255,227,227
1469695705,225,225
1469697161,227,227
1469697848,229,229
1469698596,231,231
1469699301,230,230
1469700081,233,233
1469700764,235,235
1469701448,233,233
1469702180,235,235
1469702896,234,234
1469703647,234,234
1469704353,236,236
1469705052,235,235
1469705778,236,236
1469712978,238,238
1469713703,237,237
1469714451,238,238
1469715158,237,237
1469715848,238,238
1469717314,237,237
1469718035,238,238
1469718749,237,237
1469719450,238,238
1469720192,237,237
1469720909,238,238
1469722341,239,239
1469723049,238,238
1469723790,239,239
1469726658,239,239
1469727386,240,240
1469728357,239,239
1469729069,240,240
1469729792,239,239
1469732651,240,240
1469735539,240,240
1469736260,240,240
1469737706,239,239
1469739134,243,243
1469739865,242,242
1469741322,243,243
1469742015,242,242
1469742752,243,243
1469744907,242,242
1469747795,243,243
1469748517,242,242
1469749215,245,245
1469750655,244,244
1469751404,245,245
1469752096,244,244
1469754265,245,245
1469754987,245,245
1469755709,246,246
1469756415,245,245
1469757155,246,246
1469757847,245,245
1469758579,247,247
1469759290,246,246
1469760046,247,247
1469760750,246,246
1469762183,248,248
1469764354,251,251
1469765074,251,251
1469766490,253,253
1469767246,252,252
1469767953,252,252
1469769385,253,253
1469770817,252,252
1469773002,253,253
1469774424,254,254
1469775852,253,253
1469776593,254,254
1469778035,253,253
1469779469,254,254
1469780179,253,253
1469781629,254,254
1469783071,254,254
1469783785,255,255
1469784520,254,254
