DateTime,Entries,UniqueIPs
1469579324,10529,10563
1469580017,10526,10560
1469580736,10522,10556
1469581457,10523,10557
1469582186,10522,10556
1469582902,10521,10555
1469583615,10523,10557
1469584342,10523,10557
1469585058,10525,10559
1469585788,10522,10556
1469586510,10522,10556
1469587216,10522,10556
1469587945,10531,10565
1469588664,10523,10557
1469589401,10525,10559
1469590111,10530,10564
1469590823,10526,10560
1469591540,10528,10562
1469592270,10525,10559
1469593094,10529,10563
1469593967,10527,10561
1469594727,10524,10558
1469595395,10529,10563
1469596129,10528,10562
1469596817,10529,10563
1469597548,10525,10559
1469598246,10521,10555
1469598990,10518,10552
1469599705,10518,10552
1469600432,10516,10550
1469601149,10521,10555
1469601848,10526,10560
1469602584,10526,10560
1469603294,10530,10564
1469604046,10524,10558
1469604756,10524,10558
1469605458,10521,10555
1469606189,10523,10558
1469606918,10524,10559
1469607613,10529,10564
1469608343,10531,10566
1469609049,10531,10566
1469609786,10535,10570
1469610507,10536,10571
1469611218,10537,10572
1469611937,10540,10575
1469612665,10534,10569
1469613381,10539,10574
1469614107,10541,10575
1469614836,10547,10581
1469615548,10547,10581
1469616257,10549,10583
1469616995,10541,10575
1469617718,10536,10570
1469618420,10538,10572
1469619153,10538,10572
1469619849,10536,10570
1469620590,10538,10572
1469621305,10534,10568
1469622035,10535,10569
1469622749,10540,10574
1469623453,10541,10575
1469624183,10545,10579
1469624920,10540,10574
1469625613,10548,10582
1469626342,10545,10579
1469627049,10547,10581
1469627784,10553,10587
1469628505,10556,10590
1469629233,10558,10592
1469629945,10552,10586
1469630657,10552,10586
1469631384,10551,10585
1469632104,10554,10588
1469632822,10559,10593
1469633549,10554,10589
1469634248,10557,10592
1469635010,10551,10586
1469635697,10552,10587
1469636426,10552,10587
1469637152,10553,10588
1469637854,10550,10585
1469638574,10549,10584
1469639300,10546,10581
1469640027,10553,10588
1469640758,10561,10596
1469641457,10557,10592
1469642175,10568,10603
1469642903,10563,10598
1469643625,10572,10607
1469644349,10569,10604
1469645052,10572,10607
1469645789,10572,10607
1469646504,10569,10604
1469647235,10567,10602
1469647943,10575,10610
1469648661,10578,10613
1469649378,10569,10603
1469650097,10565,10599
1469650824,10557,10591
1469651544,10560,10594
1469652257,10556,10590
1469653049,10552,10586
1469653704,10546,10580
1469654427,10546,10580
1469655136,10544,10578
1469655855,10537,10571
1469656582,10534,10568
1469657312,10532,10566
1469658027,10530,10564
1469658747,10531,10565
1469659447,10529,10563
1469660194,10525,10559
1469660903,10527,10561
1469661626,10528,10562
1469662337,10529,10563
1469663067,10530,10564
1469663790,10531,10565
1469664510,10531,10565
1469665236,10528,10562
1469665956,10523,10557
1469666647,10518,10552
1469667386,10516,10550
1469668095,10516,10550
1469668840,10513,10547
1469669553,10514,10548
1469670250,10522,10556
1469670971,10515,10549
1469671702,10512,10546
1469672424,10507,10541
1469673159,10513,10547
1469673851,10518,10552
1469674594,10519,10553
1469675306,10514,10548
1469676026,10514,10548
1469676756,10514,10548
1469677456,10518,10552
1469678184,10515,10549
1469678898,10521,10555
1469679626,10519,10553
1469680349,10516,10550
1469681053,10514,10548
1469681783,10511,10545
1469682513,10512,10546
1469683212,10518,10552
1469683943,10516,10550
1469684648,10518,10552
1469685387,10515,10549
1469686102,10517,10551
1469686833,10525,10559
1469687538,10521,10555
1469688267,10522,10556
1469688992,10523,10557
1469689705,10520,10554
1469690646,10521,10555
1469691391,10521,10555
1469692099,10518,10552
1469692852,10515,10549
1469693547,10520,10554
1469694257,10517,10551
1469694984,10514,10548
