DateTime,AddedIPs,RemovedIPs
1469769388,36,32
1469770123,28,36
1469770819,40,28
1469771568,23,21
1469772253,25,27
1469773005,38,24
1469773714,21,36
1469774426,36,31
1469775139,28,35
1469775855,35,24
1469776595,42,32
1469777313,31,38
1469778037,18,24
1469778750,35,38
1469779471,33,24
1469780181,36,44
1469780897,44,36
1469781631,37,33
1469782353,40,23
1469783073,19,38
1469783788,37,30
1469784523,41,35
1469785220,34,36
1469785944,29,25
1469786652,34,22
1469787393,40,35
1469788112,29,43
1469788825,44,27
1469789537,22,33
1469790268,31,26
1469790988,23,29
1469791702,52,41
1469792432,26,23
1469793153,29,21
1469793863,34,39
1469794582,37,30
1469795308,41,31
1469796030,30,37
1469796764,33,27
1469797459,35,25
1469798194,30,34
1469798894,29,37
1469799634,36,28
1469800394,34,34
1469801067,32,20
1469801780,33,31
1469802509,36,32
1469803231,35,28
1469803952,29,29
1469804679,24,29
1469805390,33,34
1469806128,30,36
1469806815,23,35
1469807538,42,28
1469808260,41,44
1469808996,41,27
1469809709,27,37
1469810418,30,35
1469811153,32,36
1469811865,31,27
1469812590,31,46
1469813311,38,29
1469814033,44,28
1469814753,41,32
1469815453,28,38
1469816180,39,18
1469816898,25,30
1469817638,18,28
1469818347,34,41
1469819056,44,25
1469819780,33,25
1469820511,27,29
1469821218,22,42
1469821940,30,40
1469822660,26,35
1469823393,26,29
1469824094,25,41
1469824835,36,24
1469825552,25,29
1469826262,36,30
1469826975,27,23
1469827710,18,35
1469828420,28,29
1469829153,27,44
1469829858,37,30
1469830576,30,39
1469831315,25,36
1469832018,26,27
1469832738,25,24
1469833454,31,18
1469834194,31,41
1469834909,33,20
1469835617,23,32
1469836364,19,21
1469837059,27,34
1469837804,35,34
1469838497,26,29
1469839251,28,23
1469839953,16,28
1469840688,16,28
1469841388,22,24
1469842109,31,35
1469842814,35,22
1469843544,23,34
1469844250,27,27
1469845004,25,30
1469845710,27,27
1469846422,35,20
1469847136,31,28
1469847890,22,31
1469848595,23,30
1469849309,21,30
1469850049,27,31
1469850742,34,25
1469851464,25,27
1469852184,26,39
1469852909,26,19
1469853629,25,24
1469854361,27,22
1469855073,22,32
1469855787,29,23
1469856513,23,37
1469857229,24,30
1469857954,23,24
1469858655,30,21
1469859405,22,20
1469860096,29,24
1469860843,20,24
1469861546,23,31
1469862258,34,29
1469862975,36,23
1469863703,33,30
1469864644,25,33
1469865376,56,44
1469866094,43,32
1469866852,42,28
1469867548,39,26
1469868264,30,24
1469868988,27,36
1469869705,31,30
1469870440,29,24
1469871140,32,30
1469871851,33,34
1469872586,51,35
1469873328,39,38
1469874011,23,36
1469874746,29,28
1469875451,36,32
1469876203,41,26
1469876908,23,33
1469877640,28,28
1469878373,30,22
1469879064,31,27
1469879776,34,41
1469880497,35,29
1469881222,36,30
1469881966,32,30
1469882648,35,31
1469883394,39,28
1469884098,26,25
1469884822,27,33
1469885570,38,31
1469886263,29,34
1469886983,36,36
1469887709,43,32
1469888414,42,29
1469889156,31,46
1469889850,33,43
1469890604,45,45
1469891304,35,35
1469892050,40,29
1469892752,35,35
1469893461,29,43
1469894174,38,26
1469894900,36,31
1469895626,40,34
1469896351,41,31
1469897054,47,45
1469897775,39,39
1469898496,36,44
1469899223,34,38
1469899947,47,36
1469900664,32,29
1469901375,35,28
1469902104,37,45
1469902826,43,34
1469903551,37,36
1469904252,26,51
