DateTime,Entries,UniqueIPs
1469573830,9569,9569
1469575229,9564,9564
1469576529,9559,9559
1469577366,9564,9564
1469578215,9564,9564
1469579286,9568,9568
1469580127,9565,9565
1469581505,9567,9567
1469582409,9570,9570
1469583306,9571,9571
1469584802,9567,9567
1469585646,9566,9566
1469586486,9572,9572
1469587785,9574,9574
1469589006,9572,9572
1469590505,9566,9566
1469592306,9561,9561
1469593174,9563,9563
1469594138,9557,9557
1469594533,9556,9556
1469595588,9557,9557
1469596508,9563,9563
1469597406,9558,9558
1469598315,9554,9554
1469600406,9564,9564
1469601730,9554,9554
1469604008,9563,9563
1469604906,9556,9556
1469605329,9554,9554
1469606705,9553,9553
1469607611,9558,9558
1469608086,9562,9562
1469609107,9551,9551
1469611208,9551,9551
1469612106,9544,9544
1469613055,9552,9552
1469613908,9559,9559
1469614806,9566,9566
1469615707,9555,9555
1469616132,9553,9553
1469617368,9549,9549
1469618408,9551,9551
1469619732,9546,9546
1469621646,9556,9556
1469622609,9540,9540
1469623330,9538,9538
1469624706,9540,9540
1469625506,9545,9545
1469626929,9539,9539
1469627766,9547,9547
1469628615,9535,9535
1469629421,9540,9540
1469631471,9532,9532
1469632506,9534,9534
1469634130,9532,9532
1469636046,9532,9532
1469637008,9533,9533
1469637729,9538,9538
1469638626,9547,9547
1469639706,9552,9552
1469640606,9544,9544
1469643612,9559,9559
1469644086,9565,9565
1469644929,9562,9562
1469646257,9570,9570
1469647207,9584,9584
1469648412,9609,9609
1469649533,9706,9706
1469650508,9837,9837
1469651408,9918,9918
1469652130,9970,9970
1469652966,10046,10046
1469653807,10094,10094
1469655007,10150,10150
1469656879,10209,10209
1469657646,10230,10230
1469658606,10244,10244
1469659508,10264,10264
1469660165,10282,10282
1469661006,10282,10282
1469662102,10291,10291
1469663105,10298,10298
1469664910,10306,10306
1469665807,10300,10300
1469668457,10302,10302
1469670135,10307,10307
1469671470,10303,10303
1469672409,10310,10310
1469672885,10309,10309
1469674566,10303,10303
1469676009,10303,10303
1469677206,10302,10302
1469678706,10297,10297
1469679610,10300,10300
1469680515,10296,10296
1469681706,10294,10294
1469682664,10295,10295
1469682845,10296,10296
1469683806,10291,10291
1469685365,10297,10297
1469686216,10293,10293
1469687362,10291,10291
1469688306,10293,10293
1469689509,10291,10291
1469690409,10292,10292
1469691733,10282,10282
1469693112,10278,10278
1469694013,10282,10282
1469694486,10286,10286
1469696165,10279,10279
1469696982,10280,10280
1469698206,10282,10282
1469699106,10278,10278
1469699765,10280,10280
1469700616,10277,10277
1469701807,10281,10281
1469702706,10282,10282
1469704447,10282,10282
1469705407,10277,10277
1469706261,10284,10284
1469708047,10285,10285
1469709008,10277,10277
1469709907,10272,10272
1469712007,10272,10272
1469712889,10265,10265
1469713334,10263,10263
1469714219,10266,10266
1469715014,10263,10263
1469716935,10256,10256
1469718310,10254,10254
1469719210,10257,10257
1469720106,10256,10256
1469720535,10255,10255
1469721599,10261,10261
1469722507,10267,10267
1469723286,10270,10270
1469724136,10260,10260
1469724966,10265,10265
1469725805,10260,10260
1469726705,10264,10264
1469728731,10257,10257
1469729646,10261,10261
1469730609,10260,10260
1469731506,10263,10263
1469733611,10261,10261
1469735105,10248,10248
1469736907,10247,10247
1469737807,10240,10240
1469738708,10243,10243
1469741407,10241,10241
1469742309,10248,10248
1469744048,10253,10253
1469745006,10247,10247
1469745734,10250,10250
1469747113,10251,10251
1469748013,10257,10257
1469749333,10251,10251
1469750166,10253,10253
1469751015,10254,10254
1469752207,10250,10250
1469753117,10252,10252
1469755211,10262,10262
1469757030,10259,10259
1469757912,10258,10258
1469758809,10263,10263
1469760132,10261,10261
1469762046,10266,10266
1469763006,10263,10263
1469763913,10274,10274
1469766010,10271,10271
1469767033,10260,10260
1469768165,10258,10258
1469769006,10257,10257
1469769869,10260,10260
1469770811,10245,10245
1469772315,10240,10240
1469773206,10243,10243
1469774533,10231,10231
1469776446,10235,10235
1469777286,10238,10238
1469779127,10235,10235
1469780109,10239,10239
1469780886,10241,10241
1469782566,10241,10241
1469783408,10225,10225
1469783646,10227,10227
1469784607,10220,10220
1469785337,10221,10221
1469786195,10225,10225
1469787015,10219,10219
1469788036,10224,10224
1469788940,10212,10212
1469789766,10217,10217
1469790605,10216,10216
1469791807,10200,10200
1469792715,10203,10203
1469794506,10211,10211
1469795407,10201,10201
1469797370,10198,10198
1469798270,10202,10202
1469799607,10198,10198
1469800784,10198,10198
1469801707,10201,10201
1469802485,10204,10204
1469804166,10191,10191
1469805006,10183,10183
1469806211,10180,10180
1469807115,10179,10179
1469808031,10175,10175
1469808906,10180,10180
1469809806,10167,10167
1469810715,10170,10170
