DateTime,AddedIPs,RemovedIPs
1469554934,6,11
1469555767,7,0
1469556617,8,4
1469556847,2,0
1469557813,8,7
1469558649,6,1
1469559368,8,0
1469560563,5,11
1469562129,12,11
1469563510,10,3
1469564412,5,1
1469565308,9,7
1469565732,2,2
1469567647,15,10
1469568609,7,14
1469569333,6,3
1469570150,2,0
1469571016,2,8
1469571247,2,0
1469572208,5,13
1469573831,8,3
1469575234,9,10
1469576535,5,8
1469577367,4,1
1469578216,4,6
1469579287,8,0
1469580130,4,17
1469581508,11,11
1469582413,6,0
1469583307,7,7
1469584820,7,8
1469585649,5,0
1469586487,4,0
1469587786,7,12
1469589007,5,6
1469590506,6,10
1469592309,14,6
1469593176,4,0
1469594139,4,7
1469594536,4,3
1469595590,7,3
1469596509,8,3
1469597410,9,8
1469598317,3,3
1469600411,11,6
1469601736,12,14
1469604013,13,5
1469604908,5,9
1469605337,6,5
1469606707,4,7
1469607620,3,1
1469608088,1,0
1469609111,2,9
1469611210,10,9
1469612107,3,11
1469613056,1,3
1469613910,7,4
1469614811,8,0
1469615708,4,8
1469616139,3,2
1469617376,9,5
1469618414,5,0
1469619741,7,5
1469621648,10,6
1469622610,4,8
1469623336,5,2
1469624707,8,5
1469625507,5,0
1469626933,11,13
1469627769,9,0
1469628617,7,7
1469629422,6,0
1469631472,10,14
1469632507,6,9
1469634135,11,12
1469636048,13,9
1469637012,4,10
1469637736,7,2
1469638626,1,0
1469639708,7,9
1469640607,5,9
1469642804,13,9
1469643619,4,0
1469644936,4,13
1469646258,10,7
1469647213,4,0
1469648415,9,14
1469649534,1,11
1469650509,8,1
1469651410,6,12
1469652136,7,2
1469652968,6,0
1469653809,0,4
1469655009,7,6
1469656888,9,12
1469657647,5,1
1469658609,6,7
1469659510,6,2
1469660166,3,0
1469661008,4,6
1469662103,6,0
1469663107,4,17
1469664913,10,7
1469665808,7,12
1469668458,20,11
1469670137,11,13
1469671471,7,11
1469672887,7,1
1469674567,10,15
1469676016,10,7
1469677210,7,11
1469678709,9,7
1469679620,3,0
1469680516,4,11
1469681707,3,4
1469682668,4,2
1469682847,1,0
1469683808,4,11
1469685367,7,5
1469686217,4,6
1469687363,8,13
1469688309,2,2
1469689511,11,9
1469690420,9,0
1469691743,8,10
1469693115,4,7
1469694021,7,0
1469694488,1,0
1469696166,5,19
1469696983,5,3
1469698208,4,11
1469699109,4,8
1469699767,2,0
1469700617,8,8
1469701810,3,16
1469702708,7,2
1469704449,12,9
1469705408,4,11
1469706272,3,2
1469708051,7,7
1469709010,4,8
1469709908,5,4
1469712017,11,4
1469712890,3,13
1469713345,2,4
1469714221,6,0
1469715015,5,8
1469716945,4,15
1469718320,3,9
1469719216,8,0
1469720107,1,10
1469720547,4,2
1469721601,7,11
1469722508,7,1
1469723287,4,0
1469724142,4,15
1469724967,4,0
1469725807,2,11
1469726707,3,0
1469728733,8,27
1469729649,6,2
1469730613,3,13
1469731508,7,7
1469732686,4,8
1469733620,11,0
1469735107,9,19
1469736912,7,9
1469737808,5,12
1469738709,7,6
1469741409,12,14
1469742311,4,3
1469744050,10,9
1469745010,6,13
1469745739,8,7
1469747120,3,12
1469748026,5,0
1469749346,4,10
1469750167,6,0
1469751016,4,13
1469751249,1,0
1469752209,4,12
1469753122,10,5
1469754327,7,5
1469755221,3,0
1469757031,14,11
1469757919,0,8
1469758823,7,0
1469760145,6,16
1469762047,12,6
1469763008,5,10
1469763921,6,3
1469765118,11,8
1469766021,9,0
1469767035,8,14
1469768166,2,3
1469769009,8,2
1469769884,2,1
1469770945,5,19
1469772329,4,6
1469773216,5,0
1469774541,9,13
1469776447,4,3
1469777287,1,1
1469779128,8,15
1469780113,7,2
1469780887,6,0
1469782567,5,11
1469783409,8,6
1469783647,1,0
1469784611,6,11
1469785352,1,3
1469786196,8,0
1469787016,7,10
1469788038,7,0
1469788955,5,8
1469789770,10,0
1469790607,11,10
1469791810,6,2
1469792725,4,2
1469794507,13,9
1469795409,7,8
1469797384,12,14
1469798271,6,1
1469799620,5,15
1469800787,7,7
1469801709,1,2
1469802486,3,0
1469804167,14,11
1469805008,3,7
1469806215,5,8
1469807124,4,7
1469808043,5,8
1469808910,2,0
1469809809,4,9
1469810729,7,7
1469812208,8,6
1469813095,5,0
1469813993,6,13
1469816111,8,12
1469817010,7,15
1469817730,0,6
1469818640,3,0
1469819541,1,4
1469820604,6,12
1469821525,6,5
1469823615,16,10
1469824825,9,12
1469825709,7,0
1469826607,5,8
1469827451,1,0
1469829307,6,11
1469830508,5,7
1469831409,3,10
1469832153,6,2
1469833520,9,9
1469834407,2,0
1469835307,6,13
1469836507,11,2
1469837416,6,11
1469838610,8,8
1469839529,5,3
1469840715,14,9
1469841621,2,0
1469842948,7,15
1469844847,6,8
1469845807,8,8
1469846728,4,2
1469847650,6,7
1469848446,6,0
1469849410,4,9
1469850319,6,4
1469851351,8,4
1469852417,6,0
1469853288,3,13
1469854346,3,3
1469855408,4,7
1469856487,2,0
1469858295,0,23
1469860209,1,11
1469860930,0,1
1469862607,0,8
1469864721,0,13
1469865710,0,2
1469867408,0,10
1469868262,0,2
1469870107,0,8
1469871009,0,8
1469871728,0,5
1469873416,1,5
1469874609,0,11
1469875513,0,2
1469877814,0,5
1469878929,0,9
1469880401,1,4
1469881214,1,0
1469882420,1,15
1469884207,0,6
1469885407,0,8
1469886315,0,1
1469888306,2,4
1469889609,0,14
1469890780,0,5
1469891708,1,1
1469892607,0,4
1469893521,0,6
1469894999,0,4
1469896209,0,7
1469897478,0,3
1469898313,1,9
1469899807,0,4
1469902507,0,12
1469903407,0,14
1469904326,0,3
1469905522,0,8
1469907308,1,9
1469909116,0,8
1469911158,0,8
1469911954,0,1
1469914327,0,21
1469914940,0,5
1469916908,0,11
1469917807,0,16
1469918732,0,8
1469920207,0,11
1469922307,0,12
1469923524,0,10
1469925618,0,20
1469927407,0,11
1469929354,1,15
1469931249,0,7
1469932207,1,11
1469933125,0,9
1469934327,0,14
1469936426,0,16
1469938509,0,13
1469939408,2,14
1469940327,0,4
1469941521,6,13
1469942419,3,0
1469943308,1,15
1469943738,3,4
1469945111,4,5
1469946013,2,0
1469947356,4,12
1469948166,3,0
1469949009,1,11
1469950207,5,9
1469951124,3,3
1469952329,6,6
1469953222,3,0
1469954422,4,14
1469955367,2,0
1469956207,4,12
1469957287,2,0
1469958331,4,15
1469960319,3,11
1469961758,9,17
1469962597,4,0
1469963408,1,13
1469964493,6,0
1469965355,0,18
1469966167,2,0
1469967017,4,11
1469968952,7,23
1469969862,5,0
1469970723,3,8
1469971808,5,9
1469972730,6,6
1469973367,1,0
1469974217,3,6
1469976159,8,16
1469977098,4,8
1469978109,1,1
1469979009,4,13
1469980063,7,7
1469981315,6,12
1469982282,6,0
1469983224,4,19
1469984351,5,9
1469985308,2,2
1469986209,2,12
1469986950,2,4
1469988324,5,8
1469989217,2,0
1469990388,2,12
1469991598,1,15
1469993708,6,27
1469996108,6,22
1469997009,3,15
1469997748,3,4
1469998568,1,0
1469999406,1,11
1470000608,7,15
1470001524,2,6
1470003310,5,18
1470004211,4,15
1470005129,1,6
1470006033,4,16
1470006909,3,0
1470007808,4,19
1470008732,1,6
1470009907,6,19
1470011286,1,0
1470012127,4,24
1470014107,10,12
1470015009,7,13
1470016994,9,28
1470018010,9,0
1470018809,3,22
1470019327,2,5
1470020551,5,13
1470021608,1,0
1470022927,7,31
1470024308,5,15
1470025209,1,0
1470026117,3,21
1470027801,3,0
1470028809,1,1
1470030127,4,1
1470030967,1,0
1470031817,3,0
1470033728,6,0
1470034567,2,0
1470035408,3,0
1470036487,2,0
1470037508,4,0
1470038589,1,0
1470039610,2,0
1470040476,2,0
1470041268,1,0
1470043209,4,0
1470044527,2,1
1470045366,5,0
1470047107,1,0
1470048009,4,0
1470049507,5,2
1470050650,5,0
1470051607,4,1
1470053417,2,1
1470054261,1,0
1470055209,2,0
1470056167,2,0
1470057008,1,0
1470057803,1,0
1470058807,2,0
1470059706,5,0
1470060793,0,1
1470061810,3,2
1470062708,5,0
1470063367,1,0
1470064208,2,0
1470065060,1,0
1470066008,3,0
1470067389,7,1
1470068409,1,0
