DateTime,Entries,UniqueIPs
1469578216,1483,1483
1469579287,1491,1491
1469580130,1478,1478
1469581508,1478,1478
1469582413,1484,1484
1469583307,1484,1484
1469584820,1483,1483
1469585649,1488,1488
1469586487,1492,1492
1469587786,1487,1487
1469589007,1486,1486
1469590506,1482,1482
1469592309,1490,1490
1469593176,1494,1494
1469594139,1491,1491
1469594536,1492,1492
1469595590,1496,1496
1469596509,1501,1501
1469597410,1502,1502
1469598317,1502,1502
1469600411,1507,1507
1469601736,1505,1505
1469604013,1513,1513
1469604908,1509,1509
1469605337,1510,1510
1469606707,1507,1507
1469607620,1509,1509
1469608088,1510,1510
1469609111,1503,1503
1469611210,1504,1504
1469612107,1496,1496
1469613056,1494,1494
1469613910,1497,1497
1469614811,1505,1505
1469615708,1501,1501
1469616139,1502,1502
1469617376,1506,1506
1469618414,1511,1511
1469619741,1513,1513
1469621648,1517,1517
1469622610,1513,1513
1469623336,1516,1516
1469624707,1519,1519
1469625507,1524,1524
1469626933,1522,1522
1469627769,1531,1531
1469628617,1531,1531
1469629422,1537,1537
1469631472,1533,1533
1469632507,1530,1530
1469634135,1529,1529
1469636048,1533,1533
1469637012,1527,1527
1469637736,1532,1532
1469638626,1533,1533
1469639708,1531,1531
1469640607,1527,1527
1469642804,1531,1531
1469643619,1535,1535
1469644936,1526,1526
1469646258,1529,1529
1469647213,1533,1533
1469648415,1528,1528
1469649534,1518,1518
1469650509,1525,1525
1469651410,1519,1519
1469652136,1524,1524
1469652968,1530,1530
1469653809,1526,1526
1469655009,1527,1527
1469656888,1524,1524
1469657647,1528,1528
1469658609,1527,1527
1469659510,1531,1531
1469660166,1534,1534
1469661008,1532,1532
1469662103,1538,1538
1469663107,1525,1525
1469664913,1528,1528
1469665808,1523,1523
1469668458,1532,1532
1469670137,1530,1530
1469671471,1526,1526
1469672887,1532,1532
1469674567,1527,1527
1469676016,1530,1530
1469677210,1526,1526
1469678709,1528,1528
1469679620,1531,1531
1469680516,1524,1524
1469681707,1523,1523
1469682668,1525,1525
1469682847,1526,1526
1469683808,1519,1519
1469685367,1521,1521
1469686217,1519,1519
1469687363,1514,1514
1469688309,1514,1514
1469689511,1516,1516
1469690420,1525,1525
1469691743,1523,1523
1469693115,1520,1520
1469694021,1527,1527
1469694488,1528,1528
1469696166,1514,1514
1469696983,1516,1516
1469698208,1509,1509
1469699109,1505,1505
1469699767,1507,1507
1469700617,1507,1507
1469701810,1494,1494
1469702708,1499,1499
1469704449,1502,1502
1469705408,1495,1495
1469706272,1496,1496
1469708051,1496,1496
1469709010,1492,1492
1469709908,1493,1493
1469712017,1500,1500
1469712890,1490,1490
1469713345,1488,1488
1469714221,1494,1494
1469715015,1491,1491
1469716945,1480,1480
1469718320,1474,1474
1469719216,1482,1482
1469720107,1473,1473
1469720547,1475,1475
1469721601,1471,1471
1469722508,1477,1477
1469723287,1481,1481
1469724142,1470,1470
1469724967,1474,1474
1469725807,1465,1465
1469726707,1468,1468
1469728733,1449,1449
1469729649,1453,1453
1469730613,1443,1443
1469731508,1443,1443
1469732686,1439,1439
1469733620,1450,1450
1469735107,1440,1440
1469736912,1438,1438
1469737808,1431,1431
1469738709,1432,1432
1469741409,1430,1430
1469742311,1431,1431
1469744050,1432,1432
1469745010,1425,1425
1469745739,1426,1426
1469747120,1417,1417
1469748026,1422,1422
1469749346,1416,1416
1469750167,1422,1422
1469751016,1413,1413
1469751249,1414,1414
1469752209,1406,1406
1469753122,1411,1411
1469754327,1413,1413
1469755221,1416,1416
1469757031,1419,1419
1469757919,1411,1411
1469758823,1418,1418
1469760145,1408,1408
1469762047,1414,1414
1469763008,1409,1409
1469763921,1412,1412
1469765118,1415,1415
1469766021,1424,1424
1469767035,1418,1418
1469768166,1417,1417
1469769009,1423,1423
1469769884,1424,1424
1469770945,1410,1410
1469772329,1408,1408
1469773216,1413,1413
1469774541,1409,1409
1469776447,1410,1410
1469777287,1410,1410
1469779128,1403,1403
1469780113,1408,1408
1469780887,1414,1414
1469782567,1408,1408
1469783409,1410,1410
1469783647,1411,1411
1469784611,1406,1406
1469785352,1404,1404
1469786196,1412,1412
1469787016,1409,1409
1469788038,1416,1416
1469788955,1413,1413
1469789770,1423,1423
1469790607,1424,1424
1469791810,1428,1428
1469792725,1430,1430
1469794507,1434,1434
1469795409,1433,1433
1469797384,1431,1431
1469798271,1436,1436
1469799620,1426,1426
1469800787,1426,1426
1469801709,1425,1425
1469802486,1428,1428
1469804167,1431,1431
1469805008,1427,1427
1469806215,1424,1424
1469807124,1421,1421
1469808043,1418,1418
1469808910,1420,1420
1469809809,1415,1415
1469810729,1415,1415
1469812208,1417,1417
1469813095,1422,1422
1469813993,1415,1415
1469816111,1411,1411
1469817010,1403,1403
1469817730,1397,1397
1469818640,1400,1400
1469819541,1397,1397
1469820604,1391,1391
1469821525,1392,1392
1469823615,1398,1398
1469824825,1395,1395
1469825709,1402,1402
1469826607,1399,1399
1469827451,1400,1400
1469829307,1395,1395
1469830508,1393,1393
1469831409,1386,1386
1469832153,1390,1390
1469833520,1390,1390
1469834407,1392,1392
1469835307,1385,1385
1469836507,1394,1394
1469837416,1389,1389
1469838610,1389,1389
1469839529,1391,1391
1469840715,1396,1396
1469841621,1398,1398
1469842948,1390,1390
1469844847,1388,1388
1469845807,1388,1388
1469846728,1390,1390
1469847650,1389,1389
1469848446,1395,1395
1469849410,1390,1390
1469850319,1392,1392
1469851351,1396,1396
1469852417,1402,1402
1469853288,1392,1392
1469854346,1392,1392
1469855408,1389,1389
1469856487,1391,1391
1469858295,1368,1368
1469860209,1358,1358
1469860930,1357,1357
1469862607,1349,1349
1469864721,1336,1336
1469865710,1334,1334
1469867408,1324,1324
1469868262,1322,1322
1469870107,1314,1314
1469871009,1306,1306
1469871728,1301,1301
1469873416,1297,1297
1469874609,1286,1286
1469875513,1284,1284
1469877814,1279,1279
1469878929,1270,1270
1469880401,1267,1267
1469881214,1268,1268
1469882420,1254,1254
1469884207,1248,1248
1469885407,1240,1240
1469886315,1239,1239
1469888306,1237,1237
1469889609,1223,1223
1469890780,1218,1218
1469891708,1218,1218
1469892607,1214,1214
1469893521,1208,1208
1469894999,1204,1204
1469896209,1197,1197
1469897478,1194,1194
1469898313,1186,1186
1469899807,1182,1182
1469902507,1170,1170
1469903407,1156,1156
1469904326,1153,1153
1469905522,1145,1145
1469907308,1137,1137
1469909116,1129,1129
1469911158,1121,1121
1469911954,1120,1120
1469914327,1099,1099
1469914940,1094,1094
1469916908,1083,1083
1469917807,1067,1067
1469918732,1059,1059
1469920207,1048,1048
1469922307,1036,1036
1469923524,1026,1026
1469925618,1006,1006
1469927407,995,995
1469929354,981,981
1469931249,974,974
1469932207,964,964
1469933125,955,955
1469934327,941,941
1469936426,925,925
1469938509,912,912
1469939408,900,900
1469940327,896,896
1469941521,889,889
1469942419,892,892
1469943308,878,878
1469943738,877,877
1469945111,876,876
1469946013,878,878
1469947356,870,870
1469948166,873,873
1469949009,863,863
1469950207,859,859
1469951124,859,859
1469952329,859,859
1469953222,862,862
1469954422,852,852
1469955367,854,854
1469956207,846,846
1469957287,848,848
1469958331,837,837
1469960319,829,829
1469961758,821,821
1469962597,825,825
1469963408,813,813
1469964493,819,819
1469965355,801,801
1469966167,803,803
1469967017,796,796
1469968952,780,780
1469969862,785,785
1469970723,780,780
1469971808,776,776
1469972730,776,776
1469973367,777,777
1469974217,774,774
1469976159,766,766
1469977098,762,762
1469978109,762,762
1469979009,753,753
1469980063,753,753
1469981315,747,747
1469982282,753,753
1469983224,738,738
1469984351,734,734
1469985308,734,734
1469986209,724,724
1469986950,722,722
1469988324,719,719
1469989217,721,721
1469990388,711,711
1469991598,697,697
1469993708,676,676
1469996108,660,660
1469997009,648,648
1469997748,647,647
1469998568,648,648
1469999406,638,638
1470000608,630,630
1470001524,626,626
1470003310,613,613
1470004211,602,602
1470005129,597,597
1470006033,585,585
1470006909,588,588
1470007808,573,573
1470008732,568,568
1470009907,555,555
1470011286,556,556
1470012127,536,536
1470014107,534,534
1470015009,528,528
1470016994,509,509
1470018010,518,518
1470018809,499,499
1470019327,496,496
1470020551,488,488
1470021608,489,489
1470022927,465,465
1470024308,455,455
1470025209,456,456
1470026117,438,438
1470027801,441,441
1470028809,441,441
1470030127,444,444
1470030967,445,445
1470031817,448,448
1470033728,454,454
1470034567,456,456
1470035408,459,459
1470036487,461,461
1470037508,465,465
1470038589,466,466
1470039610,468,468
1470040476,470,470
1470041268,471,471
1470043209,475,475
1470044527,476,476
1470045366,481,481
1470047107,482,482
1470048009,486,486
1470049507,489,489
1470050650,494,494
1470051607,497,497
1470053417,498,498
1470054261,499,499
1470055209,501,501
1470056167,503,503
1470057008,504,504
1470057803,505,505
1470058807,507,507
1470059706,512,512
1470060793,511,511
1470061810,512,512
1470062708,517,517
1470063367,518,518
1470064208,520,520
1470065060,521,521
1470066008,524,524
1470067389,530,530
1470068409,531,531
1470069307,529,529
1470070991,533,533
1470073208,539,539
1470074167,543,543
1470075985,546,546
1470076808,549,549
1470079809,551,551
1470080694,555,555
1470082217,556,556
1470083241,559,559
1470084966,563,563
1470085791,566,566
1470087824,567,567
1470088694,569,569
1470089708,572,572
1470090613,574,574
1470092708,577,577
1470093608,581,581
1470094456,582,582
1470095407,585,585
1470096307,588,588
1470097209,592,592
1470098410,593,593
1470100507,598,598
1470101407,599,599
1470103507,602,602
1470104409,603,603
1470105307,605,605
1470106594,606,606
1470108418,608,608
1470109327,607,607
1470110707,607,607
1470111608,608,608
1470112517,609,609
1470113708,609,609
1470114607,607,607
1470115808,605,605
1470118809,607,607
1470119707,604,604
1470120607,604,604
1470121508,601,601
1470122321,603,603
1470123728,598,598
1470125108,597,597
1470126010,600,600
1470126908,604,604
1470128363,602,602
1470129267,601,601
1470130207,605,605
1470131109,603,603
1470132847,599,599
1470133809,597,597
1470135307,602,602
1470136508,602,602
1470137408,602,602
1470138308,601,601
1470138967,603,603
1470140887,603,603
1470141731,596,596
1470143108,596,596
1470144010,598,598
1470145327,599,599
1470146708,602,602
1470147580,605,605
1470148809,603,603
1470149768,605,605
1470150609,601,601
1470151720,604,604
1470152708,596,596
