DateTime,AddedIPs,RemovedIPs
1469489706,0,1
1469490128,0,1
1469491507,2,1
1469493362,1,0
1469495273,0,1
1469496907,3,5
1469498109,5,1
1469499016,1,1
1469500927,2,0
1469502307,1,2
1469503210,4,0
1469504108,2,3
1469505546,4,5
1469506508,2,0
1469507411,4,0
1469508306,2,2
1469508966,1,0
1469509806,2,4
1469511814,2,3
1469513108,3,0
1469514008,2,1
1469515211,4,7
1469517008,1,0
1469518087,4,0
1469518928,1,3
1469520295,2,3
1469521212,2,0
1469522409,0,1
1469523366,1,0
1469524208,1,1
1469526126,5,2
1469526968,3,0
1469527816,2,2
1469529007,4,1
1469529907,2,1
1469532010,7,7
1469532908,2,5
1469535220,1,3
1469537208,1,0
1469538029,2,2
1469540108,0,1
1469541908,1,5
1469543794,2,1
1469544967,0,1
1469545809,0,1
1469546706,2,0
1469547564,0,6
1469549107,1,0
1469550606,4,2
1469551506,1,0
1469553609,3,1
1469554932,0,1
1469555766,1,0
1469556616,0,1
1469557812,2,2
1469558648,1,0
1469560562,0,3
1469562128,0,5
1469563510,1,3
1469565308,0,3
1469565729,1,1
1469567646,1,4
1469568608,0,2
1469569331,0,2
1469571016,1,3
1469572207,0,4
1469573830,1,0
1469575231,1,2
1469576533,1,2
1469577366,1,0
1469578216,0,2
1469580128,2,0
1469581507,1,3
1469582411,1,0
1469583306,4,5
1469584804,3,4
1469587786,1,5
1469589006,5,1
1469590506,3,3
1469592308,3,11
1469593175,2,0
1469594139,1,4
1469594535,0,2
1469595589,1,3
1469596509,1,1
1469597408,1,3
1469598316,2,2
1469600408,4,1
1469601733,2,5
1469604010,6,1
1469604907,1,5
1469605333,1,1
1469606706,1,0
1469608088,1,0
1469609109,1,4
1469611209,6,3
1469612106,2,1
1469613055,0,1
1469613910,2,2
1469614808,2,0
1469615708,4,3
1469616137,1,0
1469617372,1,3
1469618412,2,0
1469619736,2,6
1469622610,1,3
1469623332,0,1
1469624707,3,1
1469625506,2,0
1469626931,3,2
1469628616,0,1
1469629421,1,0
1469631472,1,2
1469632507,0,2
1469634131,2,0
1469636047,3,1
1469637010,0,2
1469637732,0,1
1469638626,1,0
1469639707,3,2
1469640607,0,4
1469642803,1,1
1469643615,1,0
1469644931,1,3
1469646257,1,2
1469648415,1,0
1469650508,1,1
1469651409,0,1
1469652133,3,1
1469652967,2,0
1469653808,0,3
1469655008,4,2
1469656884,1,2
1469658608,1,0
1469659509,1,0
1469661007,0,1
1469662102,2,0
1469663107,2,0
1469664912,2,1
1469665808,2,3
1469668458,3,5
1469670137,2,4
1469671471,2,2
1469672414,1,0
1469672886,1,0
1469674567,5,3
1469676012,2,4
1469677208,2,4
1469678708,2,0
1469679614,5,0
1469680516,2,6
1469681707,2,1
1469682666,5,2
1469683808,3,3
1469685366,2,3
1469686216,1,1
1469687362,3,5
1469688308,3,1
1469689510,1,1
1469690415,2,0
1469691737,2,4
1469693114,2,2
1469694016,2,0
1469694487,1,0
1469696166,3,2
1469696983,1,2
1469698208,3,3
1469699108,2,0
1469700617,5,5
1469701810,1,1
1469702707,2,0
1469704449,2,3
1469705408,1,2
1469706267,1,0
1469708050,2,2
1469709010,0,1
1469712011,3,1
1469712889,2,1
1469713340,0,2
1469715015,1,1
1469716939,0,1
1469718316,1,1
1469720107,2,2
1469720541,1,3
1469721600,1,1
1469723286,1,0
1469724141,0,2
1469725806,1,2
1469726706,2,0
1469728732,1,5
1469729648,1,0
1469730612,1,0
1469731507,0,1
1469733613,2,0
1469735106,1,2
1469736909,0,3
1469741408,1,3
1469742310,0,1
1469745009,2,2
1469745739,0,1
1469749339,2,2
1469752208,2,2
1469753121,2,1
1469755214,4,2
1469757031,4,3
1469757913,2,2
1469758816,2,0
1469760139,5,5
1469762046,3,2
1469763008,2,1
1469763916,1,1
1469766014,4,1
1469767034,4,3
1469768166,4,0
1469769008,3,2
1469770814,4,4
1469772322,4,1
1469773211,2,0
1469774537,3,4
1469776446,6,3
1469777287,1,0
1469779128,5,9
1469780113,2,0
1469782566,7,5
1469783409,3,3
1469784609,0,2
1469785344,0,3
1469786195,2,0
1469787016,1,1
1469788037,3,0
1469788948,5,4
1469789769,4,0
1469790606,1,2
1469791810,2,1
1469792719,1,0
1469794507,4,2
1469795408,0,3
1469797377,6,4
1469798270,1,0
1469799613,1,2
1469800786,5,1
1469801708,2,0
1469804167,1,2
1469805007,0,1
1469806213,2,4
1469808035,0,2
1469809808,0,2
1469810721,1,0
1469812208,0,2
1469813087,1,0
1469813992,1,1
1469816111,0,1
1469817009,1,0
1469817729,2,2
1469818639,1,0
1469819541,0,1
1469820603,2,2
1469821520,0,3
1469823611,1,2
1469824817,3,3
1469826607,1,1
1469827446,1,0
1469829306,3,4
1469831409,0,3
1469832145,2,1
1469833515,1,3
1469835306,2,1
1469836506,3,0
1469839521,2,2
1469841616,1,0
1469842941,1,1
1469844846,2,3
1469845806,2,2
1469846722,3,1
1469847644,4,1
1469848446,3,0
1469849409,0,5
1469850313,0,1
1469851346,0,5
1469852413,2,0
1469853287,2,5
1469854346,5,2
1469855407,0,3
1469856486,3,0
1469858295,1,7
1469859308,3,0
1469860209,0,3
1469860929,1,0
1469861766,3,0
1469862607,1,4
1469864715,1,2
1469865705,1,3
1469866507,2,0
1469867408,3,4
1469868258,0,1
1469870107,4,3
1469871008,1,5
