DateTime,Entries,UniqueIPs
1469523366,390,390
1469524208,390,390
1469526126,393,393
1469526968,396,396
1469527816,396,396
1469529007,399,399
1469529907,400,400
1469532010,400,400
1469532908,397,397
1469535220,395,395
1469537208,396,396
1469538029,396,396
1469540108,395,395
1469541908,391,391
1469543794,392,392
1469544967,391,391
1469545809,390,390
1469546706,392,392
1469547564,386,386
1469549107,387,387
1469550606,389,389
1469551506,390,390
1469553609,392,392
1469554932,391,391
1469555766,392,392
1469556616,391,391
1469557812,391,391
1469558648,392,392
1469560562,389,389
1469562128,384,384
1469563510,382,382
1469565308,379,379
1469565729,379,379
1469567646,376,376
1469568608,374,374
1469569331,372,372
1469571016,370,370
1469572207,366,366
1469573830,367,367
1469575231,366,366
1469576533,365,365
1469577366,366,366
1469578216,364,364
1469580128,366,366
1469581507,364,364
1469582411,365,365
1469583306,364,364
1469584804,363,363
1469587786,359,359
1469589006,363,363
1469590506,363,363
1469592308,355,355
1469593175,357,357
1469594139,354,354
1469594535,352,352
1469595589,350,350
1469596509,350,350
1469597408,348,348
1469598316,348,348
1469600408,351,351
1469601733,348,348
1469604010,353,353
1469604907,349,349
1469605333,349,349
1469606706,350,350
1469608088,351,351
1469609109,348,348
1469611209,351,351
1469612106,352,352
1469613055,351,351
1469613910,351,351
1469614808,353,353
1469615708,354,354
1469616137,355,355
1469617372,353,353
1469618412,355,355
1469619736,351,351
1469622610,349,349
1469623332,348,348
1469624707,350,350
1469625506,352,352
1469626931,353,353
1469628616,352,352
1469629421,353,353
1469631472,352,352
1469632507,350,350
1469634131,352,352
1469636047,354,354
1469637010,352,352
1469637732,351,351
1469638626,352,352
1469639707,353,353
1469640607,349,349
1469642803,349,349
1469643615,350,350
1469644931,348,348
1469646257,347,347
1469648415,348,348
1469650508,348,348
1469651409,347,347
1469652133,349,349
1469652967,351,351
1469653808,348,348
1469655008,350,350
1469656884,349,349
1469658608,350,350
1469659509,351,351
1469661007,350,350
1469662102,352,352
1469663107,354,354
1469664912,355,355
1469665808,354,354
1469668458,352,352
1469670137,350,350
1469671471,350,350
1469672414,351,351
1469672886,352,352
1469674567,354,354
1469676012,352,352
1469677208,350,350
1469678708,352,352
1469679614,357,357
1469680516,353,353
1469681707,354,354
1469682666,357,357
1469683808,357,357
1469685366,356,356
1469686216,356,356
1469687362,354,354
1469688308,356,356
1469689510,356,356
1469690415,358,358
1469691737,356,356
1469693114,356,356
1469694016,358,358
1469694487,359,359
1469696166,360,360
1469696983,359,359
1469698208,359,359
1469699108,361,361
1469700617,361,361
1469701810,361,361
1469702707,363,363
1469704449,362,362
1469705408,361,361
1469706267,362,362
1469708050,362,362
1469709010,361,361
1469712011,363,363
1469712889,364,364
1469713340,362,362
1469715015,362,362
1469716939,361,361
1469718316,361,361
1469720107,361,361
1469720541,359,359
1469721600,359,359
1469723286,360,360
1469724141,358,358
1469725806,357,357
1469726706,359,359
1469728732,355,355
1469729648,356,356
1469730612,357,357
1469731507,356,356
1469733613,358,358
1469735106,357,357
1469736909,354,354
1469741408,352,352
1469742310,351,351
1469745009,351,351
1469745739,350,350
1469749339,350,350
1469752208,350,350
1469753121,351,351
1469755214,353,353
1469757031,354,354
1469757913,354,354
1469758816,356,356
1469760139,356,356
1469762046,357,357
1469763008,358,358
1469763916,358,358
1469766014,361,361
1469767034,362,362
1469768166,366,366
1469769008,367,367
1469770814,367,367
1469772322,370,370
1469773211,372,372
1469774537,371,371
1469776446,374,374
1469777287,375,375
1469779128,371,371
1469780113,373,373
1469782566,375,375
1469783409,375,375
1469784609,373,373
1469785344,370,370
1469786195,372,372
1469787016,372,372
1469788037,375,375
1469788948,376,376
1469789769,380,380
1469790606,379,379
1469791810,380,380
1469792719,381,381
1469794507,383,383
1469795408,380,380
1469797377,382,382
1469798270,383,383
1469799613,382,382
1469800786,386,386
1469801708,388,388
1469804167,387,387
1469805007,386,386
1469806213,384,384
1469808035,382,382
1469809808,380,380
1469810721,381,381
1469812208,379,379
1469813087,380,380
1469813992,380,380
1469816111,379,379
1469817009,380,380
1469817729,380,380
1469818639,381,381
1469819541,380,380
1469820603,380,380
1469821520,377,377
1469823611,376,376
1469824817,376,376
1469826607,376,376
