DateTime,Entries,UniqueIPs
1469622610,1171,1171
1469623332,1172,1172
1469624707,1169,1169
1469625506,1177,1177
1469626930,1184,1184
1469627766,1190,1190
1469628616,1188,1188
1469629421,1190,1190
1469631471,1202,1202
1469632506,1202,1202
1469634131,1183,1183
1469636047,1183,1183
1469637009,1181,1181
1469637730,1182,1182
1469638625,1189,1189
1469639707,1192,1192
1469640606,1190,1190
1469642803,1196,1196
1469643614,1197,1197
1469644087,1198,1198
1469644929,1186,1186
1469646257,1185,1185
1469647208,1182,1182
1469648415,1181,1181
1469649533,1177,1177
1469650508,1184,1184
1469651409,1186,1186
1469652131,1182,1182
1469652967,1180,1180
1469653808,1184,1184
1469655008,1185,1185
1469656881,1181,1181
1469657646,1182,1182
1469658607,1169,1169
1469659509,1169,1169
1469660165,1158,1158
1469661007,1166,1166
1469662102,1166,1166
1469663106,1164,1164
1469664912,1167,1167
1469665807,1168,1168
1469668457,1164,1164
1469670136,1162,1162
1469671470,1162,1162
1469672412,1162,1162
1469672886,1161,1161
1469674566,1163,1163
1469676011,1159,1159
1469677207,1158,1158
1469678707,1158,1158
1469679612,1166,1166
1469680516,1164,1164
1469681706,1166,1166
1469682666,1167,1167
1469682846,1167,1167
1469683807,1164,1164
1469685366,1171,1171
1469686216,1162,1162
1469687362,1162,1162
1469688307,1159,1159
1469689510,1158,1158
1469690412,1160,1160
1469691735,1159,1159
1469693114,1169,1169
1469694014,1174,1174
1469694486,1176,1176
1469696166,1171,1171
1469696982,1175,1175
1469698206,1181,1181
1469699107,1186,1186
1469699766,1187,1187
1469700616,1184,1184
1469701809,1181,1181
1469702707,1181,1181
1469704448,1187,1187
1469705407,1182,1182
1469706264,1181,1181
1469708049,1192,1192
1469709009,1184,1184
1469709907,1182,1182
1469712008,1185,1185
1469712889,1179,1179
1469713337,1182,1182
1469714220,1185,1185
1469715014,1184,1184
1469716939,1183,1183
1469718313,1190,1190
1469719211,1195,1195
1469720107,1185,1185
1469720538,1180,1180
1469721600,1170,1170
1469722507,1177,1177
1469723286,1175,1175
1469724138,1178,1178
1469724966,1185,1185
1469725806,1167,1167
1469726706,1173,1173
1469728732,1172,1172
1469729647,1173,1173
1469730611,1177,1177
1469731506,1181,1181
1469733613,1183,1183
1469735106,1182,1182
1469736908,1174,1174
1469737807,1170,1170
1469738708,1169,1169
1469741408,1170,1170
1469742310,1164,1164
1469744049,1167,1167
1469745007,1159,1159
1469745736,1159,1159
1469747115,1161,1161
1469748016,1166,1166
1469749337,1168,1168
1469750167,1168,1168
1469751015,1164,1164
1469751248,1170,1170
1469752208,1176,1176
1469753120,1175,1175
1469755214,1166,1166
1469757031,1172,1172
1469757913,1172,1172
1469758813,1177,1177
1469760136,1171,1171
1469762046,1169,1169
1469763008,1159,1159
1469763913,1161,1161
1469766011,1171,1171
1469767034,1165,1165
1469768165,1160,1160
1469769007,1163,1163
1469769873,1168,1168
1469770813,1152,1152
1469770938,1154,1154
1469772318,1147,1147
1469773210,1150,1150
1469774533,1150,1150
1469776446,1149,1149
1469777286,1152,1152
1469779127,1142,1142
1469780111,1143,1143
1469780886,1146,1146
1469782566,1150,1150
1469783408,1150,1150
1469783647,1149,1149
1469784609,1148,1148
1469785341,1147,1147
1469786195,1159,1159
1469787016,1161,1161
1469788037,1160,1160
1469788944,1157,1157
1469789768,1157,1157
1469790606,1157,1157
1469791809,1154,1154
1469792717,1163,1163
1469794507,1159,1159
1469795408,1158,1158
1469797374,1149,1149
1469798270,1156,1156
1469799609,1153,1153
1469800785,1154,1154
1469801708,1157,1157
1469802486,1160,1160
1469804166,1158,1158
1469805007,1153,1153
1469806212,1183,1183
1469807117,1176,1176
1469808034,1179,1179
1469808908,1178,1178
1469809808,1162,1162
1469810720,1167,1167
1469812207,1172,1172
1469813087,1176,1176
1469813992,1168,1168
1469816110,1174,1174
1469817008,1163,1163
1469817729,1164,1164
1469818639,1172,1172
1469819541,1157,1157
1469820603,1161,1161
1469821519,1161,1161
1469823610,1163,1163
1469824816,1160,1160
1469825708,1157,1157
1469826606,1154,1154
1469827446,1150,1150
1469828415,1139,1139
1469829306,1144,1144
1469830507,1149,1149
1469831407,1145,1145
1469832141,1144,1144
1469833514,1154,1154
1469834406,1157,1157
1469835306,1146,1146
1469836506,1147,1147
1469837416,1142,1142
1469838608,1139,1139
1469839520,1138,1138
1469841612,1137,1137
1469842940,1137,1137
1469844846,1138,1138
1469845806,1138,1138
1469846721,1135,1135
1469847639,1140,1140
1469848446,1141,1141
1469849407,1144,1144
1469850312,1146,1146
1469851345,1148,1148
1469852411,1150,1150
1469853287,1145,1145
1469854345,1144,1144
1469855406,1140,1140
1469856486,1147,1147
1469858294,1144,1144
1469859308,1149,1149
1469860209,1152,1152
1469860929,1147,1147
1469861766,1145,1145
1469862606,1138,1138
1469864714,1130,1130
1469865701,1129,1129
1469866506,1131,1131
1469867407,1122,1122
1469868258,1122,1122
1469870106,1107,1107
1469871007,1100,1100
1469871727,1107,1107
1469872566,1106,1106
1469873415,1108,1108
1469874608,1102,1102
1469875508,1107,1107
1469877809,1101,1101
1469878814,1099,1099
1469878928,1101,1101
1469880399,1093,1093
1469881212,1093,1093
1469882411,1090,1090
1469883366,1095,1095
1469884206,1089,1089
1469885406,1078,1078
1469886313,1079,1079
1469887506,1074,1074
1469888305,1081,1081
1469889608,1063,1063
1469890779,1058,1058
1469891707,1067,1067
1469892606,1063,1063
1469893511,1061,1061
1469894998,1060,1060
1469896207,1064,1064
1469897477,1070,1070
1469898308,1070,1070
1469899806,1060,1060
1469902506,1053,1053
1469903406,1051,1051
1469904317,1054,1054
1469905516,1048,1048
1469906418,1049,1049
1469907306,1048,1048
1469909110,1045,1045
1469910021,1041,1041
1469911157,1035,1035
1469911953,1038,1038
1469914326,1043,1043
1469914934,1042,1042
1469915833,1043,1043
1469916907,1039,1039
1469917806,1043,1043
1469918723,1038,1038
1469920206,1040,1040
1469921286,1043,1043
1469922307,1031,1031
1469924417,1034,1034
1469925612,1024,1024
1469926444,1031,1031
1469927406,1025,1025
1469929341,1024,1024
1469931248,1034,1034
1469932206,1029,1029
1469933114,1027,1027
1469935212,1032,1032
1469936417,1033,1033
1469937306,1035,1035
1469938508,1030,1030
1469939407,1034,1034
1469940317,1032,1032
1469941515,1042,1042
1469942418,1044,1044
1469943306,1041,1041
1469943731,1034,1034
1469945110,1034,1034
1469946008,1029,1029
1469947343,1027,1027
1469948165,1032,1032
1469949007,1036,1036
1469950206,1029,1029
1469951116,1025,1025
1469953212,1021,1021
1469954412,1025,1025
1469955366,1032,1032
1469956206,1021,1021
1469957286,1020,1020
1469958321,1006,1006
1469960318,1023,1023
1469961749,1021,1021
1469962597,1021,1021
1469963406,1023,1023
1469964492,1019,1019
1469965342,1014,1014
1469966166,1019,1019
1469967016,1020,1020
1469968942,1015,1015
1469969862,1018,1018
1469970722,1011,1011
1469971808,1005,1005
1469972719,1015,1015
1469973366,1014,1014
1469974216,1017,1017
1469976146,820,820
1469977097,820,820
1469978107,825,825
1469979006,822,822
1469980057,820,820
1469981314,817,817
