DateTime,AddedIPs,RemovedIPs
1469585644,90,25
1469586485,78,0
1469587783,126,139
1469589004,101,205
1469590504,149,256
1469592304,196,319
1469593173,86,0
1469594137,111,54
1469594530,50,53
1469595587,155,78
1469596507,115,3
1469597405,142,49
1469598314,131,36
1469600404,271,138
1469601728,160,337
1469604006,325,224
1469604905,128,103
1469605327,25,40
1469606704,74,196
1469607609,55,2
1469608085,28,0
1469609105,33,391
1469611207,120,206
1469612104,91,173
1469613053,152,16
1469613905,99,224
1469614804,85,0
1469615705,60,443
1469616130,17,150
1469617366,105,258
1469618406,76,0
1469619729,95,472
1469621645,168,115
1469622607,74,296
1469623326,77,100
1469624705,134,216
1469625504,82,0
1469626927,154,323
1469627765,85,1
1469628614,82,41
1469629419,64,0
1469631470,230,328
1469632505,111,184
1469634129,179,354
1469636045,122,86
1469637006,30,115
1469637728,32,76
1469638624,37,0
1469639705,51,211
1469640605,36,297
1469643608,110,336
1469644084,15,0
1469644926,29,109
1469646253,52,230
1469647204,30,0
1469648409,44,415
1469649531,71,173
1469650506,78,47
1469651407,51,323
1469652128,38,88
1469652964,27,0
1469653805,50,163
1469655005,83,381
1469656877,78,403
1469657645,39,33
1469658604,63,275
1469659506,55,15
1469660163,23,0
1469661004,33,41
1469662100,78,1
1469663104,75,53
1469664908,96,84
1469665804,66,129
1469668455,211,95
1469670131,177,64
1469671469,148,40
1469672406,100,0
1469672884,55,0
1469674565,164,61
1469676005,141,43
1469677204,134,76
1469678705,165,32
1469679608,101,0
1469680514,109,39
1469681705,146,11
1469682663,127,35
1469682844,30,1
1469683804,126,37
1469685364,166,20
1469686214,23,41
1469687360,29,46
1469688305,22,12
1469689506,44,43
1469690406,45,0
1469691732,78,74
1469693110,84,34
1469694010,38,0
1469694484,23,0
1469696164,45,250
1469696980,22,74
1469698204,84,90
1469699105,47,30
1469699764,59,0
1469700614,204,133
1469701805,219,225
1469702704,91,33
1469704446,196,62
1469705406,90,99
1469706257,95,45
1469708045,200,86
1469709005,108,169
1469709905,124,46
1469711199,114,133
1469712005,109,2
1469712887,124,144
1469713331,85,30
1469714218,120,0
1469715013,90,111
1469716932,248,202
1469718307,140,144
1469719207,99,2
1469720105,98,61
1469720531,38,21
1469721598,82,29
1469722505,24,5
1469723284,21,0
1469724132,29,66
1469724964,27,0
1469725804,20,57
1469726704,29,0
1469728730,95,89
1469729644,65,2
1469730607,36,53
1469731504,46,16
1469733609,155,39
1469735104,106,49
1469736905,176,61
1469737805,69,90
1469738706,95,20
1469741405,180,119
1469742308,64,39
1469744046,124,49
1469745004,54,80
1469745732,61,38
1469747111,112,77
1469748009,46,0
1469749330,99,126
1469750165,63,0
1469751013,71,74
1469751245,14,0
1469752205,76,183
1469753112,53,60
1469755209,185,110
1469757029,177,204
1469757909,103,107
1469758805,91,2
1469760129,122,230
1469762044,155,119
1469763005,85,181
1469763909,65,52
1469766007,211,154
1469767032,106,225
1469768164,127,74
1469769004,106,150
1469769870,102,0
1469770809,106,274
1469770931,8,0
1469772311,28,164
1469773205,15,0
1469774528,41,317
1469776444,39,72
1469777285,33,1
1469779125,80,180
1469780106,45,6
1469780884,26,0
1469782564,74,168
1469783405,22,199
1469783645,8,0
1469784606,82,158
1469785332,158,22
1469786193,170,2
1469787014,119,97
1469788035,124,1
1469788936,72,167
1469789764,77,1
1469790604,100,103
1469791805,81,139
1469792712,96,72
1469794504,68,108
1469795405,30,168
1469797365,150,188
1469798268,101,0
1469799605,159,218
1469800783,141,124
1469801705,110,23
1469802484,65,0
1469804164,169,248
1469805005,78,93
1469806208,131,56
1469807113,94,22
1469808029,83,56
1469808905,83,0
1469809805,67,65
1469810711,46,27
1469812205,116,41
1469813079,76,1
1469813990,72,75
1469816106,156,45
1469817005,72,55
1469817727,53,16
1469818637,59,0
1469819539,46,72
1469820601,52,131
1469821510,38,33
1469823606,167,48
1469824812,91,155
1469825704,74,0
1469826604,55,49
1469827438,55,0
1469828407,54,126
1469829304,113,1
1469830505,185,64
1469831405,151,106
1469832133,103,33
1469833509,193,66
1469834405,136,0
1469835304,107,108
1469836504,91,53
1469837414,28,58
1469838605,51,184
1469839510,32,43
1469841606,89,138
1469842930,55,231
1469844844,100,100
1469845804,56,179
1469846712,52,56
1469847635,48,145
1469848444,45,0
1469849405,48,169
1469850305,43,72
1469851336,59,153
1469852405,64,0
1469853285,45,251
1469854343,42,88
1469855405,50,102
1469856484,33,0
1469857454,20,63
1469858293,22,39
1469859305,30,3
1469860206,20,77
1469860927,17,31
1469861764,16,0
1469862605,18,74
1469864710,35,94
1469865692,21,31
1469866504,26,0
1469867405,16,92
1469868249,26,33
1469870104,42,128
1469871004,27,377
1469871725,28,60
1469872565,39,0
1469873413,41,144
1469874606,74,171
1469875506,36,64
1469877800,62,139
1469878809,30,256
1469878927,3,0
1469880393,35,148
1469881207,26,1
1469882406,40,319
1469883365,27,0
1469884204,25,171
1469885405,20,224
1469886308,32,70
1469887504,46,143
1469888303,22,0
