DateTime,Entries,UniqueIPs
1469616130,24549,24549
1469617366,24396,24396
1469618406,24472,24472
1469619729,24095,24095
1469621645,24148,24148
1469622607,23926,23926
1469623326,23903,23903
1469624705,23821,23821
1469625504,23903,23903
1469626927,23734,23734
1469627765,23818,23818
1469628614,23859,23859
1469629419,23923,23923
1469631470,23825,23825
1469632505,23752,23752
1469634129,23577,23577
1469636045,23613,23613
1469637006,23528,23528
1469637728,23484,23484
1469638624,23521,23521
1469639705,23361,23361
1469640605,23100,23100
1469643608,22874,22874
1469644084,22889,22889
1469644926,22809,22809
1469646253,22631,22631
1469647204,22661,22661
1469648409,22290,22290
1469649531,22188,22188
1469650506,22219,22219
1469651407,21947,21947
1469652128,21897,21897
1469652964,21924,21924
1469653805,21811,21811
1469655005,21513,21513
1469656877,21188,21188
1469657645,21194,21194
1469658604,20982,20982
1469659506,21022,21022
1469660163,21045,21045
1469661004,21037,21037
1469662100,21114,21114
1469663104,21136,21136
1469664908,21148,21148
1469665804,21085,21085
1469668455,21201,21201
1469670131,21314,21314
1469671469,21422,21422
1469672406,21522,21522
1469672884,21577,21577
1469674565,21680,21680
1469676005,21778,21778
1469677204,21836,21836
1469678705,21969,21969
1469679608,22070,22070
1469680514,22140,22140
1469681705,22275,22275
1469682663,22367,22367
1469682844,22396,22396
1469683804,22485,22485
1469685364,22631,22631
1469686214,22613,22613
1469687360,22596,22596
1469688305,22606,22606
1469689506,22607,22607
1469690406,22652,22652
1469691732,22656,22656
1469693110,22706,22706
1469694010,22744,22744
1469694484,22767,22767
1469696164,22562,22562
1469696980,22510,22510
1469698204,22504,22504
1469699105,22521,22521
1469699764,22580,22580
1469700614,22651,22651
1469701805,22645,22645
1469702704,22703,22703
1469704446,22837,22837
1469705406,22828,22828
1469706257,22878,22878
1469708045,22992,22992
1469709005,22931,22931
1469709905,23009,23009
1469711199,22990,22990
1469712005,23097,23097
1469712887,23077,23077
1469713331,23132,23132
1469714218,23252,23252
1469715013,23231,23231
1469716932,23277,23277
1469718307,23273,23273
1469719207,23370,23370
1469720105,23407,23407
1469720531,23424,23424
1469721598,23477,23477
1469722505,23496,23496
1469723284,23517,23517
1469724132,23480,23480
1469724964,23507,23507
1469725804,23470,23470
1469726704,23499,23499
1469728730,23505,23505
1469729644,23568,23568
1469730607,23551,23551
1469731504,23581,23581
1469733609,23697,23697
1469735104,23754,23754
1469736905,23869,23869
1469737805,23848,23848
1469738706,23923,23923
1469741405,23984,23984
1469742308,24009,24009
1469744046,24084,24084
1469745004,24058,24058
1469745732,24081,24081
1469747111,24116,24116
1469748009,24162,24162
1469749330,24135,24135
1469750165,24198,24198
1469751013,24195,24195
1469751245,24209,24209
1469752205,24102,24102
1469753112,24095,24095
1469755209,24170,24170
1469757029,24143,24143
1469757909,24139,24139
1469758805,24228,24228
1469760129,24120,24120
1469762044,24156,24156
1469763005,24060,24060
1469763909,24073,24073
1469766007,24130,24130
1469767032,24011,24011
1469768164,24064,24064
1469769004,24020,24020
1469769870,24122,24122
1469770809,23954,23954
1469770931,23962,23962
1469772311,23826,23826
1469773205,23841,23841
1469774528,23565,23565
1469776444,23532,23532
1469777285,23564,23564
1469779125,23464,23464
1469780106,23503,23503
1469780884,23529,23529
1469782564,23435,23435
1469783405,23258,23258
1469783645,23266,23266
1469784606,23190,23190
1469785332,23326,23326
1469786193,23494,23494
1469787014,23516,23516
1469788035,23639,23639
1469788936,23544,23544
1469789764,23620,23620
1469790604,23617,23617
1469791805,23559,23559
1469792712,23583,23583
1469794504,23543,23543
1469795405,23405,23405
1469797365,23367,23367
1469798268,23468,23468
1469799605,23409,23409
1469800783,23426,23426
1469801705,23513,23513
1469802484,23578,23578
