DateTime,Entries,UniqueIPs
1469090108,119,119
1469097472,118,118
1469099407,117,117
1469101502,116,116
1469103310,117,117
1469105107,116,116
1469106022,115,115
1469108528,116,116
1469110509,116,116
1469111392,117,117
1469113530,117,117
1469119332,117,117
1469121247,118,118
1469122926,120,120
1469127721,119,119
1469129635,118,118
1469130131,120,120
1469134564,121,121
1469137506,120,120
1469139607,119,119
1469140814,120,120
1469145908,119,119
1469146809,120,120
1469147707,122,122
1469149878,124,124
1469152567,123,123
1469155333,122,122
1469157608,123,123
1469159766,126,126
1469163510,122,122
1469165408,122,122
1469166131,123,123
1469168411,122,122
1469170777,122,122
1469173312,124,124
1469174706,123,123
1469175611,122,122
1469176930,120,120
1469178590,119,119
1469181865,119,119
1469182811,120,120
1469184010,119,119
1469189708,118,118
1469190577,116,116
1469192698,116,116
1469195707,118,118
1469196909,120,120
1469199795,120,120
1469200810,121,121
1469202133,120,120
1469203816,118,118
1469207646,119,119
1469208486,117,117
1469209331,118,118
1469211016,119,119
1469212810,120,120
1469214847,121,121
1469215809,121,121
1469216534,120,120
1469218507,121,121
1469219287,122,122
1469220967,123,123
1469221807,122,122
1469223907,121,121
1469225107,120,120
1469227331,119,119
1469229308,119,119
1469230209,120,120
1469232847,120,120
1469233809,118,118
1469236813,119,119
1469238309,116,116
1469241306,117,117
1469243648,118,118
1469249107,119,119
1469254216,118,118
1469259308,116,116
1469261646,118,118
1469262487,119,119
1469270532,120,120
1469272446,121,121
1469273408,120,120
1469275228,121,121
1469278507,121,121
1469281507,120,120
1469284208,119,119
1469285403,121,121
1469288410,120,120
1469289366,119,119
1469290216,119,119
1469291410,118,118
1469295007,117,117
1469297106,117,117
1469299335,116,116
1469300573,117,117
1469301609,118,118
1469302508,119,119
1469304309,118,118
1469306493,119,119
1469310137,117,117
1469314847,117,117
1469318232,118,118
1469319247,117,117
1469320207,116,116
1469325308,116,116
1469327289,117,117
1469328130,116,116
1469329507,112,112
1469330410,113,113
1469333416,114,114
1469335335,116,116
1469342709,117,117
1469345878,115,115
1469346835,116,116
1469348888,118,118
1469351107,119,119
1469352908,118,118
1469356207,119,119
1469360019,120,120
1469361007,121,121
1469361907,119,119
1469362814,118,118
1469365437,117,117
1469367295,117,117
1469367738,120,120
1469369108,118,118
1469370908,122,122
1469372709,138,138
1469373618,145,145
1469374527,151,151
1469375532,160,160
1469376501,163,163
1469377808,162,162
1469378710,163,163
1469380209,162,162
1469381410,161,161
1469383955,161,161
1469385611,158,158
1469389434,156,156
1469392929,157,157
1469395219,156,156
1469397891,154,154
1469398813,155,155
1469399773,156,156
1469401507,153,153
1469403731,152,152
1469406008,153,153
1469407326,151,151
1469408709,152,152
1469412616,152,152
1469414409,153,153
1469415909,155,155
1469418009,154,154
1469421609,154,154
1469429707,152,152
1469430608,151,151
1469432212,150,150
1469434447,149,149
1469438415,147,147
1469446208,154,154
1469447604,155,155
1469448907,160,160
1469449811,163,163
1469450527,165,165
1469451366,168,168
1469453290,170,170
1469454967,171,171
1469455816,166,166
1469456617,165,165
1469462329,166,166
1469463246,167,167
1469465294,167,167
1469468313,166,166
1469469175,167,167
1469470183,166,166
1469471410,164,164
1469475009,165,165
1469475907,165,165
1469477647,165,165
1469478609,164,164
1469479507,165,165
1469482815,164,164
1469484910,165,165
1469488712,166,166
1469489706,167,167
1469491507,168,168
1469493362,167,167
1469494167,166,166
1469495273,167,167
1469496907,168,168
1469498109,169,169
1469499016,168,168
1469500927,167,167
1469504108,167,167
1469511814,166,166
1469513108,165,165
1469514008,166,166
1469517008,165,165
1469518087,164,164
1469518928,163,163
1469520296,164,164
1469523366,163,163
1469527817,164,164
1469529007,160,160
1469532011,162,162
1469532908,162,162
1469535220,166,166
1469537209,166,166
1469538031,165,165
1469540108,165,165
1469541909,166,166
1469542812,167,167
1469543794,169,169
1469544967,170,170
1469545809,173,173
1469546706,174,174
1469547564,173,173
1469549107,175,175
1469550607,174,174
1469551506,175,175
1469553609,176,176
1469554934,175,175
1469555766,176,176
1469556616,177,177
1469557812,176,176
1469558648,176,176
1469560563,177,177
1469562129,176,176
1469563510,177,177
1469564410,178,178
1469567647,181,181
1469568609,180,180
1469570150,181,181
1469571016,182,182
1469572208,183,183
1469573830,182,182
1469575232,181,181
1469576533,180,180
1469578216,187,187
