DateTime,AddedIPs,RemovedIPs
1469607607,9,2
1469608084,3,1
1469609103,5,14
1469611204,10,6
1469612103,8,2
1469613052,7,1
1469613903,2,8
1469614803,4,1
1469615704,3,12
1469616127,3,4
1469617365,19,8
1469618403,4,0
1469619726,7,15
1469621644,7,5
1469622605,6,15
1469623324,2,2
1469624704,8,7
1469625503,7,1
1469626925,7,9
1469627763,6,0
1469628613,1,6
1469629418,6,1
1469631469,13,12
1469632504,5,6
1469634126,6,12
1469636044,8,7
1469637005,9,13
1469637725,4,5
1469638813,10,13
1469639704,8,0
1469640604,7,7
1469643606,18,9
1469644083,3,1
1469644925,15,10
1469646251,31,26
1469647203,11,1
1469648407,9,15
1469649530,8,9
1469650504,10,1
1469651405,36,12
1469652124,9,3
1469652963,9,1
1469653803,4,4
1469655003,9,6
1469656876,13,36
1469657644,6,2
1469658603,6,23
1469659503,7,3
1469660163,7,1
1469661003,7,6
1469662099,2,1
1469663103,4,5
1469664014,8,1
1469664906,6,3
1469665803,8,13
1469668454,21,4
1469670128,9,12
1469671467,8,23
1469672404,4,0
1469672883,5,1
1469674564,9,14
1469676003,5,6
1469677203,5,17
1469678703,9,13
1469679606,5,1
1469680513,5,10
1469681704,5,3
1469682662,3,5
1469683803,2,8
1469685363,3,5
1469686213,8,10
1469687359,7,5
1469688304,5,2
1469689504,36,7
1469690404,2,0
1469691728,27,14
1469693107,7,7
1469694008,8,0
1469694483,1,0
1469696163,15,11
1469696979,3,9
1469698203,0,17
1469699104,4,1
1469699763,4,0
1469700613,18,6
1469701804,11,11
1469702703,3,4
1469704443,10,10
1469705405,7,11
1469706254,3,8
1469708044,18,9
1469709004,6,17
1469709903,4,5
1469711198,9,6
1469712003,6,0
1469712886,6,9
1469713328,3,5
1469714217,5,1
1469715303,4,7
1469716205,6,10
1469716930,6,8
1469718306,5,6
1469719205,3,0
1469720104,7,7
1469720527,6,2
1469721597,7,4
1469722504,7,1
1469723283,6,0
1469724128,8,10
1469724963,2,0
1469725803,3,6
1469726703,9,0
1469728729,14,20
1469729643,6,0
1469730605,7,8
1469731503,6,3
1469733605,20,9
1469735103,10,12
1469736904,44,8
1469737804,6,8
1469738705,3,3
1469741404,15,21
1469742307,4,6
1469744043,8,14
1469745003,10,6
1469745728,4,1
1469747107,6,3
1469748006,3,0
1469749328,4,22
1469750163,3,1
1469751012,6,4
1469752204,8,9
1469753109,4,2
1469755205,18,4
1469757028,11,13
1469757907,1,10
1469758803,2,0
1469760128,4,6
1469762043,9,11
1469763004,7,11
1469763907,5,3
1469766005,10,6
1469767031,3,5
1469768163,5,4
1469769003,2,7
1469769864,5,0
1469770805,3,10
1469770929,1,0
1469772307,10,6
1469773204,6,0
1469774524,12,20
1469776443,25,10
1469777284,21,0
1469779124,27,21
1469780103,7,0
1469780883,4,0
1469782563,5,13
1469783403,4,3
1469783644,2,0
1469784604,5,2
1469785328,7,4
1469786192,5,0
1469787013,6,21
1469788034,6,0
1469788931,6,11
1469789763,21,1
1469790603,17,4
1469791804,4,9
1469792708,4,5
1469794503,7,6
1469795404,4,9
1469797361,14,4
1469798267,3,1
1469799604,9,13
1469800782,4,10
1469801704,6,0
1469802483,4,0
1469804163,13,8
1469805003,4,10
1469806206,8,10
1469807108,3,5
1469808025,3,9
1469808903,6,0
1469809804,5,11
1469810709,3,5
1469812203,5,10
1469813078,5,0
1469813989,3,29
1469816104,15,12
1469817004,22,35
1469817723,2,2
1469818636,5,2
1469819538,6,10
1469820600,33,41
1469821508,4,5
1469823603,48,6
1469824807,3,14
1469825703,13,0
1469826603,25,8
1469827437,3,0
1469828406,19,11
1469829303,7,0
1469830503,9,9
1469831404,5,10
1469832131,5,2
1469833505,8,8
1469834403,7,1
1469835303,4,12
1469836503,6,3
1469837412,1,11
1469838604,6,11
1469839506,1,3
1469841603,8,7
1469842925,7,12
1469844843,7,6
1469845803,3,8
1469846710,2,4
1469847630,6,5
1469848443,2,0
1469849404,5,7
1469850304,4,5
1469851334,6,3
1469852404,3,0
1469853284,3,8
1469854342,5,2
1469855404,4,2
1469856483,5,0
1469857449,5,14
1469858290,4,36
1469859303,5,3
1469860204,8,3
1469860925,4,20
1469861763,5,0
1469862603,4,5
1469864705,29,20
1469865690,3,3
1469866503,7,0
1469867404,3,9
1469868247,6,3
1469870103,20,11
1469871003,3,21
1469871724,5,2
1469872564,5,0
1469873412,4,4
1469874604,7,9
1469875505,5,1
1469877796,21,4
1469878807,5,15
1469878926,1,0
1469880388,10,11
1469881204,6,0
1469882404,8,16
1469883364,5,0
1469884203,7,3
1469885404,9,12
1469886304,5,5
1469887503,1,7
1469888302,2,0
1469889605,5,11
