DateTime,Entries,UniqueIPs
1469500924,1603,1603
1469502304,1626,1626
1469503203,1627,1627
1469504103,1603,1603
1469505542,1608,1608
1469506504,1620,1620
1469507404,1606,1606
1469508301,1593,1593
1469508963,1607,1607
1469509803,1605,1605
1469511810,1606,1606
1469513103,1607,1607
1469514003,1610,1610
1469515204,1613,1613
1469516035,1616,1616
1469517004,1617,1617
1469518083,1622,1622
1469518924,1622,1622
1469520292,1626,1626
1469521205,1637,1637
1469522403,1640,1640
1469523363,1650,1650
1469524203,1649,1649
1469526123,1646,1646
1469526964,1651,1651
1469527813,1652,1652
1469528043,1654,1654
1469529004,1658,1658
1469529903,1662,1662
1469531104,1661,1661
1469532003,1670,1670
1469532903,1672,1672
1469535217,1675,1675
1469536203,1671,1671
1469537205,1680,1680
1469538021,1689,1689
1469538878,1695,1695
1469540104,1693,1693
1469541903,1679,1679
1469542804,1682,1682
1469543791,1661,1661
1469544964,1644,1644
1469545803,1636,1636
1469546703,1645,1645
1469547561,1640,1640
1469549103,1638,1638
1469549643,1640,1640
1469550603,1638,1638
1469551503,1640,1640
1469552703,1637,1637
1469553603,1641,1641
1469554926,1642,1642
1469555763,1646,1646
1469556613,1641,1641
1469556844,1642,1642
1469557805,1631,1631
1469558645,1629,1629
1469559363,1632,1632
1469560559,1628,1628
1469562124,1618,1618
1469563503,1616,1616
1469564405,1619,1619
1469565304,1613,1613
1469565725,1616,1616
1469567643,1617,1617
1469568604,1606,1606
1469569325,1610,1610
1469570147,1612,1612
1469571012,1605,1605
1469571243,1607,1607
1469572204,1608,1608
1469573827,1586,1586
1469575227,1573,1573
1469576525,1557,1557
1469578212,1540,1540
1469579283,1557,1557
1469580124,1545,1545
1469581503,1539,1539
1469582404,1542,1542
1469583303,1542,1542
1469584800,1539,1539
1469585643,1543,1543
1469586483,1549,1549
1469587782,1538,1538
1469589003,1537,1537
1469590503,1528,1528
1469592303,1524,1524
1469593172,1527,1527
1469594136,1533,1533
1469594528,1535,1535
1469595586,1538,1538
1469596505,1539,1539
1469597404,1534,1534
1469598313,1536,1536
1469600403,1546,1546
1469601726,1541,1541
1469604003,1546,1546
1469604904,1538,1538
1469605326,1538,1538
1469606703,1541,1541
1469607607,1548,1548
1469608084,1550,1550
1469609103,1541,1541
1469611204,1545,1545
1469612103,1551,1551
1469613052,1557,1557
1469613903,1551,1551
1469614803,1554,1554
1469615704,1545,1545
1469616127,1544,1544
1469617365,1555,1555
1469618403,1559,1559
1469619726,1551,1551
1469621644,1553,1553
1469622605,1544,1544
1469623324,1544,1544
1469624704,1545,1545
1469625503,1551,1551
1469626925,1549,1549
1469627763,1555,1555
1469628613,1550,1550
1469629418,1555,1555
1469631469,1556,1556
