DateTime,AddedIPs,RemovedIPs
1467037688,1,0
1467038528,1,1
1467043816,1,1
1467049330,0,1
1467083408,0,1
1467090608,0,1
1467098050,1,0
1467098888,1,1
1467099727,1,0
1467116049,1,0
1467126609,0,3
1467131288,2,1
1467134889,1,1
1467139334,0,1
1467141011,0,1
1467164529,0,1
1467171736,0,1
1467175338,1,0
1467178929,0,1
1467179770,1,0
1467181689,1,0
1467189733,0,1
1467191407,1,0
1467196088,1,0
1467198608,1,0
1467200530,0,1
1467204130,0,1
1467205810,1,0
1467215769,1,0
1467219631,1,0
1467250089,1,0
1467254530,1,0
1467265342,1,0
1467289688,1,0
1467294969,1,0
1467322935,1,0
1467323769,1,0
1467324617,0,1
1467326529,0,1
1467344538,1,1
1467353417,0,1
1467368049,1,1
1467374169,1,0
1467375017,0,1
1467384146,1,0
1467402967,1,0
1467423009,1,0
1467423755,1,0
1467432617,0,1
1467437289,1,0
1467440889,1,0
1467448110,1,0
1467454217,0,1
1467458047,1,0
1467466946,0,1
1467468617,0,1
1467473288,1,0
1467474129,0,1
1467477731,0,1
1467484948,0,1
1467486608,1,0
1467487688,3,0
1467488565,0,1
1467501008,0,1
1467513731,0,1
1467526447,1,0
1467535366,0,1
1467540616,0,1
1467542555,2,0
1467547817,0,1
1467550567,1,0
1467564159,0,1
1467564969,1,0
1467578563,1,0
1467585728,1,1
1467592087,1,0
1467596528,0,1
1467609008,0,1
1467610928,1,0
1467623408,1,0
1467625508,0,1
1467635289,1,1
1467639729,0,1
1467640568,1,0
1467643329,2,0
1467657008,0,3
1467659649,0,1
1467660488,1,0
1467661331,1,0
1467662170,2,1
1467663017,2,0
1467664090,1,0
1467665769,1,0
1467672129,0,1
1467673810,1,0
1467674887,1,0
1467696487,1,0
1467703689,2,0
1467733332,1,0
1467734169,1,0
1467736089,1,0
1467737770,1,0
1467747729,0,1
1467758528,1,0
1467760208,1,0
1467762128,1,0
1467765731,0,1
1467785417,1,1
1467787329,1,0
1467826089,1,0
1467826929,1,0
1467830530,0,1
1467836890,1,0
1467838568,1,0
1467841328,0,1
1467843018,0,1
1467846847,1,0
1467861247,1,0
1467877329,0,1
1467879016,0,1
1467891727,1,0
1467895330,2,0
1467904207,0,1
1467906127,0,1
1467920528,0,1
1467922217,0,1
1467938532,0,1
1467940449,1,0
1467941409,0,1
1467952930,0,1
1467960133,0,1
1467967331,1,0
1467972617,0,1
1467978136,0,1
1467982569,1,0
1467983649,0,1
1467987017,0,1
1467990608,1,0
1467996135,0,1
1467999728,1,0
1468000569,1,0
1468001417,1,0
1468010531,0,1
1468022169,1,0
1468042088,1,0
1468044617,1,0
1468055650,0,1
1468057332,1,5
1468059017,0,1
1468070047,1,0
1468086133,2,0
1468089732,0,1
1468107733,0,1
1468111330,0,1
1468129333,0,1
1468136534,0,1
1468161728,0,1
1468167017,1,0
1468188617,1,1
1468189689,1,1
1468192448,0,1
1468207808,1,1
1468210217,0,1
1468215731,1,1
1468224848,0,1
1468226529,1,1
1468227369,1,1
1468231817,0,2
1468236489,1,1
1468241770,1,0
1468242609,0,1
1468243689,1,1
1468246217,1,0
1468247288,1,0
1468248128,0,2
1468257008,2,1
1468258088,1,0
1468258928,2,0
1468265288,1,0
1468272488,1,0
1468273329,1,0
1468280530,0,1
1468281368,1,1
1468297687,1,1
1468299368,1,0
1468302969,1,1
1468312937,0,1
1468314850,1,0
1468317369,1,0
1468327513,1,2
1468336211,1,0
1468338135,1,0
1468338971,1,0
1468343651,1,0
1468345334,0,1
1468348090,1,0
1468349770,2,0
1468350609,7,0
1468376890,1,0
1468387691,1,0
1468402088,1,2
1468404621,1,0
1468423688,1,0
1468435329,1,1
1468436169,1,0
1468471336,0,1
1468480449,1,0
1468485751,0,1
1468487407,0,1
1468500152,0,1
1468503734,0,1
1468512851,0,1
1468516448,1,0
1468518155,0,1
1468521753,0,1
1468527018,0,1
1468539755,0,3
1468540568,1,0
1468541417,0,4
1468546949,0,2
1468592048,0,3
1468603690,1,0
1468608158,0,1
1468610049,1,0
1468618958,0,1
1468621689,1,0
1468631649,0,1
1468636964,1,0
1468638607,0,1
1468642216,1,0
1468644968,1,0
1468646048,0,1
1468665764,1,0
1468671248,1,0
1468697322,1,0
1468705350,1,0
1468708969,1,0
1468719010,0,1
1468731371,2,0
1468744088,1,1
1468744970,1,0
1468752131,0,1
1468764849,0,1
1468779018,0,2
1468788130,0,1
1468791727,1,0
1468793417,1,1
1468794488,1,1
1468795508,1,1
1468796168,2,1
1468797005,1,1
1468798928,1,1
1468799770,1,1
1468800616,1,1
1468801689,1,1
1468805287,1,1
1468810570,1,1
1468813329,0,1
1468816930,1,1
1468824969,1,0
1468826048,0,1
1468827731,1,0
1468828570,2,0
1468834929,0,1
1468837689,1,0
1468840210,1,1
1468844051,1,0
1468845728,0,1
1468851018,1,0
1468852087,1,0
1468860966,1,1
1468861810,1,0
1468863727,1,1
1468883407,1,1
1468885331,0,1
1468888930,3,0
1468903331,1,0
1468912207,2,1
1468914128,1,0
1468920613,0,1
1468941009,1,0
1468955648,9,0
1468956611,16,0
1468966450,1,0
1468971728,0,1
1468987817,1,0
1468999687,1,0
1469000529,0,2
1469002218,0,1
1469007728,0,1
1469009417,0,6
1469013310,0,1
1469016295,1,0
1469020188,1,2
1469022307,0,1
1469025610,0,1
1469032507,0,1
1469043009,0,2
1469043727,0,2
1469046012,1,0
1469054710,0,1
1469061011,0,2
1469063381,0,1
1469069110,0,2
1469070089,0,1
1469072949,0,1
1469076129,1,0
1469083056,0,2
1469090109,0,1
1469095509,0,1
1469100609,0,1
1469103313,1,0
1469106026,2,0
1469112133,0,1
1469114411,1,0
1469115308,0,1
1469121248,1,0
1469122927,1,0
1469126708,2,0
1469130132,1,0
1469131818,1,0
1469133734,0,1
1469137507,0,1
1469164511,1,0
1469167510,2,1
1469180531,1,0
1469184013,0,1
1469186048,1,0
1469192699,0,1
1469195708,1,0
