DateTime,Entries,UniqueIPs
1469725204,22614,22614
1469725804,22743,22743
1469726108,22699,22699
1469726711,22491,22491
1469727304,22561,22561
1469727904,22701,22701
1469728504,22788,22788
1469729105,22872,22872
1469729703,22995,22995
1469730306,23153,23153
1469730904,23220,23220
1469731503,23345,23345
1469732109,23311,23311
1469732708,23380,23380
1469733306,23419,23419
1469733904,23531,23531
1469734507,23511,23511
1469735105,23568,23568
1469735408,23544,23544
1469736004,23600,23600
1469736909,23560,23560
1469737509,23537,23537
1469738107,23534,23534
1469738710,23426,23426
1469739305,23295,23295
1469739617,23073,23073
1469740204,23173,23173
1469740509,23121,23121
1469741107,23072,23072
1469741703,23085,23085
1469742007,23067,23067
1469742607,22998,22998
1469743204,22982,22982
1469743803,23009,23009
1469744106,23034,23034
1469744707,23020,23020
1469745303,23005,23005
1469745910,22963,22963
1469746505,23075,23075
1469747103,23157,23157
1469747707,23137,23137
1469748303,23153,23153
1469748907,23145,23145
1469749504,23097,23097
1469749807,23109,23109
1469750404,23160,23160
1469751004,23265,23265
1469751603,23336,23336
1469752204,23357,23357
1469752804,23390,23390
1469753404,23399,23399
1469753710,23321,23321
1469754305,23429,23429
1469754905,23412,23412
1469755503,23482,23482
1469756104,23493,23493
1469756412,23459,23459
1469757004,23457,23457
1469757603,23473,23473
1469758204,23510,23510
1469758804,23524,23524
1469759406,23541,23541
1469760008,23506,23506
1469760603,23536,23536
1469761203,23552,23552
1469761804,23586,23586
1469762403,23615,23615
1469763005,23591,23591
1469763605,23528,23528
1469764208,23465,23465
1469764807,23488,23488
1469765411,23485,23485
1469766013,23455,23455
1469766606,23421,23421
1469767208,23368,23368
1469767807,23397,23397
1469768404,23410,23410
1469768709,23364,23364
1469769305,23322,23322
1469769911,23289,23289
1469770504,23268,23268
1469770810,23112,23112
1469771405,23053,23053
1469772007,22966,22966
1469772311,22903,22903
1469772907,22833,22833
1469773507,22728,22728
1469774107,22692,22692
1469774710,22501,22501
1469775306,22481,22481
1469775908,22394,22394
1469776506,22308,22308
1469776810,22156,22156
1469777405,22133,22133
1469778006,21998,21998
1469778309,21938,21938
1469778906,21823,21823
1469779209,21680,21680
1469779810,21521,21521
1469780407,21487,21487
1469781008,21430,21430
1469781605,21322,21322
1469781911,21178,21178
1469782508,21062,21062
1469783109,20970,20970
1469783708,20871,20871
1469784310,20838,20838
1469784907,20712,20712
1469785506,20697,20697
1469786107,20595,20595
1469786709,20562,20562
1469787311,20497,20497
1469787907,20433,20433
1469788504,20490,20490
1469789105,20480,20480
1469789705,20510,20510
1469790305,20564,20564
1469790607,20565,20565
1469791205,20588,20588
1469791805,20760,20760
1469792404,20793,20793
1469793006,20900,20900
1469793605,20881,20881
1469794205,20933,20933
1469794807,20946,20946
1469795407,20985,20985
1469796006,20975,20975
1469796310,20856,20856
1469796905,20805,20805
1469797208,20776,20776
1469797808,20797,20797
1469798406,20824,20824
1469799008,20755,20755
1469799611,20617,20617
1469800205,20672,20672
1469800806,20592,20592
1469801409,20663,20663
1469802005,20693,20693
1469802608,20669,20669
1469803204,20757,20757
1469803803,20814,20814
1469804106,20888,20888
1469804706,20866,20866
1469805307,21056,21056
1469805908,20929,20929
1469806504,20919,20919
1469807105,20977,20977
1469807704,21034,21034
1469808312,20998,20998
1469808905,21033,21033
1469809508,20988,20988
1469810105,20965,20965
1469810707,20961,20961
1469811305,20951,20951
1469811905,20960,20960
1469812208,21040,21040
1469812805,21033,21033
1469813407,21086,21086
1469814008,21070,21070
1469814606,21061,21061
1469815207,21032,21032
1469815807,21090,21090
1469816408,21051,21051
1469817008,21012,21012
1469817609,20956,20956
1469818205,21016,21016
1469818808,20908,20908
1469819405,20932,20932
1469820005,20918,20918
1469820308,20867,20867
1469820906,20884,20884
1469821506,20830,20830
1469822105,20857,20857
1469822706,20889,20889
1469823009,20889,20889
1469823609,20966,20966
1469824209,20860,20860
1469824806,20951,20951
1469825408,20931,20931
1469826007,20957,20957
1469826607,20957,20957
1469827205,20940,20940
1469827507,20946,20946
1469828106,20900,20900
1469828706,20856,20856
1469829303,20925,20925
1469829606,20905,20905
1469830205,20885,20885
1469830508,20829,20829
1469831103,20801,20801
1469831703,20778,20778
1469832304,20758,20758
1469832607,20703,20703
1469833205,20595,20595
1469833508,20536,20536
1469834105,20508,20508
1469834703,20480,20480
1469835303,20468,20468
1469835608,20455,20455
1469836204,20435,20435
1469836811,20367,20367
1469837405,20264,20264
1469838006,20292,20292
1469838604,20450,20450
1469839204,20422,20422
1469839806,20418,20418
1469840403,20428,20428
1469840709,20344,20344
1469841307,20306,20306
1469841905,20230,20230
1469842505,20222,20222
1469843105,20212,20212
1469843704,20198,20198
1469844304,20181,20181
1469844906,20151,20151
1469845505,20142,20142
1469846103,20121,20121
1469846707,20095,20095
1469847304,20076,20076
1469847905,20054,20054
1469848505,20027,20027
1469849104,20009,20009
1469849704,19987,19987
1469850303,19963,19963
1469850906,19921,19921
1469851209,19870,19870
1469851804,19800,19800
1469852403,19782,19782
1469853004,19837,19837
1469853604,19819,19819
1469853908,19797,19797
1469854505,19673,19673
1469855105,19733,19733
1469855707,19678,19678
1469856013,19602,19602
1469856604,19562,19562
1469857204,19512,19512
1469857508,19479,19479
1469858105,19445,19445
1469858407,19423,19423
1469859006,19341,19341
1469859604,19288,19288
1469860206,19189,19189
1469860805,19130,19130
1469861407,18980,18980
1469862005,18934,18934
1469862605,18842,18842
1469863205,18763,18763
1469863806,18647,18647
1469864406,18688,18688
1469865005,18599,18599
1469865604,18531,18531
1469866206,18389,18389
1469866508,18246,18246
1469867108,18093,18093
1469867705,18034,18034
1469868305,17973,17973
1469868904,17885,17885
1469869506,17774,17774
1469870107,17634,17634
1469870707,17460,17460
1469871305,17386,17386
1469871905,17306,17306
1469872506,17235,17235
1469873107,17109,17109
1469873709,16914,16914
1469874306,16774,16774
1469874906,16654,16654
1469875505,16569,16569
1469876106,16492,16492
1469876706,16389,16389
1469877305,16257,16257
1469877905,16197,16197
1469878210,16024,16024
1469878807,15981,15981
1469879405,15838,15838
1469880005,15742,15742
1469880608,15649,15649
1469881206,15533,15533
1469881806,15404,15404
1469882408,15335,15335
1469883005,15260,15260
1469883604,15192,15192
1469883907,15113,15113
1469884505,14989,14989
1469885105,14905,14905
1469885704,14834,14834
1469886305,14754,14754
1469886904,14678,14678
1469887509,14501,14501
1469888105,14392,14392
1469888704,14301,14301
1469889304,14282,14282
1469889903,14212,14212
1469890509,14053,14053
1469891106,14002,14002
1469891408,13836,13836
1469892004,13677,13677
1469892606,13538,13538
1469893204,13462,13462
1469893805,13386,13386
1469894405,13333,13333
1469895007,13159,13159
1469895605,13059,13059
1469896203,12987,12987
1469896805,12911,12911
1469897405,12852,12852
1469898003,12775,12775
1469898609,12678,12678
1469899204,12609,12609
1469899508,12482,12482
1469900105,12438,12438
1469900407,12385,12385
1469901004,12317,12317
1469901605,12230,12230
1469902206,12113,12113
1469902805,11989,11989
1469903405,11915,11915
1469904005,11886,11886
1469904606,11800,11800
1469905205,11728,11728
1469905806,11614,11614
1469906406,11522,11522
1469907006,11460,11460
1469907605,11389,11389
1469908205,11319,11319
1469908805,11261,11261
1469909406,11160,11160
1469910009,11010,11010
1469910605,10963,10963
1469911210,10819,10819
1469911804,10770,10770
1469912106,10752,10752
1469912706,10702,10702
1469913304,10677,10677
1469913905,10612,10612
1469914502,10591,10591
1469914804,10589,10589
1469915408,10536,10536
1469916002,10541,10541
1469916305,10522,10522
1469916903,10505,10505
1469917503,10505,10505
1469918102,10504,10504
1469918404,10538,10538
1469919002,10529,10529
1469919605,10522,10522
1469920203,10506,10506
1469920802,10496,10496
1469921403,10493,10493
1469922004,10488,10488
1469922602,10493,10493
1469923203,10510,10510
1469924104,10502,10502
1469924407,10424,10424
1469925006,10248,10248
1469925603,10245,10245
1469926203,10239,10239
1469926804,10219,10219
1469927402,10218,10218
1469928002,10244,10244
1469928602,10242,10242
1469929203,10231,10231
1469929802,10232,10232
1469931002,10246,10246
1469931602,10244,10244
