DateTime,Entries,UniqueIPs
1467331205,6901,6901
1467338882,6895,6895
1467347042,6875,6875
1467350883,6862,6862
1467357608,6899,6899
1467363363,6948,6948
1467371044,6948,6948
1467376803,6940,6940
1467380884,6948,6948
1467386642,6971,6971
1467392404,6989,6989
1467400083,6965,6965
1467407763,6934,6934
1467413523,6941,6941
1467419282,6931,6931
1467426963,6908,6908
1467432723,6884,6884
1467440404,6910,6910
1467446163,6912,6912
1467448083,6931,6931
1467454083,6941,6941
1467456003,6935,6935
1467459842,6949,6949
1467465603,6949,6949
1467469443,6945,6945
1467474485,6910,6910
1467476415,6940,6940
1467484085,6928,6928
1467487925,6932,6932
1467489844,6932,6932
1467495612,6930,6930
1467501363,6906,6906
1467507125,6854,6854
1467515762,6869,6869
1467521523,6853,6853
1467531123,6878,6878
1467538810,6874,6874
1467544562,6851,6851
1467550328,6904,6904
1467552244,6905,6905
1467561843,6934,6934
1467569522,6934,6934
1467577444,6953,6953
1467583205,6932,6932
1467588963,6897,6897
1467592805,6878,6878
1467602403,6865,6865
1467606484,6843,6843
1467610323,6839,6839
1467616082,6868,6868
1467623763,6890,6890
1467628563,6886,6886
1467630483,6894,6894
1467636242,6905,6905
1467645843,6903,6903
1467649683,6902,6902
1467653524,6913,6913
1467657362,6923,6923
1467661203,6944,6944
1467665042,6939,6939
1467669123,6934,6934
1467678964,6898,6898
1467684723,6890,6890
1467688563,6869,6869
1467692404,6879,6879
1467696244,6866,6866
1467700083,6882,6882
1467705844,6912,6912
1467711610,6918,6918
1467717363,6927,6927
1467721223,6932,6932
1467726971,6923,6923
1467735607,6943,6943
1467739443,6949,6949
1467745207,6960,6960
1467752884,6948,6948
1467758643,6904,6904
1467764404,6903,6903
1467770170,6860,6860
1467775924,6851,6851
1467778803,6851,6851
1467784571,6868,6868
1467791284,6870,6870
1467795123,6881,6881
1467798971,6867,6867
1467804722,6865,6865
1467809525,6861,6861
1467815283,6873,6873
1467821043,6828,6828
1467826803,6835,6835
1467836404,6831,6831
1467840242,6843,6843
1467844082,6833,6833
1467850084,6798,6798
1467853925,6794,6794
1467859683,6794,6794
1467863522,6773,6773
1467869284,6765,6765
1467873135,6781,6781
1467878883,6790,6790
1467886563,6803,6803
1467890404,6810,6810
1467898082,6805,6805
1467901935,6806,6806
1467907684,6796,6796
1467915364,6832,6832
1467919205,6836,6836
1467924964,6823,6823
1467928805,6803,6803
1467936483,6798,6798
1467940323,6780,6780
1467946085,6778,6778
1467955682,6759,6759
1467961445,6772,6772
1467967205,6781,6781
1467969364,6797,6797
1467977045,6802,6802
1467980884,6810,6810
1467984724,6805,6805
1467988564,6807,6807
1467996244,6820,6820
1468002004,6839,6839
1468007764,6826,6826
1468013522,6823,6823
1468019527,6793,6793
1468027206,6784,6784
1468031044,6766,6766
1468034885,6761,6761
1468040644,6753,6753
1468046405,6766,6766
1468052164,6785,6785
1468056004,6802,6802
1468061764,6828,6828
1468067522,6824,6824
1468073524,6843,6843
1468077364,6822,6822
1468085045,6840,6840
1468088884,6832,6832
1468094643,6817,6817
1468102564,6791,6791
1468106404,6795,6795
1468114083,6786,6786
1468117932,6785,6785
1468123683,6763,6763
1468131363,6766,6766
1468135204,6765,6765
1468142882,6806,6806
1468148643,6835,6835
1468154403,6842,6842
1468164242,6847,6847
1468170007,6869,6869
1468177683,6856,6856
1468185363,6857,6857
1468189204,6833,6833
1468194962,6802,6802
1468202644,6781,6781
1468206483,6773,6773
1468212242,6774,6774
1468216084,6789,6789
1468223763,6792,6792
1468227605,6805,6805
1468233363,6802,6802
1468239123,6816,6816
1468244884,6824,6824
1468254483,6814,6814
1468260243,6835,6835
1468267923,6856,6856
1468275844,6822,6822
1468281606,6817,6817
1468287363,6776,6776
1468293122,6782,6782
1468298882,6777,6777
1468304642,6797,6797
1468308482,6803,6803
1468312323,6820,6820
1468316164,6842,6842
1468320004,6839,6839
1468325763,6825,6825
1468331522,6844,6844
1468337283,6855,6855
1468343043,6880,6880
1468350722,6861,6861
1468356484,6848,6848
1468362243,6840,6840
1468368006,6818,6818
1468373763,6796,6796
1468377603,6796,6796
1468383363,6771,6771
1468387204,6769,6769
1468391043,6769,6769
1468397525,6795,6795
1468403283,6793,6793
1468409045,6807,6807
1468414804,6809,6809
1468416724,6813,6813
1468420569,6835,6835
1468428245,6811,6811
1468432087,6820,6820
1468435934,6850,6850
1468443609,6835,6835
1468451284,6778,6778
1468457043,6757,6757
1468464732,6769,6769
1468468563,6749,6749
1468476243,6739,6739
1468480083,6739,6739
1468482005,6725,6725
1468485844,6712,6712
1468489684,6776,6776
1468497364,6784,6784
1468499282,6774,6774
1468505045,6803,6803
1468512725,6784,6784
1468520405,6823,6823
1468526163,6804,6804
1468533844,6771,6771
1468539604,6759,6759
1468547285,6735,6735
1468553042,6731,6731
1468558810,6725,6725
1468564563,6732,6732
1468570324,6732,6732
1468576083,6749,6749
1468579932,6760,6760
1468585684,6761,6761
1468587606,6761,6761
1468593364,6775,6775
1468597204,6773,6773
1468602962,6788,6788
1468608734,6793,6793
1468614482,6793,6793
1468620245,6781,6781
1468626003,6767,6767
1468631764,6749,6749
1468635606,6760,6760
1468641363,6754,6754
1468645205,6742,6742
1468650965,6765,6765
1468654804,6768,6768
1468656722,6800,6800
1468660563,6814,6814
1468667284,6827,6827
1468673043,6823,6823
1468679763,6836,6836
1468681685,6817,6817
1468689364,6799,6799
1468693207,6793,6793
1468698963,6777,6777
1468702805,6787,6787
1468708565,6740,6740
1468716244,6730,6730
1468723934,6726,6726
1468729682,6710,6710
1468731605,6704,6704
1468737362,6731,6731
1468741204,6752,6752
1468750806,6772,6772
1468756563,6778,6778
1468758484,6792,6792
1468764243,6789,6789
1468770004,6800,6800
1468777687,6807,6807
1468785365,6801,6801
1468791364,6794,6794
1468795204,6783,6783
1468799044,6757,6757
1468802883,6727,6727
1468810563,6732,6732
1468812483,6713,6713
1468815363,6698,6698
1468823042,6733,6733
1468828804,6750,6750
1468834562,6764,6764
1468838404,6778,6778
1468846084,6788,6788
1468849923,6774,6774
1468857609,6773,6773
1468865283,6783,6783
1468871042,6785,6785
1468880643,6765,6765
