DateTime,AddedIPs,RemovedIPs
1469182583,12,12
1469184496,21,24
1469186433,13,22
1469188342,23,29
1469190251,33,29
1469192187,30,25
1469194104,20,29
1469196043,31,15
1469197950,22,31
1469199857,29,26
1469201784,11,19
1469203700,5,18
1469205621,8,28
1469207540,8,17
1469209453,21,8
1469211391,20,8
1469213311,21,18
1469215221,12,13
1469217153,18,14
1469219049,17,23
1469220978,12,17
1469222898,21,35
1469224845,13,12
1469226743,7,15
1469228657,4,27
1469230575,6,20
1469232499,11,18
1469234425,9,21
1469236346,25,23
1469238246,25,27
1469240176,26,18
1469242103,33,22
1469244014,17,32
1469245936,24,18
1469247850,37,23
1469249772,27,21
1469251694,29,30
1469253633,21,20
1469255550,22,18
1469257451,18,0
1469259387,25,46
1469261302,17,30
1469263216,14,0
1469265138,31,9
1469267050,17,42
1469268991,2,14
1469270922,23,23
1469272813,21,0
1469274741,25,11
1469276649,27,22
1469278589,25,62
1469280506,15,20
1469282473,27,30
1469284347,28,0
1469286258,15,49
1469288172,24,0
1469290097,25,11
1469292020,29,6
1469293954,25,18
1469295853,27,23
1469297787,21,0
1469299704,20,20
1469301706,18,34
1469303546,28,0
1469305457,20,34
1469307390,27,10
1469309309,22,20
1469311243,24,0
1469313143,19,8
1469315060,25,9
1469316994,21,8
1469318901,22,9
1469320827,18,8
1469323000,27,22
1469324900,26,24
1469326832,17,28
1469328758,24,27
1469330654,24,18
1469332583,19,15
1469334510,15,35
1469336436,17,22
1469338344,18,29
1469340262,19,20
1469342194,18,15
1469344114,14,16
1469346030,20,30
1469347946,32,18
1469349857,31,12
1469351796,28,28
1469353713,15,20
1469355616,6,3
1469357557,29,19
1469359449,33,21
1469361387,26,28
1469363305,28,24
1469365233,22,23
1469367141,24,12
1469369059,23,26
1469371013,28,32
1469373040,26,20
1469375055,19,20
1469376993,26,23
1469378907,25,28
1469380834,30,26
1469382760,26,27
1469384650,24,23
1469386588,17,14
1469388495,19,20
1469390445,16,28
1469392348,30,18
1469394259,19,29
1469396441,25,22
1469398602,18,28
1469400499,29,17
1469402416,38,25
1469404343,22,25
1469406254,22,22
1469408263,15,20
1469410101,31,23
1469412038,17,22
1469413948,21,19
1469415862,22,25
1469417801,18,24
1469419708,22,17
1469421638,24,18
1469423548,25,24
1469425461,35,17
1469427383,38,24
1469429511,36,19
1469431449,24,17
1469433388,20,21
1469435326,30,29
1469437235,19,28
1469439146,28,28
1469441057,26,17
1469442976,14,4
1469444904,25,28
1469446826,27,30
1469448753,28,26
1469450649,23,26
1469452585,32,19
1469454500,30,26
1469456411,27,24
1469458335,30,29
1469460251,24,33
1469462172,13,26
1469464101,17,24
1469466033,12,19
1469467945,12,34
1469469853,11,30
1469471784,6,25
1469473697,16,24
1469475622,15,18
1469477537,30,15
1469479456,33,29
1469481375,18,21
1469483303,27,22
1469485233,13,17
1469487150,14,28
1469489049,19,34
1469490979,22,23
1469492902,33,23
1469494840,19,11
1469496749,10,32
1469498657,19,18
1469500591,11,23
1469502600,21,25
1469504423,18,18
1469506348,11,31
1469508254,17,26
1469510181,26,25
1469512100,25,34
1469514034,21,42
1469515951,13,37
1469517847,37,0
1469519776,15,21
1469521700,30,18
1469523645,20,56
1469525547,18,23
1469527453,22,0
1469529376,14,44
1469531311,16,24
1469533228,22,31
1469535149,22,0
1469537057,28,48
1469539025,12,27
1469540917,13,24
1469542821,22,32
1469544750,12,30
1469546657,30,29
1469548589,4,13
1469550500,17,0
1469552432,15,16
1469554344,12,13
1469556269,14,25
1469558175,21,0
1469560096,18,8
1469562020,11,18
1469563943,16,45
1469565846,24,0
1469567802,23,48
1469569707,15,26
1469571620,14,0
1469573539,23,14
