DateTime,Entries,UniqueIPs
1469182583,1087,1098
1469184496,1086,1095
1469186433,1077,1086
1469188342,1071,1080
1469190251,1073,1084
1469192187,1078,1089
1469194104,1066,1080
1469196043,1081,1096
1469197950,1072,1087
1469199857,1077,1090
1469201784,1070,1082
1469203700,1058,1069
1469205621,1038,1049
1469207540,1029,1040
1469209453,1041,1053
1469211391,1053,1065
1469213311,1056,1068
1469215221,1055,1067
1469217153,1059,1071
1469219049,1054,1065
1469220978,1049,1060
1469222898,1035,1046
1469224845,1037,1047
1469226743,1029,1039
1469228657,1005,1016
1469230575,991,1002
1469232499,986,995
1469234425,974,983
1469236346,976,985
1469238246,975,983
1469240176,984,991
1469242103,995,1002
1469244014,980,987
1469245936,985,993
1469247850,998,1007
1469249772,1001,1013
1469251694,1000,1012
1469253633,1001,1013
1469255550,1005,1017
1469257451,1023,1035
1469259387,1002,1014
1469261302,989,1001
1469263216,1003,1015
1469265138,1025,1037
1469267050,1003,1012
1469268991,991,1000
1469270922,991,1000
1469272813,1011,1021
1469274741,1025,1035
1469276649,1029,1040
1469278589,991,1003
1469280506,986,998
1469282473,984,995
1469284347,1012,1023
1469286258,979,989
1469288172,1003,1013
1469290097,1017,1027
1469292020,1038,1050
1469293954,1045,1057
1469295853,1049,1061
1469297787,1070,1082
1469299704,1072,1082
1469301706,1056,1066
1469303546,1082,1094
1469305457,1068,1080
1469307390,1085,1097
1469309309,1087,1099
1469311243,1110,1123
1469313143,1121,1134
1469315060,1137,1150
1469316994,1150,1163
1469318901,1163,1176
1469320827,1173,1186
1469323000,1178,1191
1469324900,1181,1193
1469326832,1170,1182
1469328758,1168,1179
1469330654,1174,1185
1469332583,1178,1189
1469334510,1157,1169
1469336436,1153,1164
1469338344,1141,1153
1469340262,1140,1152
1469342194,1142,1155
1469344114,1140,1153
1469346030,1130,1143
1469347946,1144,1157
1469349857,1164,1176
1469351796,1164,1176
1469353713,1159,1171
1469355616,1161,1174
1469357557,1170,1184
1469359449,1181,1196
1469361387,1179,1194
1469363305,1183,1198
1469365233,1182,1197
1469367141,1194,1209
1469369059,1195,1206
1469371013,1191,1202
1469373040,1196,1208
1469375055,1195,1207
1469376993,1197,1210
1469378907,1195,1207
1469380834,1200,1211
1469382760,1201,1210
1469384650,1202,1211
1469386588,1205,1214
1469388495,1204,1213
1469390445,1192,1201
1469392348,1204,1213
1469394259,1194,1203
1469396441,1197,1206
1469398602,1188,1196
1469400499,1200,1208
1469402416,1213,1221
1469404343,1209,1218
1469406254,1208,1218
1469408263,1203,1213
1469410101,1210,1221
1469412038,1204,1216
1469413948,1205,1218
1469415862,1202,1215
1469417801,1196,1209
1469419708,1201,1214
1469421638,1207,1220
1469423548,1208,1221
1469425461,1225,1239
1469427383,1239,1253
1469429511,1256,1270
1469431449,1263,1277
1469433388,1261,1276
1469435326,1260,1277
1469437235,1252,1268
1469439146,1251,1268
1469441057,1260,1277
1469442976,1270,1287
1469444904,1268,1284
1469446826,1265,1281
1469448753,1268,1283
1469450649,1265,1280
1469452585,1278,1293
1469454500,1282,1297
1469456411,1284,1300
1469458335,1285,1301
1469460251,1278,1292
1469462172,1265,1279
1469464101,1258,1272
1469466033,1252,1265
1469467945,1230,1243
1469469853,1211,1224
1469471784,1192,1205
1469473697,1184,1197
1469475622,1180,1194
1469477537,1195,1209
1469479456,1199,1213
1469481375,1196,1210
1469483303,1201,1215
1469485233,1197,1211
1469487150,1184,1197
1469489049,1169,1182
1469490979,1169,1181
1469492902,1179,1191
1469494840,1187,1199
1469496749,1166,1177
1469498657,1168,1178
1469500591,1156,1166
1469502600,1151,1162
1469504423,1151,1162
1469506348,1131,1142
1469508254,1122,1133
1469510181,1124,1134
1469512100,1115,1125
1469514034,1094,1104
1469515951,1069,1080
1469517847,1106,1117
1469519776,1100,1111
1469521700,1111,1123
1469523645,1075,1087
1469525547,1070,1082
1469527453,1092,1104
1469529376,1063,1074
1469531311,1055,1066
1469533228,1046,1057
1469535149,1068,1079
1469537057,1049,1059
1469539025,1036,1044
1469540917,1025,1033
1469542821,1015,1023
1469544750,998,1005
1469546657,999,1006
1469548589,990,997
1469550500,1007,1014
1469552432,1006,1013
1469554344,1005,1012
1469556269,994,1001
1469558175,1015,1022
1469560096,1025,1032
1469562020,1018,1025
1469563943,989,996
1469565846,1013,1020
1469567802,988,995
1469569707,976,984
1469571620,989,998
1469573539,999,1007
1469575465,991,998
1469577381,976,983
1469579320,981,988
1469581262,972,979
1469583142,994,1001
1469585055,992,999
1469586996,982,989
1469588907,995,1002
1469590821,985,992
1469592759,990,1000
1469594723,987,997
1469596590,993,1003
1469598516,993,1004
1469600428,1024,1035
1469602350,1020,1032
1469604249,1011,1023
1469606186,1013,1024
1469608100,1043,1055
1469610033,1027,1038
1469611934,1027,1037
1469613888,1008,1018
1469615783,1000,1010
1469617716,997,1007
1469619616,1010,1020
1469621556,984,994
1469623450,999,1009
1469625402,983,993
1469627306,992,1002
1469629229,983,992
1469631185,984,992
1469633096,969,976
1469635006,976,983
1469636905,977,984
1469638860,984,991
1469640754,982,989
1469642654,997,1004
1469644582,964,971
1469646501,952,959
1469648427,945,952
1469650350,953,960
1469652254,951,958
1469654185,961,968
1469656109,939,946
1469658024,941,948
1469659940,955,962
1469661852,954,962
1469663787,931,938
1469665699,949,956
1469667646,919,926
1469669551,901,909
1469671455,911,919
1469673388,914,922
1469675302,909,917
1469677237,898,905
1469679158,913,920
1469681050,896,903
1469682993,879,886
1469684906,914,921
1469686830,887,896
1469688737,903,912
1469690643,925,934
1469692570,922,931
1469694492,931,939
1469696445,902,909
1469698350,917,924
1469700263,934,943
1469702179,932,941
1469704097,953,962
1469706030,967,976
1469707960,975,984
1469709852,983,993
1469711781,1006,1016
1469713702,1022,1032
1469715642,1007,1016
1469717538,1038,1047
1469719449,1045,1055
1469721389,1043,1053
1469723308,1036,1047
1469725252,1071,1083
1469727153,1068,1080
1469729068,1056,1068
1469730989,1072,1084
1469732911,1075,1087
1469734820,1085,1097
1469737015,1070,1081
1469738926,1070,1081
1469740854,1077,1088
1469742751,1070,1081
1469744667,1074,1085
