DateTime,AddedIPs,RemovedIPs
1469171053,33,29
1469172972,32,36
1469174897,34,29
1469176816,19,42
1469178748,21,19
1469180649,46,21
1469182583,16,46
1469184496,37,16
1469186433,18,31
1469188342,36,19
1469190251,46,36
1469192187,41,46
1469194104,37,38
1469196043,37,35
1469197950,35,42
1469199857,40,24
1469201784,20,54
1469203700,14,20
1469205621,15,13
1469207540,14,19
1469209453,31,9
1469211391,28,29
1469213311,33,29
1469215221,23,39
1469217153,25,21
1469219049,32,23
1469220978,20,34
1469222898,36,12
1469224845,21,42
1469226743,16,22
1469228657,11,15
1469230575,15,11
1469232499,17,14
1469234425,16,19
1469236346,41,17
1469238246,39,39
1469240176,44,37
1469242103,41,41
1469244014,31,39
1469245936,40,34
1469247850,53,39
1469249772,43,53
1469251694,46,52
1469253633,41,39
1469255550,31,43
1469257451,34,26
1469259387,45,28
1469261302,37,44
1469263216,22,43
1469265138,39,25
1469267050,28,37
1469268991,5,36
1469270922,40,5
1469272813,36,29
1469274741,42,36
1469276649,42,45
1469278589,37,40
1469280506,29,37
1469282473,39,30
1469284347,44,44
1469286258,30,41
1469288172,36,30
1469290097,38,36
1469292020,39,38
1469293954,41,42
1469295853,50,41
1469297787,35,51
1469299704,35,32
1469301706,34,33
1469303546,42,37
1469305457,35,41
1469307390,39,36
1469309309,36,38
1469311243,37,34
1469313143,27,38
1469315060,37,26
1469316994,38,38
1469318901,33,33
1469320827,32,35
1469323000,37,37
1469324900,46,36
1469326832,28,44
1469328758,40,32
1469330654,36,39
1469332583,30,42
1469334510,30,27
1469336436,37,25
1469338344,30,39
1469340262,31,27
1469342194,26,33
1469344114,26,26
1469346030,36,28
1469347946,42,34
1469349857,48,45
1469351796,43,45
1469353713,30,42
1469355616,9,37
1469357557,48,9
1469359449,47,40
1469361387,40,46
1469363305,41,44
1469365233,34,39
1469367141,39,34
1469369059,31,36
1469371013,46,31
1469373040,41,44
1469375055,36,45
1469376993,38,40
1469378907,36,36
1469380834,43,35
1469382760,49,42
1469384650,39,50
1469386588,36,41
1469388495,37,35
1469390445,25,37
1469392348,45,24
1469394259,30,42
1469396441,43,31
1469398602,25,44
1469400499,45,27
1469402416,50,44
1469404343,31,50
1469406254,38,33
1469408263,20,39
1469410101,48,21
1469412038,31,42
1469413948,34,33
1469415862,34,38
1469417801,34,34
1469419708,33,27
1469421638,40,40
1469423548,41,42
1469425461,43,38
1469427383,55,45
1469429511,57,54
1469431449,33,57
1469433388,35,33
1469435326,43,34
1469437235,36,38
1469439146,40,36
1469441057,39,41
1469442976,24,43
1469444904,42,23
1469446826,45,40
1469448753,38,47
1469450649,36,36
1469452585,41,41
1469454500,47,40
1469456411,41,43
1469458335,41,41
1469460251,40,40
1469462172,23,45
1469464101,29,22
1469466033,19,30
1469467945,22,23
1469469853,19,19
1469471784,18,20
1469473697,26,13
1469475622,26,28
1469477537,44,30
1469479456,44,38
1469481375,34,46
1469483303,36,32
1469485233,27,41
1469487150,26,24
1469489049,32,25
1469490979,34,33
1469492902,45,36
1469494840,31,47
1469496749,18,26
1469498657,28,19
1469500591,16,26
1469502600,36,16
1469504423,25,37
1469506348,22,26
1469508254,24,20
1469510181,42,26
1469512100,36,31
1469514034,33,46
1469515951,21,34
1469517847,47,23
1469519776,28,47
1469521700,47,29
1469523645,29,45
1469525547,26,28
1469527453,29,26
1469529376,22,30
1469531311,25,22
1469533228,36,30
1469535149,37,33
1469537057,41,32
1469539025,21,45
1469540917,27,21
1469542821,31,21
1469544750,24,32
1469546657,45,26
1469548589,11,48
1469550500,32,8
1469552432,26,33
1469554344,19,27
1469556269,32,16
1469558175,32,32
1469560096,35,32
1469562020,24,36
1469563943,28,24
1469565846,34,31
1469567802,39,35
1469569707,32,42
1469571620,24,33
1469573539,43,17
1469575465,43,39
1469577381,19,46
1469579320,47,22
1469581262,18,46
1469583142,36,19
1469585055,25,33
1469586996,26,25
1469588907,18,28
1469590821,16,22
1469592759,57,19
1469594723,27,50
1469596590,44,26
1469598516,36,35
1469600428,44,43
1469602350,26,50
1469604249,45,25
1469606186,25,40
1469608100,44,26
1469610033,28,48
1469611934,19,28
1469613888,35,19
1469615783,14,36
1469617716,18,11
1469619616,23,20
1469621556,37,20
1469623450,26,32
1469625402,26,29
1469627306,27,22
1469629229,37,33
1469631185,21,33
1469633096,29,22
1469635006,22,31
1469636905,36,17
1469638860,30,39
1469640754,18,33
1469642654,27,16
1469644582,14,28
1469646501,18,12
1469648427,12,18
1469650350,37,16
1469652254,31,33
1469654185,20,32
1469656109,29,22
1469658024,19,30
1469659940,21,20
1469661852,34,21
1469663787,30,31
1469665699,29,34
1469667646,16,29
1469669551,25,14
1469671455,20,20
1469673388,27,27
1469675302,24,23
1469677237,20,29
1469679158,28,16
1469681050,28,24
1469682993,33,33
1469684906,48,34
1469686830,49,49
1469688737,23,47
1469690643,53,26
1469692570,37,47
1469694492,42,39
1469696445,31,42
1469698350,49,28
1469700263,29,46
1469702179,38,32
1469704097,35,37
1469706030,45,34
1469707960,46,46
1469709852,43,48
1469711781,40,45
1469713702,35,33
1469715642,43,40
1469717538,43,40
1469719449,41,42
1469721389,19,42
1469723308,39,25
1469725252,50,38
1469727153,30,47
1469729068,16,32
1469730989,43,15
1469732911,22,42
1469734820,19,25
1469737015,30,21
1469738926,31,27
1469740854,33,34
1469742751,31,32
1469744667,33,26
1469746607,39,32
1469748516,36,41
1469750452,33,34
1469752360,41,33
1469754265,34,40
1469756211,41,39
1469758105,36,33
1469760045,39,41
1469761957,35,36
1469763857,32,37
1469765802,45,34
1469767702,41,45
1469769615,45,47
1469771566,33,40
1469773468,44,34
1469775403,46,45
1469777311,49,44
1469779235,51,52
1469781154,59,49
1469783069,47,59
1469785000,36,43
1469786918,39,32
1469788822,18,51
1469790754,42,17
1469792654,40,37
1469794579,42,40
1469796496,44,44
1469798429,38,41
1469800392,34,37
1469802251,37,36
1469804186,32,36
1469806124,41,35
1469808081,43,38
1469809946,47,47
1469811861,31,43
1469813782,37,35
1469815699,45,35
1469817634,42,44
1469819553,34,42
1469821471,43,34
1469823390,38,41
1469825302,32,37
1469827249,42,34
1469829150,35,40
1469831048,24,44
1469832998,62,25
1469834907,54,61
1469836850,35,48
1469838754,31,42
1469840684,43,22
1469842594,43,47
1469844528,44,32
1469846419,33,54
1469848349,44,36
1469850248,38,41
1469852180,42,36
1469854099,47,42
1469856021,56,51
1469857951,54,53
1469859855,55,58
1469861788,47,52
1469863700,56,47
1469865644,46,58
1469867544,49,45
1469869458,42,49
1469871406,47,42
1469873325,52,45
1469875223,25,54
1469877141,56,27
1469879058,60,57
1469881024,56,58
1469882916,46,54
1469884819,59,48
1469886740,46,56
1469888652,36,49
1469890601,45,34
1469892507,49,42
1469894451,41,54
1469896348,44,45
1469898266,42,40
1469900198,49,42
1469902101,43,49
1469904024,47,44
1469905952,47,45
1469907860,35,48
1469909796,49,33
1469911696,28,45
1469913619,39,33
1469915553,45,42
1469917466,39,46
1469919383,55,38
1469921318,38,50
1469923263,38,38
1469925159,37,41
1469927059,34,33
1469928985,38,31
1469930906,38,40
1469932823,43,39
1469934743,34,44
1469936654,26,34
1469938607,34,25
1469940512,42,37
1469942438,59,47
1469944346,51,55
1469946253,57,51
1469948193,66,61
1469950103,49,63
1469952047,46,45
1469953975,36,46
1469955860,35,38
1469957780,37,33
1469959704,40,31
1469961615,13,56
1469963544,39,10
1469965450,43,34
1469967388,34,45
1469969303,36,34
1469971216,21,36
1469973143,31,19
1469975055,25,31
1469976981,18,25
1469978908,24,19
1469980834,15,29
1469982743,26,12
1469984655,22,23
1469986594,24,23
1469988518,25,24
1469990443,21,20
1469992351,14,27
1469994266,30,15
1469996180,48,28
1469998113,40,46
1470000023,40,39
1470001951,35,42
1470003850,26,36
1470005789,41,27
1470007703,44,40
1470009632,41,42
1470011542,29,40
1470013459,46,29
1470015385,35,49
1470017309,32,31
1470019219,25,35
1470021143,31,27
1470023052,25,29
1470024986,27,25
1470026909,31,29
1470028888,61,37
1470030754,50,60
1470032688,63,46
1470034619,53,64
1470036504,48,51
1470038682,45,47
1470040589,27,44
1470042492,41,29
1470044411,40,39
1470046347,22,47
1470048246,23,22
1470050173,42,22
1470052093,55,39
1470054042,50,52
1470056042,41,50
1470057966,46,38
1470059777,27,46
1470061746,39,29
1470063643,38,41
1470065569,22,38
1470067457,25,23
1470069383,41,20
1470071301,33,35
1470073224,41,43
1470075182,33,39
1470077063,26,32
1470078989,36,29
1470080913,32,35
1470082828,27,32
1470084750,19,29
1470086659,38,20
1470088575,29,38
1470090514,31,30
1470092441,47,30
1470094456,24,46
1470096267,34,18
1470098467,45,41
1470100356,35,44
1470102267,36,33
1470104192,32,33
1470106112,44,34
1470108010,40,42
1470109936,33,39
1470111849,39,35
1470113783,25,39
1470115709,45,30
1470117651,44,39
1470119547,40,48
1470121459,44,36
1470123399,49,48
1470125282,50,46
1470127215,37,57
1470129411,58,35
1470131322,54,56
