DateTime,AddedIPs,RemovedIPs
1464754528,27,0
1464765328,14,0
1464776127,21,0
1464786928,19,0
1464797724,29,0
1464808529,14,0
1464819328,18,0
1464830125,32,130
1464840932,31,0
1464851724,23,0
1464862524,17,0
1464873327,24,0
1464884127,14,1
1464894927,17,0
1464905728,22,0
1464916527,14,118
1464927334,16,0
1464938129,18,0
1464948929,16,0
1464959730,16,0
1464970531,17,0
1464981327,21,0
1464992110,9,0
1465002909,20,135
1465013709,34,0
1465024509,15,0
1465035309,13,0
1465046110,12,0
1465056909,13,0
1465067709,22,0
1465078509,20,0
1465089309,21,281
1465100110,26,0
1465110909,30,0
1465121709,13,0
1465132510,17,0
1465143309,25,0
1465154109,15,0
1465164910,24,0
1465175709,14,147
1465186509,37,0
1465197309,21,0
1465208110,27,0
1465218909,23,0
1465229709,19,0
1465240509,26,2
1465251309,16,0
1465262110,15,160
1465272910,33,1
1465283710,12,0
1465294510,29,0
1465305309,11,0
1465316110,10,0
1465326909,14,0
1465337709,16,0
1465348509,12,154
1465359310,25,0
1465370110,18,0
1465380910,10,0
1465391709,10,0
1465402510,17,0
1465413310,17,0
1465424110,15,0
1465434909,16,183
1465445709,22,0
1465456509,18,0
1465467309,15,0
1465478110,21,0
1465488910,21,0
1465499710,15,0
1465510509,16,0
1465521328,15,133
1465532134,21,0
1465542926,15,0
1465553730,17,0
1465564531,26,0
1465575376,33,0
1465586132,6,0
1465596929,18,0
1465607729,12,145
1465618543,24,0
1465629329,18,0
1465640126,23,0
1465650929,19,0
1465661724,18,0
1465672526,18,0
1465683327,27,0
1465694124,13,167
1465704929,23,0
1465715725,17,0
1465726526,16,0
1465737326,35,0
1465748127,27,0
1465758927,20,0
1465769729,19,0
1465780527,9,187
1465791328,18,0
1465802127,15,0
1465812928,26,0
1465823709,14,0
1465834531,15,0
1465845309,37,23
1465856110,19,0
1465866910,23,137
1465877710,20,0
1465888509,22,0
1465899310,21,0
1465910110,17,0
1465920911,17,0
1465931710,15,0
1465942510,21,0
1465953310,24,124
1465964111,32,0
1465974909,22,0
1465985711,21,0
1465996510,17,0
1466007310,18,0
1466018109,14,0
1466028910,28,0
