DateTime,Entries,UniqueIPs
1469679165,32316,32316
1469680099,32346,32346
1469681063,32614,32614
1469682039,32372,32372
1469683008,32719,32719
1469684011,33048,33048
1469685148,33310,33310
1469686112,33599,33599
1469687052,33755,33755
1469688019,33732,33732
1469689001,33675,33675
1469689955,34248,34248
1469690929,34258,34258
1469691865,34258,34258
1469692861,34776,34776
1469693807,34976,34976
1469694767,35156,35156
1469695717,35236,35236
1469696662,35299,35299
1469697647,35296,35296
1469698611,35276,35276
1469699555,35400,35400
1469700499,35231,35231
1469701461,34991,34991
1469702438,35346,35346
1469703383,35464,35464
1469704366,35725,35725
1469705297,35231,35231
1469706260,35793,35793
1469707281,36006,36006
1469708443,36125,36125
1469709395,36150,36150
1469710357,36161,36161
1469711316,36626,36626
1469712276,36703,36703
1469713297,36941,36941
1469714463,36979,36979
1469715378,37002,37002
1469716361,37088,37088
1469717326,37117,37117
1469718272,37114,37114
1469719221,37054,37054
1469720204,37256,37256
1469721163,37510,37510
1469722112,37734,37734
1469723062,37441,37441
1469724021,37585,37585
1469724990,37766,37766
1469725978,38109,38109
1469726915,38284,38284
1469727855,38693,38693
1469728873,39232,39232
1469729804,39641,39641
1469730746,39955,39955
1469731718,39956,39956
1469732663,39970,39970
1469733624,39941,39941
1469734595,39941,39941
1469735551,39841,39841
1469736497,40040,40040
1469737468,40062,40062
1469738447,40014,40014
1469739410,40041,40041
1469740381,40404,40404
1469741333,40433,40433
1469742255,40405,40405
1469743273,40411,40411
1469744201,40384,40384
1469745149,40422,40422
1469746120,40443,40443
1469747079,40456,40456
1469748024,40333,40333
1469749011,40460,40460
1469749956,40513,40513
1469750913,40433,40433
1469751866,40367,40367
1469752846,40119,40119
1469753791,40145,40145
1469754745,40195,40195
1469755722,40192,40192
1469756666,40064,40064
1469757658,40084,40084
1469758591,40064,40064
1469759559,40125,40125
1469760517,39945,39945
1469761471,39679,39679
1469762434,39592,39592
1469763400,39368,39368
1469764367,39253,39253
1469765298,39336,39336
1469766259,39265,39265
1469767259,39334,39334
1469768187,39204,39204
1469769171,39079,39079
1469770133,39211,39211
1469771095,39027,39027
1469772752,38840,38840
1469773723,39070,39070
1469774651,39228,39228
1469775639,39285,39285
1469776606,38846,38846
1469777781,38840,38840
1469778760,39220,39220
1469779712,39136,39136
1469780652,38967,38967
1469781641,38896,38896
1469782591,38537,38537
1469783547,38727,38727
1469784532,38769,38769
1469785454,38782,38782
1469786449,38809,38809
1469787403,38739,38739
1469788374,38678,38678
1469789314,38677,38677
1469790280,38413,38413
1469791232,38699,38699
1469792195,38867,38867
1469793162,38873,38873
1469794098,38587,38587
1469795053,38646,38646
1469796040,38958,38958
1469796989,39089,39089
1469797955,38932,38932
1469798904,38672,38672
1469799852,38381,38381
1469800855,38878,38878
1469801789,38434,38434
1469802759,38489,38489
1469803704,38252,38252
1469804689,37641,37641
1469805619,37693,37693
1469806600,37465,37465
1469807548,37157,37157
1469808516,36657,36657
1469809452,37106,37106
1469810427,36951,36951
1469811389,37135,37135
1469812346,37026,37026
1469813320,36836,36836
1469814267,36778,36778
1469815254,37083,37083
1469816189,36785,36785
1469817165,35177,35177
1469818106,35208,35208
1469819065,35221,35221
1469820032,34982,34982
1469821024,34668,34668
1469821950,34708,34708
1469822914,34109,34109
1469823857,34140,34140
1469824845,34147,34147
1469825783,34123,34123
1469826791,34051,34051
1469827720,34355,34355
1469828655,34515,34515
1469829668,34757,34757
1469830585,34917,34917
1469831544,35179,35179
1469832518,35438,35438
1469833466,35530,35530
1469834418,35630,35630
1469835399,35688,35688
1469836466,35134,35134
1469837557,35575,35575
1469838506,35316,35316
1469839460,34857,34857
1469840446,34806,34806
1469841397,34788,34788
1469842338,34808,34808
1469843310,34256,34256
1469844259,34248,34248
1469845215,34254,34254
1469846200,34259,34259
1469847146,34251,34251
1469848113,34688,34688
1469849067,34841,34841
1469850059,35134,35134
1469850990,35257,35257
1469851956,35341,35341
1469852918,35346,35346
1469853854,35292,35292
1469854854,34758,34758
1469855796,35279,35279
1469856820,35297,35297
1469857236,35318,35318
1469857959,34837,34837
1469858187,34797,34797
1469858916,34821,34821
1469859412,33494,33494
1469859858,33721,33721
1469860358,33726,33726
1469860849,33785,33785
1469861304,33775,33775
1469861790,33535,33535
1469862265,33523,33523
1469862770,33589,33589
1469863247,33567,33567
1469863709,33559,33559
1469864177,33583,33583
1469864650,33580,33580
1469865152,33580,33580
1469865646,33532,33532
1469866100,33536,33536
1469866577,33713,33713
1469867053,33675,33675
1469867554,33851,33851
1469868015,33879,33879
1469868508,34051,34051
1469868994,34015,34015
1469869460,34196,34196
1469869950,34190,34190
1469870445,34224,34224
1469870909,34254,34254
1469871408,34074,34074
1469871857,34051,34051
1469872352,33786,33786
1469872840,33804,33804
1469873335,33628,33628
1469873792,33628,33628
1469874266,33776,33776
1469874753,33777,33777
1469875226,33667,33667
1469875727,33677,33677
1469876209,33384,33384
1469876655,33407,33407
1469877144,33073,33073
1469877646,33072,33072
1469878120,32895,32895
1469878592,32901,32901
1469879071,32570,32570
1469879560,32581,32581
1469880045,32796,32796
1469880503,32850,32850
1469881026,32775,32775
1469881482,32773,32773
1469881973,32397,32397
1469882430,32423,32423
1469882918,31906,31906
1469883400,31902,31902
1469883867,31899,31899
1469884357,31914,31914
1469884828,32336,32336
1469885320,32359,32359
1469885816,32515,32515
1469886270,32498,32498
1469886742,32743,32743
1469887248,32777,32777
1469887715,32789,32789
1469888189,32767,32767
1469888654,32344,32344
1469889169,32360,32360
1469889619,32660,32660
1469890110,32678,32678
1469890610,32757,32757
1469891070,32773,32773
1469891545,32766,32766
1469892056,32760,32760
1469892509,32760,32760
1469892981,32784,32784
1469893466,32768,32768
1469893948,32750,32750
1469894453,33230,33230
1469894907,33251,33251
1469895378,33265,33265
1469895849,33239,33239
1469896357,32918,32918
1469896838,32927,32927
1469897298,32762,32762
1469897781,32774,32774
1469898269,32922,32922
1469898749,32915,32915
1469899228,32628,32628
1469899699,32650,32650
1469900211,32456,32456
1469900674,32434,32434
1469901148,32611,32611
1469901672,32619,32619
1469902110,32296,32296
1469902577,32322,32322
1469903049,32401,32401
1469903557,32402,32402
1469904026,32644,32644
1469904505,32637,32637
1469904989,32763,32763
1469905461,32785,32785
1469905954,32509,32509
1469906434,32521,32521
1469906909,32699,32699
1469907384,32716,32716
1469907869,32900,32900
1469908348,32877,32877
