DateTime,Entries,UniqueIPs
1469834418,3523,3523
1469835399,3565,3565
1469836466,3563,3563
1469837557,3549,3549
1469838506,3563,3563
1469839460,3585,3585
1469840446,3571,3571
1469841397,3572,3572
1469842338,3599,3599
1469843310,3595,3595
1469844259,3591,3591
1469845215,3591,3591
1469846200,3615,3615
1469847146,3619,3619
1469848113,3591,3591
1469849067,3589,3589
1469850059,3582,3582
1469850990,3589,3589
1469851956,3591,3591
1469852918,3602,3602
1469853854,3626,3626
1469854854,3606,3606
1469855796,3594,3594
1469856820,3596,3596
1469857236,3600,3600
1469857959,3622,3622
1469858187,3602,3602
1469858916,3602,3602
1469859412,3618,3618
1469859858,3592,3592
1469860358,3578,3578
1469860849,3582,3582
1469861304,3587,3587
1469861790,3585,3585
1469862265,3569,3569
1469862770,3590,3590
1469863247,3570,3570
1469863709,3570,3570
1469864177,3574,3574
1469864650,3574,3574
1469865152,3578,3578
1469865646,3549,3549
1469866100,3543,3543
1469866577,3541,3541
1469867053,3535,3535
1469867554,3538,3538
1469868015,3538,3538
1469868508,3536,3536
1469868994,3526,3526
1469869460,3519,3519
1469869950,3511,3511
1469870445,3518,3518
1469870909,3534,3534
1469871408,3562,3562
1469871857,3528,3528
1469872352,3528,3528
1469872840,3518,3518
1469873335,3518,3518
1469873792,3492,3492
1469874266,3467,3467
1469874753,3449,3449
1469875226,3474,3474
1469875727,3480,3480
1469876209,3480,3480
1469876655,3479,3479
1469877144,3479,3479
1469877646,3478,3478
1469878120,3478,3478
1469878592,3448,3448
1469879071,3448,3448
1469879560,3448,3448
1469880045,3416,3416
1469880503,3438,3438
1469881026,3470,3470
1469881482,3480,3480
1469881973,3480,3480
1469882430,3476,3476
1469882918,3476,3476
1469883400,3476,3476
1469883867,3476,3476
1469884357,3494,3494
1469884828,3455,3455
1469885320,3465,3465
1469885816,3461,3461
1469886270,3459,3459
1469886742,3473,3473
1469887248,3487,3487
1469887715,3487,3487
1469888189,3505,3505
1469888654,3504,3504
1469889169,3512,3512
1469889619,3493,3493
1469890110,3506,3506
1469890610,3553,3553
1469891070,3547,3547
1469891545,3547,3547
1469892056,3558,3558
1469892509,3558,3558
1469892981,3578,3578
1469893466,3578,3578
1469893948,3580,3580
1469894453,3542,3542
1469894907,3541,3541
1469895378,3577,3577
1469895849,3585,3585
1469896357,3585,3585
1469896838,3565,3565
1469897298,3565,3565
1469897781,3577,3577
1469898269,3538,3538
1469898749,3550,3550
1469899228,3589,3589
1469899699,3589,3589
1469900211,3589,3589
1469900674,3593,3593
1469901148,3555,3555
1469901672,3563,3563
1469902110,3562,3562
1469902577,3575,3575
1469903049,3573,3573
1469903557,3587,3587
1469904026,3583,3583
1469904505,3577,3577
1469904989,3582,3582
1469905461,3596,3596
1469905954,3594,3594
1469906434,3604,3604
1469906909,3598,3598
1469907384,3600,3600
1469907869,3596,3596
1469908348,3574,3574
1469908844,3588,3588
1469909309,3605,3605
1469909798,3641,3641
1469910270,3641,3641
1469910767,3641,3641
1469911233,3635,3635
1469911699,3602,3602
1469912189,3608,3608
1469912664,3610,3610
1469913138,3608,3608
1469913628,3607,3607
1469914106,3606,3606
1469914586,3600,3600
1469915058,3606,3606
1469915555,3643,3643
1469916068,3633,3633
1469916505,3633,3633
1469916995,3631,3631
1469917468,3587,3587
1469917950,3595,3595
1469918418,3605,3605
1469918926,3603,3603
1469919392,3599,3599
1469919855,3597,3597
1469920346,3591,3591
1469920835,3615,3615
1469921320,3622,3622
1469921778,3632,3632
1469922260,3635,3635
1469922763,3644,3644
1469923265,3651,3651
1469923802,3639,3639
1469924200,3639,3639
1469924899,3650,3650
1469925168,3655,3655
1469925855,3651,3651
1469926116,3644,3644
1469926841,3651,3651
1469927061,3627,3627
1469927773,3638,3638
1469928030,3630,3630
1469928750,3594,3594
1469928987,3599,3599
1469929696,3596,3596
1469929958,3609,3609
1469930655,3595,3595
1469930916,3596,3596
1469931625,3600,3600
1469931853,3637,3637
1469932619,3621,3621
1469932826,3621,3621
1469933549,3619,3619
1469933787,3619,3619
1469934522,3631,3631
1469934753,3593,3593
1469935460,3596,3596
1469935699,3604,3604
1469936419,3622,3622
1469936656,3651,3651
1469937376,3634,3634
1469937652,3634,3634
1469938356,3620,3620
1469938610,3620,3620
1469939296,3618,3618
1469939553,3572,3572
1469940257,3563,3563
1469940523,3608,3608
1469941248,3600,3600
1469941467,3600,3600
1469942186,3588,3588
1469942440,3553,3553
1469943398,3553,3553
1469943859,3540,3540
1469944348,3539,3539
1469944847,3535,3535
1469945304,3527,3527
1469945799,3509,3509
1469946263,3511,3511
1469946739,3503,3503
1469947222,3514,3514
1469947715,3504,3504
1469948199,3499,3499
1469948659,3491,3491
1469949148,3482,3482
1469949634,3486,3486
1469950106,3530,3530
1469950605,3532,3532
1469951064,3532,3532
1469951756,3528,3528
1469952056,3528,3528
1469952748,3524,3524
1469953017,3479,3479
1469953697,3455,3455
1469953977,3458,3458
1469954652,3464,3464
1469954913,3468,3468
1469955642,3456,3456
1469955862,3494,3494
1469956585,3488,3488
1469956815,3488,3488
1469957542,3484,3484
1469957789,3484,3484
1469958511,3502,3502
1469958739,3502,3502
1469959457,3516,3516
1469959707,3516,3516
1469960420,3512,3512
1469960659,3489,3489
1469961396,3492,3492
1469961621,3490,3490
1469962341,3493,3493
1469962597,3497,3497
1469963306,3487,3487
1469963553,3475,3475
1469964257,3475,3475
1469964506,3477,3477
1469965230,3448,3448
1469965452,3443,3443
1469966182,3435,3435
1469966450,3437,3437
1469967159,3409,3409
1469967390,3409,3409
1469968118,3381,3381
1469968340,3373,3373
1469969068,3371,3371
1469969312,3366,3366
1469970043,3349,3349
1469970254,3348,3348
1469971000,3337,3337
1469971218,3345,3345
1469971939,3340,3340
1469972191,3327,3327
1469972915,3321,3321
1469973145,3363,3363
1469973857,3361,3361
1469974096,3361,3361
1469974837,3347,3347
1469975064,3317,3317
1469975802,3325,3325
1469976023,3331,3331
1469976748,3345,3345
1469976983,3349,3349
1469977694,3361,3361
1469977959,3358,3358
1469978656,3360,3360
1469978910,3348,3348
1469979614,3376,3376
1469979852,3384,3384
1469980579,3396,3396
1469980843,3423,3423
1469981548,3415,3415
1469981790,3415,3415
1469982504,3411,3411
1469982746,3367,3367
1469983452,3383,3383
1469983712,3393,3393
1469984464,3381,3381
1469984657,3392,3392
1469985382,3406,3406
1469985619,3429,3429
1469986347,3427,3427
1469986603,3427,3427
1469987322,3429,3429
1469987554,3429,3429
1469988254,3427,3427
1469988521,3427,3427
1469989211,3429,3429
1469989481,3429,3429
1469990188,3443,3443
1469990445,3443,3443
1469991143,3443,3443
1469991388,3416,3416
1469992096,3433,3433
1469992361,3429,3429
1469993056,3431,3431
1469993308,3423,3423
1469994024,3421,3421
1469994269,3425,3425
1469994972,3427,3427
1469995281,3434,3434
1469995953,3425,3425
1469996182,3451,3451
1469996905,3437,3437
1469997144,3437,3437
1469997852,3453,3453
1469998122,3453,3453
1469998893,3435,3435
1469999059,3399,3399
1470000029,3391,3391
1470001008,3376,3376
1470001957,3411,3411
1470002897,3411,3411
1470003863,3372,3372
1470004829,3423,3423
1470005794,3406,3406
1470006759,3386,3386
1470007708,3413,3413
1470008654,3389,3389
1470009644,3401,3401
1470010589,3405,3405
1470011548,3399,3399
1470012514,3401,3401
1470013465,3386,3386
1470014421,3362,3362
1470015396,3372,3372
1470016346,3384,3384
1470017315,3385,3385
1470018257,3376,3376
1470019232,3365,3365
1470020204,3364,3364
1470021148,3368,3368
1470022122,3367,3367
1470023058,3385,3385
1470024125,3372,3372
1470025227,3395,3395
1470026192,3394,3394
1470027142,3413,3413
1470028117,3434,3434
1470029051,3430,3430
1470030027,3398,3398
1470030981,3412,3412
1470031960,3408,3408
1470032899,3416,3416
1470033855,3433,3433
1470034866,3437,3437
1470035843,3459,3459
1470036787,3470,3470
1470037705,3460,3460
1470038689,3444,3444
1470039622,3447,3447
1470040595,3442,3442
1470041552,3449,3449
1470042505,3462,3462
1470043452,3470,3470
1470044417,3488,3488
1470045386,3500,3500
1470046352,3478,3478
1470047301,3499,3499
1470048259,3508,3508
1470049244,3461,3461
1470050183,3460,3460
1470051186,3455,3455
1470052101,3448,3448
1470053062,3453,3453
1470054055,3454,3454
1470054986,3452,3452
1470056048,3453,3453
1470057161,3497,3497
1470058099,3493,3493
1470059056,3489,3489
1470060071,3473,3473
1470061077,3464,3464
1470062092,3464,3464
1470063152,3464,3464
1470064100,3434,3434
1470065186,3426,3426
1470066369,3406,3406
1470067464,3408,3408
1470068431,3388,3388
1470069389,3399,3399
1470070369,3402,3402
1470071313,3401,3401
1470072253,3401,3401
1470073230,3397,3397
1470074184,3395,3395
1470075195,3435,3435
1470076099,3421,3421
1470077069,3424,3424
1470078043,3425,3425
1470078994,3433,3433
1470079940,3444,3444
1470080927,3433,3433
1470081860,3434,3434
1470082834,3461,3461
1470083790,3468,3468
1470084756,3469,3469
1470085698,3491,3491
1470086672,3485,3485
1470087630,3521,3521
1470088581,3480,3480
1470090049,3489,3489
1470090995,3502,3502
1470091945,3506,3506
1470092981,3502,3502
1470093938,3513,3513
1470094835,3507,3507
1470095050,3508,3508
1470095787,3520,3520
1470096041,3514,3514
1470096759,3520,3520
1470096983,3518,3518
1470097720,3536,3536
1470098036,3536,3536
1470098649,3532,3532
1470099144,3538,3538
1470099635,3542,3542
1470100104,3542,3542
1470100594,3545,3545
1470101052,3546,3546
1470101550,3534,3534
1470102023,3536,3536
1470102512,3540,3540
1470102985,3542,3542
1470103467,3538,3538
1470103942,3545,3545
1470104412,3566,3566
1470104910,3552,3552
1470105394,3562,3562
1470105850,3551,3551
1470106342,3563,3563
1470106835,3554,3554
1470107312,3552,3552
1470107797,3558,3558
1470108267,3556,3556
1470108759,3567,3567
1470109253,3569,3569
1470109715,3574,3574
1470110198,3570,3570
1470110671,3566,3566
1470111141,3548,3548
1470111631,3541,3541
1470112124,3531,3531
1470112603,3526,3526
1470113055,3534,3534
1470113547,3538,3538
1470114039,3517,3517
1470114513,3522,3522
1470114995,3517,3517
1470115450,3515,3515
1470116427,3516,3516
1470117387,3499,3499
1470118355,3486,3486
1470119308,3482,3482
1470120277,3490,3490
1470121246,3488,3488
1470122198,3493,3493
1470123141,3519,3519
1470124112,3538,3538
1470125295,3545,3545
1470126253,3557,3557
1470127221,3544,3544
1470128194,3535,3535
1470129417,3508,3508
1470130367,3502,3502
1470131328,3470,3470
1470132276,3465,3465
1470133249,3470,3470
1470134198,3467,3467
1470135181,3464,3464
1470136111,3457,3457
1470137061,3465,3465
1470138021,3470,3470
1470138999,3493,3493
1470139950,3495,3495
1470140924,3480,3480
1470141869,3491,3491
1470142872,3489,3489
1470143785,3491,3491
1470144759,3470,3470
1470145701,3449,3449
1470146664,3442,3442
1470147646,3441,3441
1470148604,3439,3439
1470149557,3444,3444
1470150529,3462,3462
1470151456,3467,3467
1470152437,3472,3472
1470153402,3474,3474
1470154349,3484,3484
