DateTime,Entries,UniqueIPs
1469645059,5206,5245
1469646039,5226,5265
1469646988,5260,5299
1469647950,5224,5263
1469648896,5248,5287
1469649855,5251,5291
1469650830,5188,5228
1469651795,5199,5238
1469653057,5222,5260
1469654187,5250,5288
1469655142,5183,5221
1469656111,5180,5218
1469657055,5195,5233
1469658033,5205,5243
1469658984,5167,5205
1469659943,5177,5215
1469660910,5204,5242
1469661855,5180,5218
1469662815,5144,5182
1469663796,5110,5148
1469664744,5144,5182
1469665703,5140,5177
1469666653,5124,5161
1469667649,5120,5157
1469668575,5137,5173
1469669563,5140,5176
1469670498,5126,5162
1469671458,5142,5178
1469672430,5119,5155
1469673390,5136,5173
1469674344,5116,5153
1469675313,5138,5175
1469676248,5133,5169
1469677240,5129,5166
1469678190,5135,5172
1469679162,5167,5204
1469680095,5196,5234
1469681059,5210,5248
1469682036,5193,5230
1469682996,5213,5250
1469684008,5221,5258
1469685145,5186,5222
1469686109,5220,5256
1469687049,5216,5252
1469688016,5198,5234
1469688998,5150,5186
1469689952,5216,5252
1469690925,5204,5240
1469691862,5202,5238
1469692858,5224,5260
1469693804,5274,5310
1469694764,5276,5312
1469695714,5266,5300
1469696659,5266,5300
1469697644,5309,5343
1469698607,5294,5327
1469699552,5310,5343
1469700496,5298,5331
1469701457,5318,5352
1469702434,5337,5370
1469703380,5332,5366
1469704362,5378,5412
1469705294,5337,5372
1469706257,5336,5370
1469707277,5332,5366
1469708439,5373,5406
1469709392,5375,5408
1469710354,5369,5402
1469711313,5389,5422
1469712273,5382,5415
1469713294,5386,5419
1469714460,5399,5432
1469715375,5446,5480
1469716358,5449,5482
1469717323,5456,5489
1469718268,5452,5485
1469719218,5484,5517
1469720201,5474,5507
1469721159,5486,5519
1469722108,5487,5520
1469723059,5529,5562
1469724017,5501,5535
1469724987,5523,5557
1469725974,5566,5601
1469726912,5552,5587
1469727852,5570,5606
1469728870,5569,5606
1469729801,5585,5622
1469730742,5581,5618
1469731715,5588,5626
1469732660,5591,5628
1469733616,5560,5596
1469734592,5545,5581
1469735548,5516,5551
1469736494,5496,5531
1469737465,5511,5548
1469738443,5477,5514
1469739406,5491,5528
1469740378,5479,5516
1469741330,5476,5512
1469742252,5444,5480
1469743269,5462,5498
1469744198,5440,5476
1469745146,5458,5495
1469746117,5475,5511
1469747076,5502,5539
1469748021,5510,5548
1469749007,5503,5541
1469749953,5502,5539
1469750910,5474,5511
1469751862,5488,5525
1469752843,5502,5540
1469753787,5481,5520
1469754742,5524,5563
1469755718,5514,5553
1469756663,5510,5549
1469757655,5531,5571
1469758588,5518,5558
1469759556,5574,5614
1469760513,5562,5602
1469761467,5554,5594
1469762431,5581,5621
1469763397,5605,5643
1469764364,5617,5656
1469765295,5577,5616
1469766255,5598,5636
1469767255,5602,5640
1469768184,5582,5618
1469769167,5585,5622
1469770130,5574,5610
1469771091,5557,5592
1469772749,5539,5574
1469773720,5554,5589
1469774647,5560,5594
1469775636,5535,5569
1469776602,5507,5541
1469777778,5493,5527
1469778756,5477,5511
1469779709,5481,5515
1469780649,5452,5485
1469781637,5464,5497
1469782587,5448,5481
1469783544,5454,5487
1469784529,5446,5479
1469785451,5460,5493
1469786446,5445,5477
1469787400,5461,5493
1469788371,5456,5488
1469789311,5476,5508
1469790276,5454,5484
1469791228,5454,5484
1469792192,5469,5500
1469793159,5462,5493
1469794095,5452,5483
1469795049,5451,5482
1469796037,5467,5498
1469796986,5445,5476
1469797952,5458,5489
1469798901,5448,5479
1469799848,5431,5462
1469800851,5443,5474
1469801786,5377,5405
1469802755,5397,5426
1469803701,5362,5386
1469804686,5336,5360
1469805616,5346,5370
1469806596,5336,5360
1469807544,5324,5348
1469808513,5291,5314
1469809449,5301,5324
1469810424,5248,5268
1469812343,5272,5292
1469813317,5249,5268
1469814264,5244,5263
1469815251,5262,5281
1469816186,5256,5275
1469817162,5236,5255
1469818103,5256,5275
1469819062,5198,5215
1469820029,5192,5209
1469821021,5162,5179
1469821946,5182,5199
1469822911,5121,5138
1469823853,5131,5148
1469824841,5137,5154
1469825780,5113,5130
1469826787,5064,5081
1469827717,5078,5095
1469828651,5082,5099
1469829665,5060,5077
1469830582,5046,5063
1469831541,5036,5053
1469832514,5023,5039
1469833463,4969,4985
1469834415,4954,4969
1469835396,4982,4997
1469836463,4904,4919
1469837554,4921,4936
1469838503,4912,4927
1469839456,4920,4935
1469840443,4857,4871
1469841394,4838,4852
1469842335,4865,4879
1469843307,4830,4844
1469844256,4819,4833
1469845211,4821,4835
1469846196,4823,4837
1469847143,4807,4821
1469848110,4789,4803
1469849053,4781,4795
1469850056,4756,4769
1469850987,4749,4762
1469851953,4742,4755
1469852915,4744,4757
1469853850,4738,4751
1469854851,4718,4731
1469855793,4724,4737
1469857236,4743,4756
1469858187,4697,4710
1469859412,3341,3344
1469860358,3343,3346
1469861304,3331,3334
1469862265,3314,3317
1469863247,3290,3293
1469864177,3314,3317
1469865152,3312,3315
1469866100,3312,3315
1469867053,3268,3271
1469868015,3296,3299
1469868994,3258,3261
1469869950,3248,3251
1469870909,3278,3281
1469871857,3248,3251
1469872840,3266,3269
1469873792,3262,3265
1469874753,3260,3263
1469875727,3266,3269
1469876655,3289,3292
1469877646,3284,3287
