DateTime,AddedIPs,RemovedIPs
1469663796,24,32
1469664744,80,54
1469665703,34,30
1469666653,16,19
1469667649,36,40
1469668575,54,14
1469669563,35,36
1469670498,22,26
1469671458,52,10
1469672430,31,41
1469673390,30,31
1469674344,28,38
1469675313,50,30
1469676248,26,6
1469677240,32,38
1469678190,26,20
1469679162,44,56
1469680095,46,28
1469681059,14,18
1469682036,22,42
1469682996,28,20
1469684008,20,36
1469685145,12,22
1469686109,34,32
1469687049,18,34
1469688016,24,14
1469688998,14,12
1469689952,66,41
1469690925,16,52
1469691862,26,46
1469692858,40,28
1469693804,81,18
1469694764,42,40
1469695714,28,16
1469696659,22,22
1469697644,65,22
1469698607,36,20
1469699552,24,22
1469700496,34,38
1469701457,84,14
1469702434,34,32
1469703380,20,18
1469704362,68,40
1469705294,18,30
1469706257,30,16
1469707277,22,33
1469708439,64,36
1469709392,28,15
1469710354,30,28
1469711313,20,38
1469712273,55,21
1469713294,24,32
1469714460,23,39
1469715375,68,19
1469716358,20,60
1469717323,24,58
1469718268,14,12
1469719218,66,32
1469720201,22,26
1469721159,36,30
1469722108,21,42
1469723059,50,14
1469724017,28,66
1469724987,34,14
1469725974,68,12
1469726912,18,18
1469727852,47,26
1469728870,26,24
1469729801,52,22
1469730742,26,10
1469731715,32,28
1469732660,28,40
1469733616,12,30
1469734592,31,21
1469735548,33,41
1469736494,40,51
1469737465,63,24
1469738443,20,20
1469739406,14,32
1469740378,26,49
1469741330,45,12
1469742252,14,8
1469743269,32,42
1469744198,6,18
1469745146,69,42
1469746117,32,22
1469747076,64,68
1469748021,22,34
1469749007,57,22
1469749953,30,28
1469750910,26,70
1469751862,44,18
1469752843,35,28
1469753787,20,24
1469754742,57,84
1469755718,26,32
1469756663,22,18
1469757655,32,57
1469758588,28,29
1469759556,86,30
1469760513,26,26
1469761467,22,42
1469762431,33,38
1469763397,60,24
1469764364,33,40
1469765295,17,41
1469766255,48,30
1469767255,22,30
1469768184,20,22
1469769167,24,30
1469770130,24,16
1469771091,4,7
1469772749,48,48
1469773720,29,1443
1469774647,17,26
1469775636,18,30
1469776602,24,26
1469777778,34,38
1469778756,12,20
1469779709,22,22
1469780649,10,24
1469781637,28,26
1469782587,6,18
1469783544,28,28
1469784529,12,34
1469785451,40,16
1469786446,24,22
1469787400,34,18
1469788371,28,32
1469789311,42,22
1469790276,16,12
1469791228,34,16
1469792192,32,20
1469793159,26,6
1469794095,26,14
1469795049,16,6
1469796037,46,30
1469796986,18,6
1469797952,34,14
1469798901,22,22
1469799848,22,8
1469800851,14,34
1469801786,10,16
1469802755,21,29
1469803701,18,18
1469804686,18,12
1469805616,10,18
1469806596,18,12
1469807544,18,26
1469808513,22,16
1469809449,10,18
1469810424,24,32
1469811386,0,6
1469812343,38,26
1469813317,20,22
1469814264,19,25
1469815251,20,20
1469816186,16,16
1469817162,18,40
1469818103,20,14
1469819062,10,16
1469820029,14,4
1469821021,10,6
1469821946,20,22
1469822911,14,20
1469823853,10,6
1469824841,26,30
1469825780,8,12
1469826787,12,14
1469827717,14,18
1469828651,12,10
1469829665,20,10
1469830582,4,6
1469831541,32,27
1469832514,8,26
1469833463,14,6
1469834415,18,18
1469835396,50,8
1469836463,22,24
1469837554,35,26
1469838503,19,28
1469839456,32,10
1469840443,20,34
1469841394,13,12
1469842335,45,18
1469843307,22,26
1469844256,18,22
1469845211,32,32
1469846196,28,4
1469847143,26,22
1469848110,20,29
1469849053,16,18
1469850056,14,16
1469850987,34,24
1469851953,23,17
1469852915,32,18
1469853850,16,26
1469854851,10,30
1469855793,22,10
1469857236,26,22
1469858187,2,22
1469859412,38,22
1469860358,28,44
1469861304,18,14
1469862265,8,24
1469863247,14,34
1469864177,24,20
1469865152,18,14
1469866100,22,28
1469867053,6,12
1469868015,28,28
1469868994,8,18
1469869950,24,34
1469870909,30,14
1469871857,8,42
1469872840,18,28
1469873792,14,40
1469874753,30,48
1469875727,40,34
1469876655,23,24
1469877646,31,32
1469878592,6,36
1469879560,28,28
1469880503,60,38
1469881482,24,14
1469882430,26,30
1469883400,14,14
1469884357,40,22
1469885320,33,24
1469886270,11,13
1469887248,36,22
1469888189,28,10
1469889169,32,24
1469890110,30,18
1469891070,16,22
1469892056,23,12
1469892981,30,10
1469893948,21,19
1469894907,21,24
1469895849,14,6
1469896838,14,34
1469897781,12,0
1469898749,34,22
1469899699,24,24
1469900674,18,14
1469901672,22,14
1469902577,26,14
1469903557,32,18
1469904505,22,28
1469905461,24,10
1469906434,22,12
1469907384,17,15
1469908348,10,32
1469909309,26,10
1469910270,18,18
1469911233,12,18
1469912189,16,10
1469913138,20,22
1469914106,18,20
1469915058,16,10
1469916068,8,18
1469916995,10,12
1469917950,32,24
1469918926,16,18
1469919855,12,14
1469920835,38,14
1469921778,28,18
1469922763,21,12
1469923802,22,34
1469924899,39,28
1469925855,18,22
1469926841,26,20
1469927773,18,8
1469928750,20,58
1469929696,24,28
1469930655,12,26
1469931625,28,24
1469932619,10,26
1469933549,22,24
1469934522,26,14
1469935460,14,12
1469936419,28,10
1469937376,8,25
1469938356,24,38
1469939296,26,28
1469940257,9,19
1469941248,8,16
1469942186,14,26
1469943859,26,40
1469944847,0,4
1469945799,22,40
1469946739,18,26
1469947715,8,18
1469948659,10,18
1469949634,24,20
1469950605,16,14
1469951756,18,22
1469952748,26,30
1469953697,8,32
1469954652,24,18
1469955642,12,24
1469956585,10,16
1469957542,22,26
1469958511,38,20
1469959457,28,14
1469960420,30,34
1469961396,26,24
1469962341,30,27
1469963306,34,44
1469964257,20,21
1469965230,18,48
1469966182,8,16
1469967159,24,54
1469968118,16,46
1469969068,14,16
1469970043,16,35
1469971000,12,24
1469971939,14,20
1469972915,20,26
1469973857,16,18
1469974837,18,32
1469975802,22,14
1469976748,24,10
1469977694,36,24
1469978656,12,10
1469979614,46,18
1469980579,22,10
1469981548,8,16
1469982504,20,24
1469983452,28,12
1469984464,26,38
1469985382,30,16
1469986347,26,28
1469987322,26,24
1469988254,16,18
1469989211,24,22
1469990188,30,16
1469991143,12,12
1469992096,32,16
1469993056,10,8
1469994024,18,20
1469994972,18,16
1469995953,8,18
1469996905,4,18
1469997852,26,10
1469998893,10,28
1470000025,18,28
1470001005,4,18
1470001954,20,20
1470002894,12,12
1470003860,10,18
1470004826,38,18
1470005791,14,8
1470006752,12,30
1470007705,26,24
1470008651,12,18
1470009641,32,22
1470010585,20,18
1470011545,27,26
1470012511,31,24
1470013461,18,14
1470014418,18,32
1470015393,14,14
1470016343,20,20
1470017312,18,20
1470018254,8,11
1470019229,20,30
1470020201,8,12
1470021145,18,26
1470022119,22,18
1470023055,26,8
1470024122,16,30
1470025224,36,10
1470026189,14,18
1470027139,32,16
1470028110,10,12
1470029047,8,12
1470030024,20,26
1470030973,18,6
1470031957,26,24
1470032896,22,14
1470033852,26,4
1470034863,14,10
1470035839,26,12
1470036783,20,16
1470037702,10,22
1470038685,9,26
1470039619,20,10
1470040592,16,16
1470041548,24,12
1470042501,36,24
1470043449,34,30
1470044413,42,28
1470045378,26,18
1470046349,12,36
1470047298,30,28
1470048256,35,26
1470049241,27,44
1470050180,18,20
1470051183,16,26
1470052098,23,19
1470053058,16,8
1470054052,18,20
1470054977,16,20
1470056044,20,12
1470057158,54,16
1470058096,16,16
1470059053,24,28
1470060068,26,42
1470061074,8,22
1470062089,30,30
1470063149,14,10
1470064097,16,48
1470065183,22,34
1470066366,18,32
1470067460,22,26
1470068429,22,36
1470069385,14,4
1470070366,30,34
1470071310,20,26
1470072249,14,10
1470073226,22,24
1470074180,6,10
1470075192,34,22
1470076095,24,16
1470077066,16,8
1470078039,22,20
1470078991,14,6
1470079937,30,20
1470080923,4,16
1470081857,8,6
1470082830,32,6
1470083787,16,8
1470084753,18,12
1470085694,32,12
1470086669,22,22
1470087624,26,26
1470088578,12,16
1470090046,24,26
1470090989,20,6
1470091940,16,12
1470092978,16,16
1470093934,12,8
1470094835,26,32
1470095787,28,16
1470096759,36,30
1470097720,42,24
1470098649,24,28
1470099635,26,22
1470100594,17,14
1470101550,22,34
1470102512,30,26
1470103467,16,20
1470104412,38,18
1470105394,16,6
1470106342,28,16
1470107312,18,20
1470108267,8,10
1470109253,28,26
1470110198,18,22
1470111141,14,32
1470112124,20,30
1470113055,18,10
1470114039,16,37
1470114995,12,18
1470116424,24,16
1470117384,4,20
1470118352,24,24
1470119305,16,24
1470120274,16,22
1470121243,16,22
1470122195,28,20
1470123138,33,14
1470124109,30,6
1470125291,36,22
1470126250,18,12
1470127217,30,42
1470128191,12,22
1470129414,42,68
1470130364,18,28
1470131325,24,46
1470132272,22,28
1470133246,22,20
1470134195,8,12
1470135178,28,26
1470136108,34,38
1470137058,11,14
1470138017,30,20
1470138996,41,20
1470139947,26,24
1470140920,6,20
1470141866,24,12
1470142869,26,35
1470143780,18,18
1470144756,30,46
1470145698,14,30
1470146660,22,22
1470147643,24,32
1470148601,12,10
1470149554,30,28
