DateTime,Entries,UniqueIPs
1469662815,2431,2431
1469663796,2423,2423
1469664744,2449,2449
1469665703,2453,2453
1469666653,2450,2450
1469667649,2446,2446
1469668575,2486,2486
1469669563,2485,2485
1469670498,2481,2481
1469671458,2523,2523
1469672430,2513,2513
1469673390,2512,2512
1469674344,2502,2502
1469675313,2522,2522
1469676248,2542,2542
1469677240,2536,2536
1469678190,2542,2542
1469679162,2530,2530
1469680095,2548,2548
1469681059,2544,2544
1469682036,2524,2524
1469682996,2532,2532
1469684008,2516,2516
1469685145,2506,2506
1469686109,2508,2508
1469687049,2492,2492
1469688016,2502,2502
1469688998,2504,2504
1469689952,2529,2529
1469690925,2493,2493
1469691862,2473,2473
1469692858,2485,2485
1469693804,2548,2548
1469694764,2550,2550
1469695714,2562,2562
1469696659,2562,2562
1469697644,2605,2605
1469698607,2621,2621
1469699552,2623,2623
1469700496,2619,2619
1469701457,2689,2689
1469702434,2691,2691
1469703380,2693,2693
1469704362,2721,2721
1469705294,2709,2709
1469706257,2723,2723
1469707277,2712,2712
1469708439,2740,2740
1469709392,2753,2753
1469710354,2755,2755
1469711313,2737,2737
1469712273,2771,2771
1469713294,2763,2763
1469714460,2747,2747
1469715375,2796,2796
1469716358,2756,2756
1469717323,2722,2722
1469718268,2724,2724
1469719218,2758,2758
1469720201,2754,2754
1469721159,2760,2760
1469722108,2739,2739
1469723059,2775,2775
1469724017,2737,2737
1469724987,2757,2757
1469725974,2813,2813
1469726912,2813,2813
1469727852,2834,2834
1469728870,2836,2836
1469729801,2866,2866
1469730742,2882,2882
1469731715,2886,2886
1469732660,2874,2874
1469733616,2856,2856
1469734592,2866,2866
1469735548,2858,2858
1469736494,2847,2847
1469737465,2886,2886
1469738443,2886,2886
1469739406,2868,2868
1469740378,2845,2845
1469741330,2878,2878
1469742252,2884,2884
1469743269,2874,2874
1469744198,2862,2862
1469745146,2889,2889
1469746117,2899,2899
1469747076,2895,2895
1469748021,2883,2883
1469749007,2918,2918
1469749953,2920,2920
1469750910,2876,2876
1469751862,2902,2902
1469752843,2909,2909
1469753787,2905,2905
1469754742,2878,2878
1469755718,2872,2872
1469756663,2876,2876
1469757655,2851,2851
1469758588,2850,2850
1469759556,2906,2906
1469760513,2906,2906
1469761467,2886,2886
1469762431,2881,2881
1469763397,2917,2917
1469764364,2910,2910
1469765295,2886,2886
1469766255,2904,2904
1469767255,2896,2896
1469768184,2894,2894
1469769167,2888,2888
1469770130,2896,2896
1469771091,2893,2893
1469772749,2893,2893
1469773720,1479,1479
1469774647,1470,1470
1469775636,1458,1458
1469776602,1456,1456
1469777778,1452,1452
1469778756,1444,1444
1469779709,1444,1444
1469780649,1430,1430
1469781637,1432,1432
1469782587,1420,1420
1469783544,1420,1420
1469784529,1398,1398
1469785451,1422,1422
1469786446,1424,1424
1469787400,1440,1440
1469788371,1436,1436
1469789311,1456,1456
1469790276,1460,1460
1469791228,1478,1478
1469792192,1490,1490
1469793159,1510,1510
1469794095,1522,1522
1469795049,1532,1532
1469796037,1548,1548
1469796986,1560,1560
1469797952,1580,1580
1469798901,1580,1580
1469799848,1594,1594
1469800851,1574,1574
1469801786,1568,1568
1469802755,1560,1560
1469803701,1560,1560
1469804686,1566,1566
1469805616,1558,1558
1469806596,1564,1564
1469807544,1556,1556
1469808513,1562,1562
1469809449,1554,1554
1469810424,1546,1546
1469811386,1540,1540
1469812343,1552,1552
1469813317,1550,1550
1469814264,1544,1544
1469815251,1544,1544
1469816186,1544,1544
1469817162,1522,1522
1469818103,1528,1528
1469819062,1522,1522
1469820029,1532,1532
1469821021,1536,1536
1469821946,1534,1534
1469822911,1528,1528
1469823853,1532,1532
1469824841,1528,1528
1469825780,1524,1524
1469826787,1522,1522
1469827717,1518,1518
1469828651,1520,1520
1469829665,1530,1530
1469830582,1528,1528
1469831541,1533,1533
1469832514,1515,1515
1469833463,1523,1523
1469834415,1523,1523
1469835396,1565,1565
1469836463,1563,1563
1469837554,1572,1572
1469838503,1563,1563
1469839456,1585,1585
1469840443,1571,1571
1469841394,1572,1572
1469842335,1599,1599
1469843307,1595,1595
1469844256,1591,1591
1469845211,1591,1591
1469846196,1615,1615
1469847143,1619,1619
1469848110,1610,1610
1469849053,1608,1608
1469850056,1606,1606
1469850987,1616,1616
1469851953,1622,1622
1469852915,1636,1636
1469853850,1626,1626
1469854851,1606,1606
1469855793,1618,1618
1469857236,1622,1622
1469858187,1602,1602
1469859412,1618,1618
1469860358,1602,1602
1469861304,1606,1606
1469862265,1590,1590
1469863247,1570,1570
1469864177,1574,1574
1469865152,1578,1578
1469866100,1572,1572
1469867053,1566,1566
1469868015,1566,1566
1469868994,1556,1556
1469869950,1546,1546
1469870909,1562,1562
1469871857,1528,1528
1469872840,1518,1518
1469873792,1492,1492
1469874753,1474,1474
1469875727,1480,1480
1469876655,1479,1479
1469877646,1478,1478
1469878592,1448,1448
1469879560,1448,1448
1469880503,1470,1470
1469881482,1480,1480
1469882430,1476,1476
1469883400,1476,1476
1469884357,1494,1494
1469885320,1503,1503
1469886270,1501,1501
1469887248,1515,1515
1469888189,1533,1533
1469889169,1541,1541
1469890110,1553,1553
1469891070,1547,1547
1469892056,1558,1558
1469892981,1578,1578
1469893948,1580,1580
1469894907,1577,1577
1469895849,1585,1585
1469896838,1565,1565
1469897781,1577,1577
1469898749,1589,1589
1469899699,1589,1589
1469900674,1593,1593
1469901672,1601,1601
1469902577,1613,1613
1469903557,1627,1627
1469904505,1621,1621
1469905461,1635,1635
1469906434,1645,1645
1469907384,1647,1647
1469908348,1625,1625
1469909309,1641,1641
1469910270,1641,1641
1469911233,1635,1635
1469912189,1641,1641
1469913138,1639,1639
1469914106,1637,1637
1469915058,1643,1643
1469916068,1633,1633
1469916995,1631,1631
1469917950,1639,1639
1469918926,1637,1637
1469919855,1635,1635
1469920835,1659,1659
1469921778,1669,1669
1469922763,1678,1678
1469923802,1666,1666
1469924899,1677,1677
1469925855,1673,1673
1469926841,1679,1679
1469927773,1689,1689
1469928750,1651,1651
1469929696,1647,1647
1469930655,1633,1633
1469931625,1637,1637
1469932619,1621,1621
1469933549,1619,1619
1469934522,1631,1631
1469935460,1633,1633
1469936419,1651,1651
1469937376,1634,1634
1469938356,1620,1620
1469939296,1618,1618
1469940257,1608,1608
1469941248,1600,1600
1469942186,1588,1588
1469943859,1574,1574
1469944847,1570,1570
1469945799,1552,1552
1469946739,1544,1544
1469947715,1534,1534
1469948659,1526,1526
1469949634,1530,1530
1469950605,1532,1532
1469951756,1528,1528
1469952748,1524,1524
1469953697,1500,1500
1469954652,1506,1506
1469955642,1494,1494
1469956585,1488,1488
1469957542,1484,1484
1469958511,1502,1502
1469959457,1516,1516
1469960420,1512,1512
1469961396,1514,1514
1469962341,1517,1517
1469963306,1507,1507
1469964257,1506,1506
1469965230,1476,1476
1469966182,1468,1468
1469967159,1438,1438
1469968118,1408,1408
1469969068,1406,1406
1469970043,1387,1387
1469971000,1375,1375
1469971939,1369,1369
1469972915,1363,1363
1469973857,1361,1361
1469974837,1347,1347
1469975802,1355,1355
1469976748,1369,1369
1469977694,1381,1381
1469978656,1383,1383
1469979614,1411,1411
1469980579,1423,1423
1469981548,1415,1415
1469982504,1411,1411
1469983452,1427,1427
1469984464,1415,1415
1469985382,1429,1429
1469986347,1427,1427
1469987322,1429,1429
1469988254,1427,1427
1469989211,1429,1429
1469990188,1443,1443
1469991143,1443,1443
1469992096,1459,1459
1469993056,1461,1461
1469994024,1459,1459
1469994972,1461,1461
1469995953,1451,1451
1469996905,1437,1437
1469997852,1453,1453
1469998893,1435,1435
1470000025,1425,1425
1470001005,1411,1411
1470001954,1411,1411
1470002894,1411,1411
1470003860,1403,1403
1470004826,1423,1423
1470005791,1429,1429
1470006752,1411,1411
1470007705,1413,1413
1470008651,1407,1407
1470009641,1417,1417
1470010585,1419,1419
1470011545,1420,1420
1470012511,1427,1427
1470013461,1431,1431
1470014418,1417,1417
1470015393,1417,1417
1470016343,1417,1417
1470017312,1415,1415
1470018254,1412,1412
1470019229,1402,1402
1470020201,1398,1398
1470021145,1390,1390
1470022119,1394,1394
1470023055,1412,1412
1470024122,1398,1398
1470025224,1424,1424
1470026189,1420,1420
1470027139,1436,1436
1470028110,1434,1434
1470029047,1430,1430
1470030024,1424,1424
1470030973,1436,1436
1470031957,1438,1438
1470032896,1446,1446
1470033852,1468,1468
1470034863,1472,1472
1470035839,1486,1486
1470036783,1490,1490
1470037702,1478,1478
1470038685,1461,1461
1470039619,1471,1471
1470040592,1471,1471
1470041548,1483,1483
1470042501,1495,1495
1470043449,1499,1499
1470044413,1513,1513
1470045378,1521,1521
1470046349,1497,1497
1470047298,1499,1499
1470048256,1508,1508
1470049241,1491,1491
1470050180,1489,1489
1470051183,1479,1479
1470052098,1483,1483
1470053058,1491,1491
1470054052,1489,1489
1470054977,1485,1485
1470056044,1493,1493
1470057158,1531,1531
1470058096,1531,1531
1470059053,1527,1527
1470060068,1511,1511
1470061074,1497,1497
1470062089,1497,1497
1470063149,1501,1501
1470064097,1469,1469
1470065183,1457,1457
1470066366,1443,1443
1470067460,1439,1439
1470068429,1425,1425
1470069385,1435,1435
1470070366,1431,1431
1470071310,1425,1425
1470072249,1429,1429
1470073226,1427,1427
1470074180,1423,1423
1470075192,1435,1435
1470076095,1443,1443
1470077066,1451,1451
1470078039,1453,1453
1470078991,1461,1461
1470079937,1471,1471
1470080923,1459,1459
1470081857,1461,1461
1470082830,1487,1487
1470083787,1495,1495
1470084753,1501,1501
1470085694,1521,1521
1470086669,1521,1521
1470087624,1521,1521
1470088578,1517,1517
1470090046,1515,1515
1470090989,1529,1529
1470091940,1533,1533
1470092978,1533,1533
