DateTime,Entries,UniqueIPs
1468317604,6835,6835
1468319533,6813,6813
1468323365,6821,6821
1468325282,6843,6843
1468331044,6838,6838
1468334885,6849,6849
1468338725,6829,6829
1468342565,6871,6871
1468346405,6855,6855
1468348333,6856,6856
1468352163,6844,6844
1468356003,6839,6839
1468359842,6837,6837
1468363683,6827,6827
1468367522,6815,6815
1468371363,6793,6793
1468375202,6792,6792
1468377137,6785,6785
1468380965,6768,6768
1468384803,6766,6766
1468388643,6766,6766
1468392735,6780,6780
1468395843,6792,6792
1468399683,6790,6790
1468403522,6803,6803
1468407363,6804,6804
1468411202,6806,6806
1468413122,6809,6809
1468416964,6831,6831
1468420803,6830,6830
1468424642,6806,6806
1468428484,6815,6815
1468432322,6834,6834
1468436162,6845,6845
1468440004,6830,6830
1468441923,6830,6830
1468445763,6807,6807
1468449602,6774,6774
1468453682,6777,6777
1468457522,6753,6753
1468461371,6765,6765
1468465204,6745,6745
1468467123,6745,6745
1468470963,6735,6735
1468474802,6735,6735
1468478643,6721,6721
1468482482,6709,6709
1468486323,6718,6718
1468490171,6773,6773
1468494004,6781,6781
1468495923,6771,6771
1468499763,6769,6769
1468503603,6798,6798
1468507442,6791,6791
1468511282,6779,6779
1468515123,6809,6809
1468518971,6818,6818
1468522803,6798,6798
1468524722,6800,6800
1468528562,6775,6775
1468532402,6767,6767
1468536243,6759,6759
1468540084,6756,6756
1468543923,6733,6733
1468547770,6732,6732
1468551604,6726,6726
1468555443,6714,6714
1468557362,6722,6722
1468561203,6743,6743
1468565042,6729,6729
1468568883,6729,6729
1468572723,6746,6746
1468576570,6745,6745
1468580404,6757,6757
1468582323,6758,6758
1468586162,6758,6758
1468590002,6771,6771
1468594084,6764,6764
1468597923,6768,6768
1468601763,6783,6783
1468605604,6788,6788
1468607523,6,6
1468609444,6788,6788
1468611362,6789,6789
1468615203,6786,6786
1468619042,6775,6775
1468622883,6761,6761
1468626962,6768,6768
1468630803,6746,6746
1468632724,6755,6755
1468636562,6747,6747
1468640402,6737,6737
1468644242,6735,6735
