DateTime,Entries,UniqueIPs
1469445502,4815,1271808
1469445797,4813,1271296
1469446846,4819,1272832
1469449209,4817,1272320
1469450365,4819,1272832
1469452107,4821,1272832
1469453889,4825,1273856
1469454799,4819,1272320
1469456227,4823,1273344
1469457494,4829,1274880
1469459293,4829,1274880
1469460207,4830,1275136
1469461093,4837,1276928
1469462002,4835,1276416
1469463430,4836,1276672
1469464735,4838,1277184
1469465591,4826,1274112
1469467071,4829,1274880
1469468409,4833,1275904
1469469187,4828,1274368
1469470120,4831,1275136
1469471900,4834,1275904
1469472808,4827,1274112
1469475511,4832,1275392
1469476457,4830,1274880
1469477852,4833,1275648
1469479110,4834,1275904
1469480052,4832,1275392
1469480985,4833,1275648
1469482419,4836,1276416
1469482752,4835,1276160
1469486676,4834,1275904
1469488085,4833,1275648
1469489327,4831,1275136
1469492277,4828,1274368
1469493514,4831,1275136
1469494402,4827,1273856
1469495302,4830,1274624
1469497098,4832,1275136
1469499520,4833,1275392
1469499807,4832,1275136
1469500697,4837,1276416
1469503172,4835,1275904
1469504297,4837,1276416
1469506666,4838,1276416
1469507899,4844,1278208
1469510299,4841,1277440
1469511509,4843,1278464
1469513882,4850,1280256
1469514190,4849,1280000
1469515100,4853,1281024
1469516902,4853,1281024
1469517807,4851,1280512
1469518696,4854,1281536
1469521133,4855,1281792
1469522298,4859,1282816
1469524680,4855,1281536
1469525893,4856,1281792
1469527691,4858,1282304
1469529491,4861,1283072
1469531296,4865,1284096
1469532428,4864,1283840
1469533100,4868,1284864
1469535415,4871,1285888
1469536694,4871,1285888
1469537618,4865,1284352
1469539190,4872,1286144
1469539400,4870,1285632
1469540298,4871,1285888
1469542600,4873,1286400
1469542996,4872,1286144
1469543894,4877,1287424
1469544787,4874,1286656
1469546209,4878,1287936
1469547494,4881,1288448
1469548389,4876,1287168
1469549299,4883,1288960
1469551100,4889,1290496
1469552001,4875,1286912
1469553588,4883,1288960
1469554706,4889,1290496
1469557071,4893,1291520
1469558303,4895,1292032
1469560107,4890,1290752
1469561895,4895,1292032
1469564237,4899,1293056
1469564593,4898,1292800
1469565497,4902,1293824
1469567297,4901,1293568
1469568404,4900,1293312
1469569088,4906,1294848
1469570902,4910,1295872
1469572729,4915,1297152
1469573613,4910,1295872
1469575396,4914,1296896
1469576304,4913,1296640
1469578107,4918,1297152
1469579914,4921,1297920
1469582267,4919,1296640
1469583519,4924,1297920
1469585811,4926,1298688
1469587098,4929,1299456
1469588898,4932,1300224
1469590698,4938,1302016
1469591593,4933,1300736
1469592536,4941,1302784
1469594301,4946,1304064
1469596648,4943,1303296
1469597892,4948,1304576
1469600232,4950,1305088
1469600588,4949,1304832
1469601509,4957,1306880
1469603297,4958,1307136
1469605102,4962,1308160
1469607553,4964,1308672
1469608702,4967,1309440
1469609589,4964,1308672
1469610495,4970,1310208
1469612296,4971,1310464
1469614102,4973,1310976
1469615920,4979,1312512
1469618256,4980,1312768
1469619500,4984,1313792
1469621928,4985,1314048
1469623097,4991,1315584
1469625389,4990,1315328
1469626704,4993,1316096
1469627591,4989,1315072
1469629128,4993,1316096
1469629404,4992,1315840
1469630306,4998,1317376
1469631193,4988,1314816
1469632790,4997,1317376
1469632999,4996,1317120
1469633894,5002,1318656
1469634789,4997,1317376
1469636327,5006,1319680
1469636594,5005,1319424
1469637499,5008,1320192
1469639300,5009,1320192
1469641105,5015,1321728
1469643526,5018,1322496
1469644703,5016,1321984
1469645619,5013,1320960
1469646504,5022,1323520
1469648485,5025,1324288
1469650107,5025,1324544
1469651045,5024,1324288
1469651907,5026,1324800
1469652833,5018,1322240
1469653702,5025,1324288
1469655576,5025,1324288
1469656511,5019,1322752
1469657941,5025,1324288
1469659096,5028,1325568
1469659991,5020,1323520
1469660908,5025,1325056
1469662696,5029,1326080
1469664507,5029,1326080
1469666314,5033,1327360
1469668744,5034,1327616
1469669904,5038,1328640
1469672315,5039,1328640
1469672592,5038,1328384
1469673505,5042,1329408
1469674392,5032,1326848
1469675304,5040,1329408
1469677150,5039,1329920
1469679584,5039,1329920
1469679787,5038,1329664
1469680819,5041,1330688
1469681590,5038,1329920
1469683095,5044,1331712
1469684294,5046,1332224
1469685191,5041,1330944
1469686741,5049,1332992
1469686995,5048,1332736
1469687907,5054,1334528
1469689707,5049,1333248
1469690607,5048,1332992
1469691511,5051,1333760
1469693304,5054,1334528
1469695104,5058,1335296
1469695993,5054,1334272
1469697568,5061,1336064
1469697795,5059,1335552
1469698887,5062,1336576
1469700875,5059,1335808
1469702325,5061,1336320
1469703197,5055,1334784
1469704748,5057,1335296
1469705898,5060,1336064
1469708291,5058,1335552
1469708621,5057,1335296
1469709499,5061,1336576
1469711304,5054,1334528
1469713100,5052,1334016
1469714904,5056,1335040
1469716727,5058,1335552
1469717654,5045,1332224
1469719160,5049,1333248
1469719395,5046,1332480
1469720301,5047,1332736
1469721191,5044,1331968
1469722112,5051,1333760
1469723913,5052,1334016
1469725713,5052,1334016
1469727114,5053,1334272
1469727549,5052,1334016
1469728416,5048,1332736
1469729926,5051,1333504
1469730194,5048,1332736
1469731125,5053,1334016
1469732910,5053,1334016
1469734705,5055,1334528
1469735599,5049,1332992
