DateTime,Entries,UniqueIPs
1469813988,22033,127827
1469814792,22035,128594
1469815622,22034,128593
1469816353,22038,129107
1469817004,22104,129437
1469817422,22105,129438
1469817723,22121,129710
1469818636,22196,129788
1469819222,22196,129788
1469819537,22061,129653
1469820189,22061,128887
1469820701,22058,128119
1469821021,22059,128120
1469821112,21774,127834
1469821504,21727,127791
1469823514,21668,128754
1469823603,21791,128877
1469823799,21788,127854
1469824622,21787,127853
1469824701,21793,129389
1469824806,21593,129188
1469825703,21690,129289
1469826422,21686,128265
1469826602,21664,128247
1469827397,21674,130807
1469827437,21738,130873
1469828404,21620,130748
1469829303,21739,129851
1469830021,21738,129850
1469830782,21742,130874
1469831404,21850,130985
1469831822,21849,130984
1469832127,21920,131056
1469832795,21919,130800
1469833622,21918,130799
1469833700,22044,132706
1469834597,22188,132853
1469835303,22170,132826
1469835422,22169,132824
1469835502,22167,131802
1469837222,22230,131867
1469837403,22188,131822
1469838199,22189,132843
1469839022,22188,132842
1469839506,22038,134983
1469839991,22035,133960
1469841602,22014,134957
1469842155,22013,133170
1469842710,22015,133937
1469842925,21825,133744
1469844422,21824,133743
1469844843,21821,133740
1469845036,21821,135272
1469845395,21836,133503
1469845802,21711,133374
1469846221,21711,133374
1469846705,21713,135671
1469847616,21618,135575
1469848442,21692,135654
1469848767,21692,135654
1469849403,21544,133977
1469849822,21547,133980
1469850303,21518,134718
1469851622,21517,134717
1469852404,21497,135208
1469853283,21284,134988
1469853422,21285,134989
1469853503,21285,134734
1469855221,21248,134697
1469855403,21191,134638
1469855917,21194,135150
1469856482,21241,135198
1469857022,21232,132894
1469857448,21159,132817
1469858289,21102,133777
1469859303,21134,133809
1469859796,21136,133812
1469860204,21068,133744
1469860925,21038,133203
1469861763,21066,133231
1469862422,21068,133233
1469862602,21003,133165
1469863409,21009,134956
1469864222,21009,134956
1469864705,20947,134385
1469865686,20931,133093
1469866021,20930,133092
1469866611,20974,135686
1469867403,20868,135581
1469867822,20866,135579
1469868243,20867,135579
1469868794,20858,133275
1469869622,20857,133274
1469870103,20778,133193
1469870598,20788,135753
1469871003,20414,135368
1469871421,20414,135368
1469871724,20382,134822
1469872563,20427,134868
1469873222,20428,134869
1469873402,20321,134759
1469873941,20328,136551
1469875022,20331,136554
1469875504,20208,136674
1469877592,20210,136931
1469877887,20155,136877
1469878803,19914,136633
1469879667,19907,135861
1469880495,19797,137279
1469881409,19831,137314
1469882223,19830,137313
1469882307,19834,137571
1469882403,19537,137263
1469883363,19574,137301
1469884203,19429,137156
1469884740,19432,137670
1469885821,19432,137670
1469886303,19181,136902
1469886798,19182,137158
1469888302,19104,137850
1469889422,19102,137848
1469889568,19106,137596
1469889604,18896,137387
1469891703,18941,137440
