DateTime,AddedIPs,RemovedIPs
1469785322,1,0
1469785921,2,2
1469786521,5,1
1469787721,7,36
1469788321,3,7
1469788921,8,0
1469789521,3,5
1469790122,1,20
1469790722,1,0
1469791321,6,1
1469791921,2,0
1469792522,4,0
1469793122,3,3
1469793722,0,5
1469794351,3,0
1469794921,1,0
1469795521,7,3
1469796121,1,0
1469796721,4,4
1469797321,3,0
1469798522,9,9
1469799122,8,27
1469799722,5,7
1469800321,27,12
1469800922,6,7
1469802121,1,3
1469803322,2,2
1469803922,1,0
1469804521,11,14
1469805121,3,0
1469805721,0,1
1469806922,1,4
1469808123,1,8
1469808722,7,7
1469809321,0,1
1469809922,1,0
1469811122,1,3
1469811721,1,7
1469812321,1,1
1469812922,2,0
1469813521,6,1
1469814122,1,1
1469814721,2,0
1469815321,6,4
1469815922,4,8
1469816521,0,2
1469817121,1,0
1469817721,3,0
1469818922,0,6
1469819521,7,3
1469820121,1,1
1469820722,2,2
1469821322,1,12
1469821922,28,0
1469822521,2,7
1469823723,2,6
1469824321,1,0
1469824381,0,3
1469825522,0,3
1469826122,1,6
1469827321,2,1
1469827922,1,1
1469828521,2,0
1469829121,3,10
1469830322,13,19
1469831522,18,0
1469832721,0,1
1469833321,0,5
1469833922,4,1
1469834521,1,0
1469835121,0,4
1469835721,1,2
1469836322,1,1
1469836921,6,9
1469837524,0,7
1469838252,1,1
1469838721,3,0
1469838781,5,9
1469839322,28,6
1469840522,5,7
1469841122,4,2
1469841722,0,6
1469842921,0,1
1469843521,1,0
1469844121,2,0
1469845321,2,2
1469845922,1,0
1469846522,0,3
1469847121,1,1
1469847722,3,12
1469848922,1,1
1469849522,0,11
1469850122,1,0
1469850722,5,3
1469851322,27,0
1469851922,3,4
1469852522,0,2
1469853122,4,2
1469853721,2,0
1469854321,5,3
1469854921,2,0
1469855522,4,0
1469856121,3,0
1469856721,2,2
1469857322,2,3
1469857922,1,0
1469858521,2,5
1469859122,7,39
1469859722,2,1
1469860321,3,0
1469860381,0,1
1469860922,3,0
1469861522,2,1
1469862121,2,13
1469862721,3,4
1469863921,0,3
1469864521,12,2
1469865121,0,2
1469865722,1,0
1469866921,2,13
1469868121,0,1
1469869321,5,3
1469871121,7,1
1469871721,4,1
1469872322,4,18
1469872922,1,0
1469873521,6,15
1469874121,0,1
1469874722,1,0
1469875322,1,0
1469876521,4,9
1469877122,1,0
1469877722,0,4
1469878322,0,2
1469878381,1,0
1469878921,5,0
1469879522,2,4
1469880122,6,3
1469880722,6,7
1469881322,1,2
1469882522,2,3
1469883722,3,4
1469884321,14,14
1469884922,4,0
1469885522,1,3
1469885581,16,15
1469886122,6,0
1469886721,1,0
1469887322,0,7
1469887921,1,0
1469888521,2,7
1469889122,0,2
1469889181,3,16
1469889721,1,0
1469890322,1,5
1469890921,5,6
1469891522,6,0
1469892721,1,2
1469893321,5,5
1469893921,2,2
1469894521,0,4
1469895122,28,16
1469895722,1,7
1469896322,3,0
1469896382,0,1
1469896921,4,3
1469898123,0,11
1469899322,3,2
1469899981,1,0
1469900522,43,3
1469901721,15,8
1469902322,6,8
1469902922,1,2
1469903522,1,0
1469904122,3,5
1469904721,2,0
1469905921,13,22
1469906521,7,5
1469907181,1,10
1469907722,0,1
1469908922,2,10
1469909521,0,1
1469910122,0,3
1469910722,0,1
1469911445,3,0
1469911921,3,4
1469912521,13,3
1469913722,0,1
1469914321,3,6
1469914921,3,0
1469915522,2,6
1469916121,3,2
1469916722,12,8
1469917321,5,2
1469917921,1,6
1469917982,0,20
