DateTime,Entries,UniqueIPs
1468337735,3852,3852
1468341334,4069,4069
1468344934,4298,4298
1468348534,4397,4397
1468352134,4478,4478
1468355734,4608,4608
1468359334,4703,4703
1468362935,4801,4801
1468366535,4873,4873
1468370135,4948,4948
1468373735,5032,5032
1468377335,5152,5152
1468380935,5271,5271
1468384536,5377,5377
1468388136,5514,5514
1468391736,5597,5597
1468395336,5599,5599
1468398936,5608,5608
1468402536,5616,5616
1468406137,5632,5632
1468409737,5788,5788
1468413336,5897,5897
1468416936,6007,6007
1468420536,6117,6117
1468424136,6289,6289
1468427736,6453,6453
1468431336,6534,6534
1468434937,6562,6562
1468438537,6615,6615
1468442137,6667,6667
1468445738,6722,6722
1468449337,6788,6788
1468452937,6839,6839
1468456537,6914,6914
1468460137,6993,6993
1468463737,7075,7075
1468467337,7170,7170
1468470938,7281,7281
1468474538,7421,7421
1468478138,7542,7542
1468481738,7551,7551
1468485338,7542,7542
1468488938,7645,7645
1468492538,7804,7804
1468496139,8007,8007
1468499739,8140,8140
1468503339,8175,8175
1468506939,8070,8070
1468510539,7957,7957
1468514139,7908,7908
1468517739,7756,7756
1468521340,7688,7688
1468524940,7667,7667
1468528540,7662,7662
1468532141,7653,7653
1468535741,7677,7677
1468539340,7707,7707
1468542940,7715,7715
1468546541,7709,7709
1468550141,7698,7698
1468553740,7689,7689
1468557340,7624,7624
1468560941,7495,7495
1468564541,7406,7406
1468568141,7411,7411
1468571741,7351,7351
1468575341,7403,7403
1468578942,7746,7746
1468582542,8449,8449
1468586142,8658,8658
1468589742,8647,8647
1468593342,8653,8653
1468596942,8608,8608
1468600542,8606,8606
1468604142,8659,8659
1468607742,8669,8669
1468611342,8698,8698
1468614942,8713,8713
1468618543,8727,8727
1468622143,8698,8698
1468625743,8677,8677
1468629344,8664,8664
1468632943,8649,8649
1468636544,8618,8618
1468640143,8623,8623
1468643743,8628,8628
1468647343,8583,8583
1468650944,8564,8564
1468654544,8535,8535
1468658144,8477,8477
1468661745,8348,8348
1468665344,8170,8170
1468668944,7944,7944
1468672544,7737,7737
1468676145,7557,7557
1468679745,7401,7401
1468683345,7250,7250
1468686944,7081,7081
1468690545,7000,7000
1468694145,6958,6958
1468697745,6914,6914
1468701345,6790,6790
1468704945,6709,6709
1468708545,6594,6594
1468712145,6480,6480
1468715746,6373,6373
1468719345,6261,6261
1468722945,6120,6120
1468726545,5973,5973
1468730145,5884,5884
1468733746,5842,5842
1468737347,5781,5781
1468740947,5713,5713
1468744548,5678,5678
1468748148,5552,5552
1468751748,5265,5265
1468755348,4313,4313
1468758948,3867,3867
1468762548,3709,3709
1468766149,3494,3494
