DateTime,Entries,UniqueIPs
1469558710,38001,38001
1469559610,37983,37983
1469560510,37981,37981
1469561409,37981,37981
1469562309,37942,37942
1469563205,37911,37911
1469564108,37912,37912
1469565009,37903,37903
1469565909,37857,37857
1469566810,38101,38101
1469567706,38146,38146
1469568609,38127,38127
1469569509,38106,38106
1469570404,38057,38057
1469571307,38065,38065
1469572209,38163,38163
1469573110,38209,38209
1469574008,38217,38217
1469574908,38140,38140
1469575809,38245,38245
1469576708,38311,38311
1469577608,38369,38369
1469578508,38363,38363
1469579409,38458,38458
1469580308,38662,38662
1469581209,38620,38620
1469582109,38588,38588
1469583009,38606,38606
1469583908,38694,38694
1469584807,38798,38798
1469585707,38816,38816
1469586608,38987,38987
1469587507,39069,39069
1469588407,39071,39071
1469589308,39151,39151
1469590208,39159,39159
1469591108,39214,39214
1469592007,39248,39248
1469592905,39327,39327
1469593804,39412,39412
1469594708,39533,39533
1469595608,39607,39607
1469596506,39658,39658
1469597408,39694,39694
1469598308,39708,39708
1469599208,39685,39685
1469600109,39675,39675
1469601007,39683,39683
1469601909,39655,39655
1469602808,39604,39604
1469603709,39552,39552
1469604610,39536,39536
1469605509,39461,39461
1469606409,39384,39384
1469607309,39292,39292
1469608209,39221,39221
1469609107,39161,39161
1469610009,39112,39112
1469610908,39053,39053
1469611808,38991,38991
1469612708,38932,38932
1469613608,38881,38881
1469614508,38967,38967
1469615408,38972,38972
1469616309,38941,38941
1469617209,39185,39185
1469618110,39457,39457
1469619009,39544,39544
1469619909,39511,39511
1469620809,39559,39559
1469621711,39614,39614
1469622611,39601,39601
1469623510,39658,39658
1469624411,39649,39649
1469625311,39617,39617
1469626211,39624,39624
1469627112,39620,39620
1469628010,39587,39587
1469628911,39598,39598
1469629811,39615,39615
1469630711,39620,39620
1469631613,39584,39584
1469632510,39620,39620
1469633413,39630,39630
1469634313,39618,39618
1469635211,39576,39576
1469636111,39538,39538
1469637012,39493,39493
1469637912,39441,39441
1469638810,39397,39397
1469639711,39357,39357
1469640611,39293,39293
1469641507,39236,39236
1469642410,39168,39168
1469643310,39109,39109
1469644210,39071,39071
1469645109,39028,39028
1469646010,38937,38937
1469646910,38852,38852
1469647809,38800,38800
1469648707,38761,38761
1469649606,38854,38854
1469650507,38893,38893
1469651410,38924,38924
1469652311,38901,38901
1469653210,38887,38887
1469654108,38880,38880
1469655010,38879,38879
1469655910,38901,38901
1469656810,38859,38859
1469657709,38710,38710
1469658609,38757,38757
1469659510,38855,38855
1469660409,38844,38844
1469661308,38842,38842
1469662209,38788,38788
1469663109,38767,38767
1469664009,38707,38707
1469664908,38653,38653
1469665807,38658,38658
1469666708,38649,38649
1469667609,38646,38646
1469668509,38694,38694
1469669408,38709,38709
1469670307,38695,38695
1469671208,38880,38880
1469672108,38862,38862
1469673008,38990,38990
1469673908,39001,39001
1469674808,39112,39112
1469675708,39114,39114
1469676609,39213,39213
1469677507,39264,39264
1469678408,39352,39352
1469679307,39389,39389
1469680208,39440,39440
1469681107,39479,39479
1469682007,39520,39520
1469682908,39524,39524
1469683809,39566,39566
1469684709,39642,39642
1469685608,39606,39606
1469686505,39558,39558
1469687409,39518,39518
1469688308,39469,39469
1469689204,39424,39424
1469690106,39348,39348
1469691008,39302,39302
1469691909,39253,39253
1469692808,39212,39212
1469693708,39107,39107
1469694608,39013,39013
1469695507,38983,38983
1469696408,38950,38950
1469697308,38917,38917
1469698208,38930,38930
1469699108,38973,38973
1469700009,39275,39275
1469700909,39580,39580
1469701809,39741,39741
1469702707,39733,39733
1469703609,39778,39778
1469704509,39741,39741
1469705409,39748,39748
1469706308,39733,39733
1469707209,39701,39701
1469708110,39667,39667
1469709008,39625,39625
1469709909,39608,39608
1469710808,39575,39575
1469711709,39563,39563
