DateTime,AddedIPs,RemovedIPs
1458464711,1,5
1458507911,1,0
1458536710,1,0
1458551112,0,3
1458565512,3,0
1458579916,5,0
1458594313,15,0
1458608712,2,0
1458623112,1,0
1458637512,2,21
1458651910,3,0
1458666314,27,0
1458680714,15,0
1458695110,6,0
1458709510,2,0
1458723913,1,23
1458738313,20,0
1458752714,2,0
1458767113,12,0
1458781511,1,0
1458810311,5,19
1458824711,6,0
1458839112,32,0
1458853511,1,0
1458867915,1,0
1458896711,1,57
1458911112,8,0
1458925508,1,0
1458939909,1,0
1458954309,2,0
1458983111,0,33
1458997511,4,0
1459069512,0,2
1459155911,1,0
1459170311,3,0
1459184710,4,0
1459199110,7,0
1459213514,2,0
1459227907,0,31
1459242311,5,0
1459256710,2,0
1459271111,9,0
1459285510,1,0
1459314311,0,18
1459328711,1,0
1459343111,8,0
1459357511,7,0
1459371910,4,0
1459386311,19,0
1459400710,0,33
1459415111,3,0
1459429512,4,0
1459443912,8,0
1459458310,2,0
1459472711,4,0
1459487111,0,19
1459515912,4,0
1459530311,1,0
1459544711,1,0
1459573510,0,25
1459602310,3,0
1459659913,0,3
1459746314,0,7
1459760711,3,0
1459775110,1,0
1459789512,4,0
1459803911,8,0
1459818310,2,0
1459832711,1,28
1459847110,4,0
1459861510,14,0
1459875910,7,0
1459890310,8,0
1459919114,1,53
1459947911,15,0
1459962311,5,0
1459976711,8,0
1459991110,2,0
1460005521,0,24
1460034312,14,0
1460048711,6,0
1460063117,4,0
1460077516,1,0
1460091911,0,30
1460106312,2,0
1460120713,3,0
1460135109,16,0
1460149510,3,0
1460163909,1,0
1460178311,0,10
1460207110,1,0
1460235910,2,0
1460264711,0,4
1460279111,1,0
1460307911,1,0
1460351111,0,1
1460365510,3,0
1460379912,4,0
1460394311,4,0
1460408712,8,0
1460437511,0,33
1460451910,3,0
1460466312,10,0
1460480711,3,0
1460495112,2,0
1460509510,2,0
1460523911,0,22
1460538310,1,0
1460552711,9,0
1460567110,4,0
1460581510,3,0
1460595911,1,0
1460610311,8,25
1460624711,2,0
1460639111,1,0
1460653511,19,0
1460667909,4,0
1460682310,1,0
1460696710,7,16
1460711111,1,0
1460739910,5,0
1460783112,0,10
1460869513,0,3
1460970310,1,0
1460984712,1,0
1460999110,3,0
1461013510,6,0
1461042319,0,27
1461071111,1,0
1461085510,4,0
1461099910,18,0
1461114309,1,0
1461128710,0,31
1461143111,2,0
1461175513,10,0
1461189912,6,0
