DateTime,AddedIPs,RemovedIPs
1466494282,96,51
1466502087,76,188
1466509276,26,0
1466518874,101,118
1466527873,146,95
1466536272,82,41
1466542876,96,0
1466551274,25,127
1466559681,76,55
1466568083,86,137
1466574683,138,85
1466582485,63,121
1466592080,90,51
1466601679,43,100
1466609476,49,189
1466616077,48,77
1466628076,170,115
1466635277,119,0
1466642480,69,76
1466650879,37,64
1466658682,79,195
1466668275,127,0
1466676681,126,109
1466685078,101,60
1466692880,50,92
1466703080,64,227
1466710880,56,0
1466722273,159,125
1466731879,186,59
1466740280,36,80
1466748677,71,182
1466758880,91,82
1466767281,141,90
1466773883,75,48
1466782879,84,113
1466788879,30,0
1466797274,62,50
1466803279,50,160
1466810475,223,97
1466817678,109,0
1466825477,84,44
1466832080,59,80
1466839879,46,95
1466849487,86,118
1466857280,139,57
1466865678,103,99
1466874678,121,122
1466883677,34,0
1466891476,38,162
1466898676,139,91
1466907673,159,88
1466915482,51,56
1466923279,104,51
1466932879,52,105
1466940680,64,132
1466948473,49,75
1466958076,153,113
1466965277,121,44
1466972479,64,107
1466981476,31,55
1466989275,170,165
1467000075,150,40
1467008476,99,100
1467017483,139,49
1467027083,36,81
1467036078,72,227
1467043879,72,104
1467052876,149,50
1467060078,89,49
1467066073,60,0
1467073275,28,91
1467085276,162,262
1467091276,30,0
1467099084,143,135
1467105081,53,73
1467114683,118,135
1467122480,20,83
1467129677,63,0
1467136284,73,153
1467142875,136,111
1467150079,81,49
1467157872,178,168
1467164475,54,0
1467172278,44,37
1467179474,53,135
1467186674,82,0
1467193283,114,185
1467199279,42,0
1467206484,100,35
1467213681,29,127
1467220878,40,70
1467227478,70,127
1467234086,59,68
1467239479,144,112
1467245482,75,0
1467250877,71,88
1467256878,65,0
1467263478,22,70
1467271283,73,208
1467277882,52,0
1467285679,104,154
1467291679,68,48
1467297677,111,0
1467303084,72,75
1467311484,34,84
1467318078,38,61
1467324676,53,103
1467331882,101,55
1467337281,95,115
1467345085,42,28
1467351684,84,120
1467359483,36,51
1467366191,40,126
1467381080,212,137
1467387709,74,34
1467396110,121,42
1467402722,45,55
1467409337,35,87
1467414698,27,101
1467422548,201,102
1467430961,140,0
1467442297,86,115
1467450731,111,260
1467458529,49,0
1467465722,59,0
1467472902,74,51
1467480730,127,107
1467486704,50,40
1467494526,78,85
1467501736,63,0
1467511320,92,195
1467517934,37,0
1467524531,86,97
1467532910,105,114
1467539538,82,0
1467546708,59,50
1467553939,42,163
1467561092,63,118
1467568920,125,61
1467576117,135,90
1467585747,225,56
1467594113,99,80
1467601909,26,182
1467609101,68,0
1467615708,45,89
1467622933,93,77
1467630106,100,56
1467637312,90,61
1467645113,63,131
1467653519,45,0
1467661315,68,140
1467668527,80,91
1467675733,134,88
1467685977,114,42
1467693117,76,121
1467702127,64,218
1467715340,107,167
1467723707,165,74
1467731539,81,0
1467738696,96,72
1467750114,58,162
1467757930,61,96
1467763943,48,105
1467772315,134,43
1467778339,45,0
1467785544,115,107
1467793340,38,127
1467800541,71,0
1467808348,194,129
1467816137,142,101
1467823373,70,76
1467832308,133,106
1467838923,65,86
1467845555,40,0
1467853315,57,162
1467862340,135,38
1467868947,76,91
1467876118,86,34
1467883944,60,153
1467892928,36,0
1467900127,104,151
1467908543,65,209
1467917570,211,0
1467925932,89,157
1467934300,67,84
1467940932,38,0
