DateTime,Entries,UniqueIPs
1466494282,4920,5083
1466502087,4918,5081
1466509276,4893,5056
1466518874,4899,5062
1466527873,4918,5081
1466536272,4923,5087
1466542876,4939,5104
1466551274,4926,5093
1466559681,4934,5102
1466568083,4957,5127
1466574683,4980,5152
1466582485,4970,5140
1466592080,4974,5144
1466601679,4956,5126
1466609476,4915,5084
1466616077,4941,5110
1466628076,4940,5108
1466635277,4995,5163
1466642480,4975,5144
1466650879,4970,5139
1466658682,4971,5140
1466668275,4949,5117
1466676681,4967,5133
1466685078,4957,5120
1466692880,4950,5113
1466703080,4942,5103
1466710880,4945,5107
1466722273,4959,5120
1466731879,5031,5195
1466740280,5012,5177
1466748677,4972,5137
1466758880,4972,5138
1466767281,4984,5151
1466773883,4989,5155
1466782879,4985,5151
1466788879,4974,5139
1466797274,4947,5112
1466803279,4951,5117
1466810475,5052,5219
1466817678,5082,5253
1466825477,5084,5255
1466832080,5099,5270
1466839879,5067,5238
1466849487,5073,5245
1466857280,5077,5249
1466865678,5091,5264
1466874678,5120,5295
1466883677,5112,5287
1466891476,5088,5261
1466898676,5169,5340
1466907673,5194,5363
1466915482,5194,5363
1466923279,5207,5378
1466932879,5167,5336
1466940680,5163,5332
1466948473,5182,5352
1466958076,5195,5365
1466965277,5239,5409
1466972479,5246,5416
1466981476,5214,5383
1466989275,5293,5461
1467000075,5301,5471
1467008476,5276,5446
1467017483,5229,5400
1467027083,5232,5405
1467036078,5221,5394
1467043879,5226,5398
1467052876,5255,5428
1467060078,5270,5444
1467066073,5250,5423
1467073275,5255,5428
1467085276,5281,5454
1467091276,5266,5439
1467099084,5287,5463
1467105081,5248,5405
1467114683,5236,5390
1467122480,5195,5344
1467129677,5206,5356
1467136284,5223,5375
1467142875,5241,5394
1467150079,5229,5381
1467157872,5303,5455
1467164475,5322,5474
1467172278,5279,5429
1467179474,5286,5436
1467186674,5301,5453
1467193283,5284,5436
1467199279,5269,5422
1467206484,5291,5444
1467213681,5266,5417
1467220878,5245,5396
1467227478,5223,5373
1467234086,5238,5388
1467239479,5242,5395
1467245482,5229,5382
1467250877,5234,5387
1467256878,5248,5406
1467263478,5228,5386
1467271283,5183,5340
1467277882,5161,5318
1467285679,5159,5316
1467291679,5154,5308
1467297677,5164,5319
1467303084,5163,5318
1467311484,5151,5306
1467318078,5163,5318
1467324676,5148,5303
1467331882,5163,5319
1467337281,5164,5320
1467345085,5141,5296
1467351684,5152,5309
1467359483,5124,5282
1467366191,5107,5264
1467381080,5091,5249
1467387709,5110,5268
1467396110,5126,5285
1467402722,5137,5296
1467409337,5108,5266
1467414698,5090,5247
1467422548,5228,5388
1467430961,5229,5389
1467442297,5217,5377
1467450731,5222,5381
1467458529,5199,5359
1467465722,5185,5345
1467472902,5213,5374
1467480730,5219,5378
1467486704,5225,5384
1467494526,5211,5370
1467501736,5214,5377
1467511320,5242,5405
1467517934,5240,5403
1467524531,5221,5383
1467532910,5230,5392
1467539538,5223,5385
1467546708,5237,5399
1467553939,5234,5398
1467561092,5203,5366
1467568920,5255,5417
1467576117,5280,5444
1467585747,5436,5608
1467594113,5438,5613
1467601909,5400,5574
1467609101,5382,5553
1467615708,5357,5528
1467622933,5363,5538
1467630106,5346,5521
1467637312,5313,5487
1467645113,5304,5479
1467653519,5290,5464
1467661315,5290,5467
1467668527,5276,5455
1467675733,5282,5462
1467685977,5268,5447
1467693117,5274,5453
1467702127,5250,5430
1467715340,5232,5408
1467723707,5295,5475
1467731539,5233,5408
1467738696,5279,5455
1467750114,5249,5422
1467757930,5235,5408
1467763943,5247,5420
1467772315,5237,5411
1467778339,5242,5417
1467785544,5202,5376
1467793340,5187,5360
1467800541,5177,5353
1467808348,5302,5479
1467816137,5286,5465
1467823373,5302,5483
1467832308,5316,5498
1467838923,5318,5500
1467845555,5334,5519
1467853315,5318,5507
1467862340,5324,5511
1467868947,5302,5489
1467876118,5313,5504
1467883944,5294,5479
1467892928,5293,5479
1467900127,5309,5497
1467908543,5309,5497
1467917570,5380,5568
1467925932,5370,5556
1467934300,5363,5551
1467940932,5380,5568
1467948101,5382,5570
1467955319,5393,5581
1467962521,5416,5603
1467969713,5415,5603
1467977507,5416,5603
1467989525,5447,5636
