DateTime,Entries,UniqueIPs
1466461276,1449,1449
1466469075,1450,1450
1466475682,1510,1510
1466486487,1546,1546
1466494282,1565,1565
1466502087,1492,1492
1466509276,1473,1473
1466518874,1482,1482
1466527873,1403,1403
1466536272,1384,1384
1466542876,1371,1371
1466551274,1351,1351
1466559681,1374,1374
1466568083,1429,1429
1466574683,1428,1428
1466582485,1438,1438
1466592080,1418,1418
1466601679,1397,1397
1466609476,1354,1354
1466616077,1342,1342
1466628076,1347,1347
1466635277,1401,1401
1466642480,1418,1418
1466650879,1398,1398
1466658682,1404,1404
1466668275,1357,1357
1466676681,1375,1375
1466685078,1384,1384
1466692880,1384,1384
1466703080,1342,1342
1466710880,1337,1337
1466722273,1328,1328
1466731879,1446,1446
1466740280,1434,1434
1466748677,1433,1433
1466758880,1435,1435
1466767281,1456,1456
1466773883,1479,1479
1466782879,1406,1406
1466788879,1399,1399
1466797274,1332,1332
1466803279,1333,1333
1466810475,1444,1444
1466817678,1464,1464
1466825477,1506,1506
1466832080,1507,1507
1466839879,1497,1497
1466849487,1485,1485
1466857280,1519,1519
1466865678,1545,1545
1466874678,1533,1533
1466883677,1489,1489
1466891476,1403,1403
1466898676,1491,1491
1466907673,1499,1499
1466915482,1536,1536
1466923279,1548,1548
1466932879,1551,1551
1466940680,1512,1512
1466948473,1481,1481
1466958076,1435,1435
1466965277,1457,1457
1466972479,1453,1453
1466981476,1463,1463
1466989275,1547,1547
1467000075,1549,1549
1467008476,1570,1570
1467017483,1586,1586
1467027083,1558,1558
1467036078,1488,1488
1467043879,1460,1460
1467052876,1449,1449
1467060078,1409,1409
1467066073,1412,1412
1467073275,1421,1421
1467085276,1475,1475
1467091276,1475,1475
1467099084,1495,1495
1467105081,1469,1469
1467114683,1487,1487
1467122480,1477,1477
1467129677,1379,1379
1467136284,1366,1366
1467142875,1373,1373
1467150079,1378,1378
1467157872,1427,1427
1467164475,1442,1442
1467172278,1450,1450
1467179474,1432,1432
1467186674,1432,1432
1467193283,1422,1422
1467199279,1398,1398
1467206484,1420,1420
1467213681,1412,1412
1467220878,1361,1361
1467227478,1339,1339
1467234086,1325,1325
1467239479,1403,1403
1467245482,1423,1423
1467250877,1455,1455
1467256878,1445,1445
1467263478,1429,1429
1467271283,1369,1369
1467277882,1366,1366
1467285679,1339,1339
1467291679,1356,1356
1467297677,1385,1385
1467303084,1418,1418
1467311484,1408,1408
1467318078,1393,1393
1467324676,1351,1351
1467331882,1400,1400
1467337281,1456,1456
1467345085,1456,1456
1467351684,1462,1462
1467359483,1448,1448
1467366191,1421,1421
1467381080,1433,1433
1467387709,1459,1459
1467396110,1458,1458
1467402722,1418,1418
1467409337,1443,1443
1467414698,1428,1428
1467422548,1554,1554
1467430961,1624,1624
1467442297,1624,1624
1467450731,1602,1602
1467458529,1585,1585
1467465722,1572,1572
1467472902,1563,1563
1467480730,1550,1550
1467486704,1525,1525
1467494526,1505,1505
1467501736,1511,1511
1467511320,1540,1540
1467517934,1516,1516
1467524531,1528,1528
1467532910,1517,1517
1467539538,1525,1525
1467546708,1527,1527
1467553939,1520,1520
1467561092,1497,1497
1467568920,1579,1579
1467576117,1558,1558
1467585747,1702,1702
1467594113,1709,1709
1467601909,1692,1692
1467609101,1618,1618
1467615708,1570,1570
1467622933,1536,1536
1467630106,1531,1531
1467637312,1545,1545
1467645113,1496,1496
1467653519,1466,1466
1467661315,1454,1454
1467668527,1492,1492
1467675733,1560,1560
1467685977,1619,1619
1467693117,1645,1645
1467702127,1570,1570
1467715340,1548,1548
1467723707,1587,1587
1467731539,1582,1582
1467738696,1567,1567
1467750114,1506,1506
1467757930,1477,1477
1467763943,1494,1494
1467772315,1499,1499
1467778339,1514,1514
1467785544,1580,1580
1467793340,1587,1587
1467800541,1605,1605
1467808348,1700,1700
1467816137,1663,1663
1467823373,1624,1624
1467832308,1599,1599
1467838923,1552,1552
1467845555,1516,1516
1467853315,1488,1488
1467862340,1509,1509
1467868947,1519,1519
1467876118,1530,1530
1467883944,1517,1517
1467892928,1491,1491
1467900127,1514,1514
1467908543,1514,1514
1467917570,1535,1535
1467925932,1514,1514
1467934300,1512,1512
1467940932,1500,1500
1467948101,1508,1508
1467955319,1491,1491
1467962521,1486,1486
1467969713,1487,1487
1467977507,1471,1471
1467989525,1488,1488
1467998514,1452,1452
1468006951,1417,1417
1468014733,1417,1417
1468021922,1422,1422
1468031539,1444,1444
1468039301,1482,1482
1468045932,1488,1488
1468054908,1467,1467
1468062690,1473,1473
1468074721,1430,1430
1468082540,1398,1398
1468092720,1456,1456
1468099885,1463,1463
1468105928,1499,1499
1468114302,1487,1487
1468122116,1478,1478
1468131120,1458,1458
1468139513,1457,1457
1468147309,1487,1487
1468153899,1634,1634
1468161723,1686,1686
1468170728,1670,1670
1468179767,1604,1604
1468189300,1584,1584
1468196511,1583,1583
1468204334,1577,1577
1468211550,1556,1556
1468218107,1607,1607
1468226559,1663,1663
1468236724,1679,1679
1468246944,1665,1665
1468255959,1819,1819
1468263135,1879,1879
1468272144,1985,1985
1468281730,1986,1986
1468290146,1896,1896
1468299736,1860,1860
1468308709,1813,1813
1468317515,1735,1735
1468325900,1714,1714
1468335725,1723,1723
1468345935,1772,1772
1468358540,1724,1724
1468367551,1759,1759
1468378330,1738,1738
1468387349,1763,1763
1468396941,1739,1739
1468407728,1719,1719
1468416145,1674,1674
1468426370,1727,1727
1468433533,1767,1767
1468442528,1705,1705
1468452129,1672,1672
1468460533,1627,1627
1468469537,1601,1601
1468479734,1631,1631
1468490520,1638,1638
1468497716,1641,1641
1468505546,1599,1599
1468512747,1585,1585
1468522920,1631,1631
1468531333,1676,1676
1468539724,1702,1702
1468546951,1708,1708
1468556536,1668,1668
1468566708,1647,1647
1468575738,1522,1522
1468582948,1580,1580
1468591322,1681,1681
1468599124,1695,1695
1468606314,1855,1855
1468614760,1791,1791
1468623721,1931,1931
1468636374,1836,1836
1468645951,1814,1814
1468656712,1718,1718
1468665751,1684,1684
1468679503,1569,1569
1468688515,1550,1550
1468695717,1520,1520
1468704124,1487,1487
1468711320,1461,1461
1468718533,1482,1482
1468725742,1471,1471
1468733512,1474,1474
1468740132,1535,1535
1468747314,1509,1509
1468755725,1508,1508
1468764732,1525,1525
1468771913,1491,1491
1468780901,1551,1551
1468788109,1483,1483
1468794736,1456,1456
1468800705,1464,1464
1468807934,1441,1441
1468815133,1452,1452
1468820522,1443,1443
1468828335,1462,1462
1468836120,1454,1454
1468843321,1426,1426
1468850504,1386,1386
1468857721,1357,1357
1468864936,1400,1400
1468872109,1357,1357
1468878130,1360,1360
1468885315,1389,1389
1468891940,1359,1359
1468897927,1353,1353
1468903351,1328,1328
1468910498,1318,1318
1468918905,1325,1325
1468924297,1338,1338
1468930299,1340,1340
1468939937,1327,1327
1468947111,1299,1299
1468954325,1276,1276
1468960911,1319,1319
1468968106,1345,1345
1468975916,1380,1380
1468984338,1418,1418
1468990305,1399,1399
1468997539,1400,1400
