DateTime,AddedIPs,RemovedIPs
1464776475,132,99
1464784271,87,35
1464798673,218,223
1464812475,126,153
1464819675,52,66
1464827476,62,102
1464841271,125,109
1464855072,149,132
1464862871,34,137
1464876665,98,204
1464884470,78,102
1464898871,254,0
1464906070,86,93
1464913872,78,260
1464928268,110,114
1464941470,113,61
1464954668,153,122
1464969065,131,85
1464977467,45,158
1464991897,213,101
1464999676,107,64
1465014066,177,169
1465027869,100,119
1465035669,95,136
1465050072,109,111
1465057870,184,66
1465066263,230,133
1465074072,54,148
1465088471,105,0
1465101664,65,249
1465116066,169,86
1465123867,77,114
1465137660,59,168
1465145465,125,179
1465159863,142,54
1465174264,264,192
1465188660,53,122
1465202465,126,249
1465210266,61,0
1465224664,194,58
1465231865,60,328
1465246264,111,0
1465260661,72,146
1465275056,137,265
1465287064,131,126
1465301466,120,0
1465308668,47,318
1465316466,39,0
1465330267,155,115
1465342866,107,140
1465350067,99,173
1465363866,96,95
1465374671,189,145
1465388469,200,55
1465396268,48,65
1465410072,104,149
1465422068,99,122
1465432271,156,65
1465446667,146,112
1465460463,75,116
1465474865,117,144
1465488060,123,218
1465498867,189,94
1465512663,28,140
1465527061,188,135
1465536669,103,122
1465543267,101,174
1465551673,101,0
1465560068,52,150
1465566668,23,0
1465576858,81,95
1465591260,120,62
1465603865,170,189
1465608663,62,77
1465619466,32,0
1465632669,76,51
1465645271,100,185
1465651868,41,41
1465661464,97,126
1465674062,88,161
1465684866,121,142
1465693866,65,42
1465707661,127,45
1465718465,103,280
1465729265,47,0
1465740065,97,58
1465750865,45,178
1465764066,163,89
1465776664,116,64
1465788665,116,149
1465801266,91,87
1465814461,120,42
1465827064,107,122
1465836663,55,244
1465848663,147,0
1465860665,218,93
1465874470,199,106
1465881668,57,90
1465889473,39,126
1465903867,120,100
1465917660,133,39
1465931459,138,96
1465958461,184,286
1465969258,104,39
1465979468,100,216
1465992669,70,207
1466007066,174,149
1466019062,117,206
1466029262,72,0
1466040660,127,0
1466051466,73,125
1466062867,145,87
1466075466,92,93
1466088664,92,196
1466102466,186,109
1466116266,213,74
1466130067,82,162
1466139062,77,90
1466152866,170,113
1466167265,127,137
1466175667,58,172
1466189465,118,148
1466203261,148,92
1466217662,171,103
1466225465,32,188
1466239262,117,0
