DateTime,Entries,UniqueIPs
1464784271,4647,4847
1464798673,4689,4894
1464812475,4730,4934
1464819675,4715,4919
1464827476,4664,4866
1464841271,4686,4888
1464855072,4694,4890
1464862871,4678,4874
1464876665,4647,4841
1464884470,4648,4841
1464898871,4773,4976
1464906070,4725,4927
1464913872,4750,4953
1464928268,4754,4955
1464941470,4777,4978
1464954668,4783,4984
1464969065,4784,4985
1464977467,4784,4983
1464991897,4851,5050
1464999676,4827,5024
1465014066,4845,5043
1465027869,4851,5051
1465035669,4845,5045
1465050072,4861,5062
1465057870,4908,5108
1465066263,5032,5233
1465074072,5038,5239
1465088471,5042,5243
1465101664,5022,5223
1465116066,5028,5231
1465123867,5011,5216
1465137660,4999,5205
1465145465,5041,5245
1465159863,5026,5227
1465174264,5122,5323
1465188660,5088,5289
1465202465,5102,5301
1465210266,5048,5240
1465224664,5084,5279
1465231865,5055,5249
1465246264,5085,5281
1465260661,5062,5255
1465275056,5037,5230
1465287064,5034,5231
1465301466,5042,5240
1465308668,5039,5237
1465316466,4976,5173
1465330267,4977,5174
1465342866,4978,5175
1465350067,5006,5203
1465363866,4990,5183
1465374671,4970,5157
1465388469,4971,5160
1465396268,4939,5128
1465410072,4924,5114
1465422068,4920,5108
1465432271,4953,5142
1465446667,4887,5074
1465460463,4887,5074
1465474865,4872,5054
1465488060,4876,5058
1465498867,4881,5064
1465512663,4862,5045
1465527061,4857,5036
1465536669,4829,5005
1465543267,4803,4973
1465551673,4820,4990
1465560068,4795,4965
1465566668,4763,4931
1465576858,4781,4949
1465591260,4759,4928
1465603865,4813,4982
1465608663,4759,4930
1465619466,4738,4909
1465632669,4728,4898
1465645271,4707,4876
1465651868,4686,4856
1465661464,4713,4883
1465674062,4714,4884
1465684866,4648,4817
1465693866,4649,4814
1465707661,4615,4775
1465718465,4619,4780
1465729265,4626,4787
1465740065,4574,4735
1465750865,4582,4743
1465764066,4517,4673
1465776664,4555,4712
1465788665,4560,4717
1465801266,4502,4660
1465814461,4507,4660
1465827064,4468,4611
1465836663,4450,4589
1465848663,4400,4537
1465860665,4503,4644
1465874470,4485,4624
1465881668,4478,4615
1465889473,4442,4577
1465903867,4465,4601
1465917660,4480,4616
1465931459,4457,4586
1465958461,4472,4600
1465969258,4427,4555
1465979468,4408,4534
1465992669,4409,4535
1466007066,4451,4577
1466019062,4396,4523
1466029262,4391,4517
1466040660,4411,4539
1466051466,4391,4522
1466062867,4417,4548
1466075466,4387,4517
1466088664,4375,4507
1466102466,4394,4526
1466116266,4477,4610
1466130067,4453,4587
1466139062,4454,4589
1466152866,4486,4620
1466167265,4482,4615
1466175667,4447,4579
1466189465,4436,4567
1466203261,4429,4559
1466217662,4491,4621
1466225465,4448,4575
1466239262,4454,4580
1466250659,4468,4594
1466264465,4475,4598
1466270465,4452,4573
1466279462,4465,4588
1466292060,4524,4650
1466299262,4514,4641
1466307061,4510,4638
1466320865,4525,4653
1466328067,4534,4663
1466335864,4522,4651
1466343663,4512,4643
1466353863,4536,4668
1466368263,4521,4652
1466382067,4662,4812
1466388668,4627,4771
1466397066,4641,4785
1466406070,4629,4774
1466413271,4600,4745
1466437265,4630,4777
1466446267,4638,4787
1466454666,4602,4750
1466469065,4592,4738
1466475671,4633,4782
1466486474,4662,4811
1466494274,4597,4745
1466502076,4570,4718
1466509268,4578,4726
1466518866,4577,4724
1466527865,4628,4776
1466536263,4591,4740
