DateTime,AddedIPs,RemovedIPs
1467521763,49,62
1467525363,37,53
1467532563,192,0
1467536163,62,16
1467543365,123,50
1467546964,36,51
1467554164,58,41
1467557764,36,22
1467564964,24,48
1467568564,17,18
1467575764,47,54
1467579364,17,0
1467586563,48,103
1467590163,42,32
1467593764,17,0
1467597365,14,40
1467600964,19,0
1467604563,23,34
1467608164,17,0
1467611764,29,48
1467618964,57,143
1467622563,29,0
1467629764,83,138
1467633363,30,0
1467640564,52,101
1467644164,26,59
1467647763,26,0
1467651364,25,29
1467658564,71,56
1467662163,13,27
1467665764,16,0
1467669363,48,65
1467676564,57,36
1467680163,19,58
1467687367,39,58
1467690963,21,22
1467698163,57,30
1467701764,57,50
1467708964,78,32
1467712564,46,70
1467719763,66,21
1467723363,44,28
1467730563,61,29
1467734164,36,40
1467741363,33,71
1467744963,21,20
1467752164,22,73
1467755764,16,61
1467762964,41,40
1467766563,9,0
1467773763,28,73
1467777364,15,0
1467784564,39,38
1467788163,25,37
1467795364,60,63
1467798965,46,66
1467806164,67,96
1467809763,45,0
1467816963,51,98
1467820564,62,42
1467827763,44,0
1467831364,19,58
1467838564,30,0
1467842164,34,18
1467849363,54,69
1467852963,11,50
1467856564,13,0
1467860163,17,20
1467867363,30,40
1467870964,15,24
1467874563,7,0
1467878163,9,29
1467885364,51,47
1467888965,52,78
1467896164,34,54
1467899764,42,53
1467906964,39,39
1467910563,28,47
1467917764,47,24
1467921364,29,47
1467928563,37,35
1467932164,52,69
1467939363,37,20
1467942964,12,40
1467950164,42,18
1467953763,32,11
1467960964,56,23
1467964564,27,79
1467971764,72,28
1467975364,41,0
1467982564,46,73
1467986164,22,0
1467993364,46,53
1467996964,16,43
1468004163,40,0
1468007764,34,19
1468014964,27,80
1468018564,32,58
1468025763,25,23
1468029366,15,48
1468036564,37,0
1468040164,26,29
1468047363,35,46
1468050963,28,15
1468058164,40,42
1468061765,23,28
1468068965,50,47
1468072563,25,62
1468076165,31,0
1468079764,24,23
1468086963,50,43
1468090563,28,39
1468097763,40,44
1468101364,31,33
1468108563,57,40
1468112163,12,27
1468119364,22,44
1468122964,20,28
1468130164,27,31
1468133763,62,19
1468140964,99,37
1468144564,50,37
1468151764,60,43
1468155364,22,18
1468162563,49,16
1468166163,10,20
1468173364,19,55
1468176964,17,36
1468180564,30,0
1468184163,50,37
1468187764,32,0
1468191363,32,60
1468198564,24,20
1468202163,22,38
1468209364,43,19
1468212963,29,35
1468220163,60,59
1468223763,30,65
1468230964,67,38
1468234564,54,57
1468241764,52,16
1468245365,33,53
1468252564,60,6
1468256164,39,45
1468263364,83,26
1468266964,35,84
1468274164,50,48
1468277763,42,26
1468281363,36,0
1468284963,21,26
1468292164,58,38
1468295765,39,34
1468299364,25,0
1468302964,27,66
1468310164,62,41
1468313764,35,63
1468324563,99,84
1468328164,43,29
1468335364,129,51
1468338964,33,29
1468346164,105,80
1468349763,40,26
1468356963,38,63
1468360563,36,41
1468367763,87,51
1468371363,36,59
1468378563,64,25
1468382164,26,18
1468389364,47,28
1468392964,23,55
1468396564,36,38
1468400163,20,0
1468403764,34,73
1468410963,59,0
1468414563,70,32
1468421763,92,133
1468425363,45,0
1468432563,83,103
1468436164,26,28
1468443363,28,79
1468446964,31,0
1468454164,49,111
1468457763,27,56
1468464964,67,19
1468468563,51,0
1468475764,38,43
1468479363,22,50
1468486563,45,64
1468490164,62,50
1468497363,69,68
1468500964,25,0
1468508164,48,181
1468511764,35,0
1468518964,109,153
1468522563,42,46
1468529764,47,0
1468533363,45,83
1468540564,42,0
1468544164,32,76
1468551363,72,0
1468554964,35,53
1468562164,61,87
1468565765,26,0
1468572964,53,54
1468576563,41,50
1468583764,53,58
1468587364,21,85
1468594563,55,0
1468598164,31,188
1468605363,65,45
1468608964,30,58
1468612564,28,0
1468616163,24,35
1468623364,73,71
1468626964,36,35
1468634164,55,54
1468637763,29,22
1468644964,40,68
1468648564,25,32
1468655763,52,49
1468659364,27,41
1468666564,50,50
1468670164,26,30
1468677364,82,46
1468680964,31,26
1468688163,40,50
1468691763,13,30
1468698964,21,18
1468702563,13,155
1468709763,40,0
1468713363,22,86
1468720563,34,47
1468724164,37,0
1468731364,31,41
1468734963,13,92
1468742164,40,31
1468745768,24,0
1468752965,43,57
1468756564,25,136
1468763763,50,20
