DateTime,Entries,UniqueIPs
1467532563,6558,6637
1467536163,6594,6675
1467543365,6627,6708
1467546964,6645,6726
1467554164,6650,6730
1467557764,6653,6733
1467564964,6656,6737
1467568564,6646,6727
1467575764,6648,6729
1467579364,6642,6723
1467586563,6624,6704
1467590163,6629,6710
1467593764,6630,6711
1467597365,6602,6683
1467600964,6607,6688
1467604563,6602,6682
1467608164,6566,6646
1467611764,6571,6651
1467618964,6542,6621
1467622563,6550,6629
1467629764,6541,6620
1467633363,6520,6599
1467640564,6536,6615
1467644164,6520,6599
1467647763,6512,6590
1467651364,6514,6592
1467658564,6528,6608
1467662163,6526,6606
1467665764,6532,6612
1467669363,6536,6616
1467676564,6528,6608
1467680163,6525,6605
1467687367,6524,6604
1467690963,6523,6603
1467698163,6519,6599
1467701764,6522,6602
1467708964,6538,6619
1467712564,6521,6602
1467719763,6543,6625
1467723363,6551,6632
1467730563,6555,6636
1467734164,6566,6647
1467741363,6555,6635
1467744963,6549,6630
1467752164,6549,6630
1467755764,6534,6614
1467762964,6544,6624
1467766563,6537,6617
1467773763,6519,6599
1467777364,6505,6585
1467784564,6514,6594
1467788163,6500,6581
1467795364,6512,6593
1467798965,6503,6583
1467806164,6514,6594
1467809763,6532,6612
1467816963,6523,6604
1467820564,6541,6622
1467827763,6534,6615
1467831364,6533,6614
1467838564,6537,6619
1467842164,6550,6632
1467849363,6541,6625
1467852963,6539,6623
1467856564,6530,6614
1467860163,6521,6605
1467867363,6525,6609
1467870964,6521,6605
1467878163,6516,6600
1467885364,6510,6592
1467888965,6518,6600
1467896164,6526,6608
1467899764,6543,6625
1467906964,6554,6636
1467910563,6550,6632
1467917764,6553,6635
1467921364,6552,6634
1467928563,6553,6633
1467932164,6552,6632
1467939363,6549,6629
1467942964,6534,6614
1467950164,6538,6618
1467953763,6532,6612
1467960964,6541,6622
1467964564,6523,6604
1467971764,6533,6614
1467975364,6525,6606
1467982564,6518,6599
1467986164,6522,6603
1467993364,6532,6614
1467996964,6514,6596
1468004163,6520,6602
1468007764,6527,6609
1468014964,6526,6608
1468018564,6534,6616
1468025763,6525,6607
1468029366,6517,6599
1468036564,6513,6596
1468040164,6507,6590
1468047363,6507,6590
1468050963,6504,6586
1468058164,6502,6584
1468061765,6502,6584
1468068965,6505,6587
1468072563,6500,6582
1468076165,6508,6590
1468079764,6494,6576
1468086963,6513,6595
1468090563,6512,6594
1468097763,6511,6593
1468101364,6522,6604
1468108563,6524,6607
1468112163,6520,6602
1468119364,6515,6597
1468122964,6516,6598
1468130164,6511,6593
1468133763,6521,6603
1468140964,6570,6652
1468144564,6578,6660
1468151764,6588,6671
1468155364,6587,6670
1468162563,6591,6674
1468166163,6590,6673
1468173364,6592,6675
1468176964,6589,6672
1468180564,6599,6683
1468184163,6610,6693
1468187764,6637,6720
1468191363,6660,6743
1468198564,6663,6746
1468202163,6664,6747
1468209364,6663,6746
1468212963,6666,6749
1468220163,6678,6761
1468223763,6684,6767
1468230964,6683,6766
1468234564,6685,6769
1468241764,6691,6775
1468245365,6693,6777
1468252564,6706,6790
1468256164,6710,6794
1468263364,6722,6806
1468266964,6726,6810
1468274164,6729,6813
1468277763,6732,6817
1468281363,6741,6826
1468284963,6728,6813
1468292164,6727,6812
1468295765,6729,6812
1468299364,6723,6806
1468302964,6728,6811
1468310164,6734,6818
1468313764,6742,6826
1468324563,6743,6827
1468328164,6747,6831
1468335364,6800,6884
1468338964,6809,6892
1468346164,6838,6922
1468349763,6856,6940
1468356963,6863,6947
1468360563,6865,6949
1468367763,6871,6955
1468371363,6874,6958
1468378563,6875,6961
1468382164,6874,6961
1468389364,6872,6959
1468392964,6873,6962
1468396564,6878,6967
1468400163,6882,6971
1468403764,6875,6964
1468410963,6886,6975
1468414563,6897,6985
1468421763,6921,7013
1468425363,6910,7004
1468432563,6925,7018
1468436164,6930,7022
1468443363,6930,7022
1468446964,6929,7021
1468454164,6937,7029
1468457763,6926,7018
1468464964,6928,7020
1468468563,6923,7015
1468475764,6927,7018
1468479363,6923,7014
1468486563,6930,7021
1468490164,6940,7031
1468497363,6970,7061
1468500964,6975,7066
1468508164,6987,7078
1468511764,6996,7087
1468518964,7022,7114
1468522563,7030,7125
1468529764,7035,7130
1468533363,7041,7136
1468540564,7042,7137
1468544164,7036,7131
1468551363,7052,7147
1468554964,7054,7149
1468562164,7070,7165
1468565765,7070,7165
1468572964,7070,7166
1468576563,7062,7158
1468583764,7072,7169
1468587364,7070,7167
1468594563,7086,7183
1468598164,7094,7191
1468605363,7111,7208
1468608964,7115,7211
1468612564,7116,7212
1468616163,7121,7217
1468623364,7124,7221
1468626964,7130,7227
1468634164,7117,7213
1468637763,7120,7216
1468644964,7119,7215
1468648564,7115,7213
1468655763,7119,7218
1468659364,7120,7219
1468666564,7114,7213
1468670164,7116,7216
1468677364,7145,7245
1468680964,7153,7253
1468688163,7164,7264
1468691763,7168,7268
1468698964,7173,7273
1468702563,7168,7269
1468709763,7174,7275
1468713363,7176,7277
1468720563,7173,7274
1468724164,7171,7272
1468731364,7170,7271
1468734963,7167,7268
1468742164,7172,7273
1468745768,7170,7271
1468752965,7169,7270
1468756564,7165,7265
1468763763,7167,7267
1468767365,7173,7273
1468774563,7173,7274
1468778164,7175,7275
1468785364,7186,7286
1468788964,7179,7279
1468796164,7180,7280
1468799764,7187,7287
1468806963,7179,7279
1468810563,7178,7278
1468817764,7175,7276
1468821364,7179,7280
1468824963,7181,7283
1468828563,7180,7282
1468835764,7189,7292
1468839363,7191,7294
1468846563,7198,7300
1468850164,7198,7300
1468857364,7207,7309
1468860963,7205,7305
1468868164,7213,7314
1468871763,7211,7312
1468878963,7207,7308
1468882563,7210,7311
1468889763,7207,7309
1468893364,7202,7304
1468900565,7202,7304
1468904164,7200,7302
1468907763,7199,7301
1468911363,7196,7296
1468918563,7200,7301
1468922164,7206,7309
1468929364,7205,7307
1468932963,7210,7312
1468940163,7220,7322
1468943764,7211,7312
1468950964,7225,7326
1468954563,7215,7315
1468961764,7216,7316
1468965364,7215,7315
1468968964,7226,7326
1468972563,7231,7331
1468979764,7219,7319
1468983363,7217,7316
1468990565,7215,7314
1468994163,7208,7307
1469001364,7210,7309
1469004964,7207,7306
1469012163,7196,7295
1469015764,7194,7293
1469022964,7206,7305
1469026564,7202,7301
1469030164,7205,7304
1469033763,7202,7301
1469040964,7205,7304
1469044563,7203,7302
1469051764,7205,7305
1469055368,7213,7313
1469062563,7207,7307
1469066164,7203,7303
1469073363,7198,7298
1469076963,7199,7299
1469084163,7195,7296
1469087763,7200,7301
1469094964,7212,7313
1469098563,7216,7317
1469105764,7220,7321
1469109364,7218,7319
1469116563,7220,7320
1469120163,7235,7336
1469127364,7230,7331
1469130964,7237,7338
1469138164,7235,7336
1469141763,7244,7345
1469148965,7232,7333
1469152564,7235,7336
1469156163,7223,7324
1469159763,7217,7318
1469163364,7205,7305
1469170564,7203,7303
1469174164,7208,7308
1469181364,7206,7306
1469184965,7189,7289
1469192164,7203,7303
1469195764,7200,7301
1469202963,7178,7279
1469206563,7185,7286
1469213764,7185,7288
1469217363,7187,7290
1469224563,7200,7303
1469228164,7188,7291
1469235363,7192,7295
1469238964,7179,7281
1469246164,7192,7294
1469249765,7175,7277
1469256964,7177,7279
1469260564,7160,7262
1469267764,7169,7271
1469271363,7147,7249
1469278564,7149,7251
1469282163,7162,7264
1469289363,7162,7264
1469292964,7161,7263
1469300164,7164,7266
1469303763,7163,7265
1469310963,7164,7267
1469314564,7163,7266
1469321763,7160,7264
1469325363,7159,7263
1469332563,7156,7261
1469336164,7160,7264
1469343364,7160,7265
1469346964,7162,7267
1469354164,7163,7267
1469357764,7162,7265
1469364964,7149,7252
1469368564,7145,7248
1469375765,7154,7257
1469379364,7155,7258
1469382963,7150,7253
1469386563,7155,7258
1469390163,7148,7252
1469397364,7142,7245
1469400963,7141,7244
1469408163,7139,7242
1469411764,7140,7243
1469415363,7134,7236
1469418963,7138,7240
1469422564,7133,7235
1469429764,7136,7238
1469433364,7147,7249
1469440564,7146,7249
1469444163,7142,7245
1469451364,7147,7250
1469454964,7144,7246
1469462164,7140,7242
1469465763,7141,7243
1469472964,7140,7242
1469476563,7132,7235
