DateTime,AddedIPs,RemovedIPs
1467557764,100,99
1467564964,113,114
1467568564,78,77
1467575764,124,123
1467579364,74,74
1467586563,143,143
1467590163,107,107
1467593764,86,87
1467597365,81,81
1467600964,94,95
1467604563,70,70
1467608164,76,76
1467611764,89,89
1467618964,141,140
1467622563,74,73
1467629764,171,172
1467633363,81,80
1467640564,119,119
1467644164,86,86
1467647763,70,70
1467651364,82,82
1467658564,162,162
1467662163,72,72
1467665764,66,66
1467669363,123,123
1467676564,137,137
1467680163,88,88
1467687367,125,126
1467690963,72,72
1467698163,132,131
1467701764,114,114
1467708964,146,146
1467712564,128,128
1467719763,156,156
1467723363,104,104
1467730563,149,149
1467734164,104,104
1467741363,115,115
1467744963,88,88
1467752164,101,101
1467755764,89,89
1467762964,131,131
1467766563,68,68
1467773763,119,119
1467777364,71,71
1467784564,120,120
1467788163,81,81
1467795364,127,127
1467798965,120,120
1467806164,164,164
1467809763,128,129
1467816963,114,113
1467820564,126,127
1467827763,128,128
1467831364,91,90
1467838564,105,105
1467842164,92,92
1467849363,146,146
1467852963,69,69
1467856564,69,69
1467860163,85,86
1467867363,88,87
1467870964,67,67
1467874563,72,73
1467878163,75,76
1467885364,140,138
1467888965,121,121
1467896164,123,123
1467899764,107,107
1467906964,110,110
1467910563,79,79
1467917764,125,125
1467921364,70,70
1467928563,103,104
1467932164,118,119
1467939363,121,119
1467942964,71,72
1467950164,121,120
1467953763,80,80
1467960964,112,112
1467964564,68,68
1467971764,149,149
1467975364,101,101
1467982564,123,123
1467986164,70,71
1467993364,123,123
1467996964,83,83
1468004163,136,135
1468007764,106,106
1468014964,115,115
1468018564,118,118
1468025763,107,107
1468029366,81,81
1468036564,112,112
1468040164,86,86
1468047363,102,102
1468050963,75,75
1468058164,122,122
1468061765,103,103
1468068965,122,122
1468072563,82,82
1468076165,89,89
1468079764,75,75
1468086963,118,118
1468090563,79,79
1468097763,96,96
1468101364,87,87
1468108563,139,139
1468112163,65,65
1468119364,114,114
1468122964,79,81
1468130164,110,109
1468133763,137,139
1468140964,161,158
1468144564,110,110
1468151764,146,147
1468155364,73,73
1468162563,140,139
1468166163,55,56
1468173364,120,120
1468176964,82,82
1468180564,95,95
1468184163,142,142
1468187764,80,79
1468191363,85,86
1468198564,77,77
1468202163,75,75
1468209364,114,113
1468212963,80,80
1468220163,140,140
1468223763,81,81
1468230964,142,142
1468234564,109,109
1468241764,143,143
1468245365,84,84
1468252564,140,140
1468256164,98,98
1468263364,157,157
1468266964,87,87
1468274164,127,127
1468277763,100,100
1468281363,90,90
1468284963,65,65
1468292164,126,126
1468295765,85,85
1468299364,76,76
1468302964,84,84
1468310164,131,131
1468313764,89,89
1468324563,201,202
1468328164,97,96
1468335364,235,235
1468338964,86,87
1468346164,228,227
1468349763,88,89
1468356963,116,116
1468360563,91,91
1468367763,199,198
1468371363,76,76
1468378563,146,146
1468382164,78,79
1468389364,134,133
1468392964,76,76
1468396564,103,103
1468400163,81,81
1468403764,106,106
1468410963,152,153
1468414563,153,152
1468421763,240,240
1468425363,99,99
1468432563,226,226
1468436164,78,78
1468443363,116,116
1468446964,82,82
1468454164,128,129
1468457763,68,67
1468464964,131,132
1468468563,124,124
1468475764,121,120
1468479363,81,82
1468486563,120,120
1468490164,124,124
1468497363,148,148
1468500964,90,89
1468508164,126,126
1468511764,88,88
1468518964,222,222
1468522563,101,101
1468529764,122,122
1468533363,114,114
1468540564,123,124
1468544164,76,76
1468551363,134,134
1468554964,72,73
1468562164,156,154
1468565765,79,81
1468572964,128,127
1468576563,102,101
1468583764,129,129
1468587364,66,66
1468594563,131,132
1468598164,79,78
1468605363,140,140
1468608964,85,85
1468612564,69,69
1468616163,88,88
1468623364,165,165
1468626964,99,99
1468634164,100,100
1468637763,100,100
1468644964,101,101
1468648564,82,82
1468655763,134,135
1468659364,79,79
1468666564,124,124
1468670164,81,82
1468677364,165,164
1468680964,71,71
1468688163,105,104
1468691763,62,62
1468698964,82,82
