DateTime,Entries,UniqueIPs
1466469071,197,197
1466475677,191,191
1466486480,194,194
1466494277,193,193
1466502080,192,192
1466509272,208,208
1466518870,207,207
1466527869,204,205
1466536268,203,204
1466542871,217,218
1466551270,203,204
1466559677,201,202
1466568079,196,198
1466574677,197,199
1466582477,198,198
1466592076,206,206
1466601674,206,206
1466609472,202,202
1466616072,204,204
1466628072,193,193
1466635273,209,209
1466642476,213,213
1466650875,205,205
1466658676,185,185
1466668271,198,199
1466676677,198,199
1466685075,195,198
1466692876,194,197
1466703075,180,181
1466710875,194,195
1466722269,178,179
1466731875,177,178
1466740276,167,168
1466748672,164,165
1466758875,158,159
1466767277,157,158
1466773879,164,164
1466782875,175,175
1466788874,185,185
1466797269,187,187
1466803274,196,196
1466810471,197,197
1466817673,208,208
1466825472,207,208
1466832075,210,211
1466839875,206,208
1466849483,210,212
1466857276,212,214
1466865674,211,215
1466874673,196,200
1466883673,204,208
1466891470,192,196
1466898672,196,200
1466907669,207,211
1466915476,213,217
1466923274,214,218
1466932875,218,219
1466940675,213,214
1466948469,211,212
1466958072,213,214
1466965273,208,210
1466972473,210,212
1466981472,207,209
1466989271,204,206
1467000071,200,202
1467008472,200,202
1467017478,198,199
1467027079,199,200
1467036073,180,181
1467043875,178,179
1467052872,186,186
1467060074,196,196
1467066069,204,204
1467073271,206,206
1467085272,191,192
1467091272,202,203
1467099079,207,209
1467105077,207,209
1467114678,213,215
1467122476,211,213
1467129673,220,223
1467136276,217,220
1467142871,216,220
1467150075,209,213
1467157868,202,206
1467164471,214,219
1467172273,213,217
1467179470,212,216
1467186670,225,229
1467193277,207,211
1467199275,215,219
1467206478,214,219
1467213676,212,217
1467220873,210,215
1467227474,211,216
1467234077,210,212
1467239475,218,220
1467245476,234,239
1467250873,228,233
1467256874,238,243
1467263474,239,244
1467271279,225,230
1467277878,235,240
1467285674,230,234
1467291675,230,234
1467297673,242,246
1467303080,238,240
1467311480,233,235
1467318074,232,234
1467324671,227,229
1467331878,218,220
1467337276,223,224
1467345081,211,212
1467351678,215,215
1467359479,207,207
1467366184,207,207
1467381074,193,193
1467387704,193,193
1467396103,195,196
1467402718,204,205
1467409332,203,204
1467414693,202,203
1467422542,187,188
1467430955,202,203
1467442294,179,180
1467450726,162,163
1467458525,176,177
1467465716,192,193
1467472896,203,204
1467480725,209,211
