DateTime,AddedIPs,RemovedIPs
1466475677,4,0
1466486480,5,1
1466494277,7,12
1466502080,8,3
1466509272,4,7
1466518870,4,6
1466527869,6,18
1466536268,3,1
1466542871,3,5
1466551270,1,7
1466559677,4,5
1466568079,6,7
1466574677,3,4
1466582477,5,5
1466592076,5,6
1466601674,6,11
1466609472,2,4
1466616072,4,5
1466628072,2,7
1466635273,7,0
1466642476,6,4
1466650875,4,3
1466658676,2,9
1466668271,5,6
1466676677,7,4
1466685075,3,0
1466692876,4,8
1466703075,3,3
1466710875,2,4
1466722269,4,4
1466731875,6,7
1466740276,3,8
1466748672,4,12
1466758875,4,2
1466767277,5,5
1466773879,5,4
1466782875,11,7
1466788874,4,0
1466797269,7,9
1466803274,6,0
1466810471,10,4
1466817673,3,0
1466825472,5,9
1466832075,6,5
1466839875,7,4
1466849483,5,1
1466857276,5,8
1466865674,9,6
1466874673,5,6
1466883673,4,7
1466891470,5,4
1466898672,10,0
1466907669,4,10
1466915476,6,8
1466923274,7,3
1466932875,8,6
1466940675,4,13
1466948469,4,4
1466958072,2,6
1466965273,6,6
1466972473,4,7
1466981472,6,8
1466989271,7,7
1467000071,4,9
1467008472,6,5
1467017478,5,9
1467027079,2,3
1467036073,3,8
1467043875,5,6
1467052872,4,4
1467060074,6,1
1467066069,1,5
1467073271,5,5
1467085272,4,10
1467091272,8,7
1467099079,3,5
1467105077,3,5
1467114678,6,3
1467122476,4,4
1467129673,3,0
1467136276,6,1
1467142871,4,1
1467150075,2,7
1467157868,3,9
1467164471,5,0
1467172273,4,8
1467179470,4,0
1467186670,5,3
1467193277,6,3
1467199275,4,1
1467206478,2,3
1467213676,3,6
1467220873,2,8
1467227474,5,4
1467234077,1,2
1467239475,9,4
1467245476,4,0
1467250873,3,2
1467256874,6,1
1467263474,4,3
1467271279,7,6
1467277878,2,7
1467285674,6,2
1467291675,5,6
1467297673,3,5
1467303080,2,0
1467311480,2,9
1467318074,6,4
1467324671,3,2
1467331878,2,0
1467337276,3,9
1467345081,2,5
1467351678,4,2
1467359479,3,12
1467366184,2,0
1467381074,6,11
1467387704,6,6
1467396103,2,8
1467402718,9,0
1467409332,4,4
1467414693,3,6
1467422542,7,7
1467430955,7,6
1467442294,4,12
1467450726,4,5
1467458525,7,6
1467465716,8,5
1467472896,8,7
1467480725,9,9
1467486700,6,0
1467494514,5,4
1467501730,6,7
1467511315,7,6
1467517929,2,6
1467524527,8,3
1467532905,6,2
1467539533,5,0
1467546704,7,7
1467553934,8,8
1467561087,9,5
1467568915,4,4
1467576110,3,0
1467585742,5,11
1467594109,4,5
1467601904,6,9
1467609097,3,7
1467615704,7,4
1467622925,5,3
1467630100,4,0
1467637308,3,9
1467645108,3,5
1467653515,6,3
1467661310,4,3
1467668521,13,0
1467675727,10,9
1467685973,4,6
1467693110,3,8
1467702120,5,7
1467715333,8,6
1467723702,6,8
1467731533,5,1
1467738691,6,0
1467750109,5,7
1467757926,4,6
1467763938,6,0
1467772311,1,13
1467778333,2,0
1467785540,4,1
1467793335,6,13
1467800536,5,0
1467808343,6,12
1467816133,6,5
1467823368,6,0
1467832303,4,5
1467838918,7,13
1467845550,6,3
1467853310,7,3
1467862333,6,2
1467868943,3,0
1467876112,3,13
1467883937,5,7
1467892924,3,7
1467900122,6,0
1467908539,5,3
1467917565,3,4
1467925927,2,7
1467934296,3,8
1467940924,7,0
1467948096,3,5
1467955315,5,3
1467962517,4,2
1467969708,7,7
1467977503,8,9
1467989521,5,6
1467998508,3,2
1468006947,5,7
1468014729,9,6
1468021918,5,5
1468031534,5,5
1468039296,4,9
1468045927,5,7
