DateTime,AddedIPs,RemovedIPs
1466509272,18,19
1466518870,23,24
1466527869,21,19
1466536268,24,26
1466542871,21,22
1466551270,20,19
1466559677,26,24
1466568079,21,23
1466574677,23,22
1466582477,20,20
1466592076,22,22
1466601674,21,21
1466609472,20,20
1466616072,23,21
1466628072,20,23
1466635273,21,22
1466642476,20,20
1466650875,21,20
1466658676,22,23
1466668271,19,18
1466676677,23,23
1466685075,21,22
1466692876,22,21
1466703075,23,24
1466710875,20,21
1466722269,23,22
1466731875,24,23
1466740276,17,20
1466748672,23,21
1466758875,22,23
1466767277,22,19
1466773879,24,24
1466782875,25,24
1466788874,22,23
1466797269,21,21
1466803274,24,25
1466810471,24,22
1466817673,22,24
1466825472,21,20
1466832075,22,23
1466839875,20,22
1466849483,24,21
1466857276,24,23
1466865674,19,23
1466874673,25,21
1466883673,20,22
1466891470,24,23
1466898672,25,25
1466907669,21,23
1466915476,23,22
1466923274,25,23
1466932875,24,25
1466940675,19,21
1466948469,25,23
1466958072,26,25
1466965273,20,24
1466972473,24,22
1466981472,22,24
1466989271,22,21
1467000071,24,22
1467008472,26,25
1467017478,24,26
1467027079,24,23
1467036073,24,25
1467043875,25,24
1467052872,23,22
1467060074,26,26
1467066069,23,24
1467073271,25,25
1467085272,26,25
1467091272,21,23
1467099079,22,23
1467105077,20,19
1467114678,25,24
1467122476,21,22
1467129673,24,23
1467136276,24,24
1467142871,22,23
1467150075,18,20
1467157868,25,20
1467164471,22,25
1467172273,21,22
1467179470,18,18
1467186670,24,22
1467193277,22,22
1467199275,18,22
1467206478,22,19
1467213676,25,22
1467220873,20,24
1467227474,24,21
1467234077,22,24
1467239475,27,24
1467245476,22,23
1467250873,19,22
1467256874,24,23
1467263474,21,23
1467271279,21,17
1467277878,16,22
1467285674,24,20
1467291675,20,19
1467297673,21,21
1467303080,17,21
1467311480,23,18
1467318074,24,23
1467324671,17,25
1467331878,21,16
1467337276,22,21
1467345081,22,22
1467351678,21,22
1467359479,20,20
1467366184,23,23
1467381074,23,23
1467387704,20,20
1467396103,23,24
1467402718,23,21
1467409332,21,22
1467414693,20,21
1467422542,26,23
1467430955,26,26
1467442294,26,26
1467450726,22,25
1467458525,22,21
1467465716,24,23
1467472896,25,25
1467480725,26,24
1467486700,24,25
1467494514,19,21
1467501730,24,24
1467511315,26,24
1467517929,21,22
1467524527,21,21
1467532905,26,25
1467539533,23,25
1467546704,21,19
1467553934,24,25
1467561087,25,25
1467568915,23,25
1467576110,19,19
1467585742,23,23
1467594109,24,23
1467601904,19,19
1467609097,20,21
1467615704,25,23
1467622925,26,24
1467630100,20,23
1467637308,19,19
1467645108,20,21
1467653515,24,20
1467661310,20,26
1467668521,24,19
1467675727,25,26
1467685973,24,24
1467693110,21,21
1467702120,24,25
1467715333,23,23
1467723702,21,21
1467731533,23,23
1467738691,20,21
1467750109,24,22
1467757926,27,25
1467763938,22,25
1467772311,22,22
1467778333,20,20
1467785540,24,22
1467793335,25,26
1467800536,23,23
1467808343,21,23
1467816133,26,22
1467823368,25,26
1467832303,22,25
1467838918,23,22
1467845550,21,23
1467853310,18,19
1467862333,23,20
1467868943,21,21
1467876112,21,22
1467883937,23,21
1467892924,24,25
1467900122,23,22
1467908539,21,24
1467917565,24,22
1467925927,20,22
1467934296,22,21
1467940924,21,20
1467948096,19,21
1467955315,23,20
1467962517,22,23
1467969708,23,22
1467977503,22,20
1467989521,20,23
1467998508,18,20
1468006947,18,18
1468014729,23,19
1468021918,19,23
1468031534,22,20
1468039296,22,21
1468045927,24,22
1468054903,24,25
1468062684,24,24
1468074716,20,22
1468082535,24,22
1468092716,23,24
1468099880,20,22
1468105923,23,22
1468114298,23,23
1468122112,22,22
1468131115,20,20
1468139509,23,23
1468147304,20,22
1468153895,22,21
1468161717,20,20
1468170723,22,22
1468179760,24,22
1468189295,23,23
1468196506,22,22
1468204329,20,23
1468211545,20,20
1468218102,22,20
1468226554,24,21
1468236719,26,26
1468246939,21,26
1468255954,22,19
1468263130,23,25
1468272136,26,23
1468281725,23,25
1468290140,25,24
1468299729,21,24
1468308704,25,22
1468317323,24,23
1468325709,27,26
1468335720,23,26
1468345930,22,22
1468358530,23,22
1468367546,22,23
1468378325,24,23
