DateTime,Entries,UniqueIPs
1469814727,1316,1316
1469815221,1315,1315
1469815686,1315,1315
1469816168,1315,1315
1469816657,1315,1315
1469817130,1316,1316
1469817608,1316,1316
1469819049,1315,1315
1469819526,1315,1315
1469820009,1316,1316
1469820499,1315,1315
1469820966,1314,1314
1469821463,1313,1313
1469821928,1313,1313
1469822418,1313,1313
1469822885,1314,1314
1469823848,1313,1313
1469824329,1313,1313
1469824806,1314,1314
1469825770,1314,1314
1469826251,1314,1314
1469826729,1314,1314
1469827226,1314,1314
1469827701,1314,1314
1469828176,1315,1315
1469828646,1314,1314
1469829138,1313,1313
1469829849,1314,1314
1469830338,1313,1313
1469830823,1314,1314
1469831292,1313,1313
1469831766,1314,1314
1469832247,1315,1315
1469832726,1315,1315
1469833447,1315,1315
1469834886,1314,1314
1469835369,1314,1314
1469835846,1315,1315
1469836338,1315,1315
1469838727,1315,1315
1469840177,1314,1314
1469840675,1315,1315
1469841136,1314,1314
1469841612,1315,1315
1469842087,1315,1315
1469842568,1314,1314
1469843047,1315,1315
1469843530,1314,1314
1469844029,1314,1314
1469844500,1314,1314
1469844971,1315,1315
1469845459,1314,1314
1469845930,1315,1315
1469846405,1314,1314
1469846906,1314,1314
1469847381,1315,1315
1469848086,1315,1315
1469848570,1314,1314
1469849046,1315,1315
1469850966,1314,1314
1469851452,1315,1315
1469851926,1314,1314
1469852434,1315,1315
1469852897,1314,1314
1469853371,1313,1313
1469853845,1309,1309
1469854336,1306,1306
1469855063,1308,1308
1469855528,1307,1307
1469856009,1308,1308
1469856490,1307,1307
1469856975,1307,1307
1469857448,1310,1310
1469857926,1309,1309
1469858437,1310,1310
1469858887,1312,1312
1469859373,1313,1313
1469859847,1315,1315
1469861775,1316,1316
1469862250,1315,1315
1469862738,1316,1316
1469863225,1315,1315
1469863688,1314,1314
1469864166,1315,1315
1469865366,1315,1315
1469865852,1314,1314
1469866334,1314,1314
1469867298,1313,1313
1469867768,1314,1314
1469868736,1313,1313
1469869450,1315,1315
1469869936,1314,1314
1469870427,1314,1314
1469870890,1314,1314
1469871380,1314,1314
1469871846,1315,1315
1469872340,1314,1314
1469872825,1313,1313
1469873300,1314,1314
1469874259,1313,1313
1469874727,1313,1313
1469875207,1312,1312
1469875705,1314,1314
1469876183,1314,1314
1469876648,1313,1313
1469877126,1314,1314
1469879533,1314,1314
1469880020,1313,1313
1469880485,1313,1313
1469880990,1312,1312
1469881476,1313,1313
1469881928,1313,1313
1469882406,1313,1313
1469882898,1314,1314
1469883384,1315,1315
1469883860,1314,1314
1469884328,1314,1314
1469884808,1314,1314
1469885302,1315,1315
1469885766,1312,1312
1469886258,1313,1313
1469886728,1314,1314
1469887238,1314,1314
1469887687,1313,1313
1469888170,1313,1313
1469888647,1313,1313
1469889142,1312,1312
1469889607,1313,1313
1469890578,1312,1312
1469891058,1312,1312
1469891530,1312,1312
1469892030,1312,1312
1469892496,1312,1312
1469892968,1312,1312
1469893454,1313,1313
1469893928,1312,1312
1469894658,1313,1313
1469895125,1312,1312
1469895610,1313,1313
1469896087,1312,1312
1469896566,1312,1312
1469897049,1312,1312
1469897527,1312,1312
1469898253,1313,1313
1469901126,1312,1312
1469902325,1311,1311
1469902810,1311,1311
1469903287,1311,1311
1469903779,1312,1312
1469906413,1312,1312
1469906899,1313,1313
1469908330,1312,1312
1469908817,1313,1313
1469910265,1312,1312
1469910738,1312,1312
1469911208,1313,1313
1469911686,1312,1312
1469912173,1313,1313
1469913608,1312,1312
1469914088,1312,1312
1469914566,1312,1312
1469915046,1313,1313
1469916973,1312,1312
1469917459,1313,1313
1469918407,1312,1312
1469918907,1312,1312
1469919375,1312,1312
1469919849,1312,1312
1469920326,1313,1313
1469921302,1312,1312
1469921766,1313,1313
1469922248,1313,1313
1469922740,1312,1312
1469923450,1312,1312
1469924177,1312,1312
1469924664,1313,1313
1469925138,1312,1312
1469925628,1313,1313
1469927050,1312,1312
1469927529,1312,1312
1469928008,1313,1313
1469928504,1312,1312
1469928967,1312,1312
1469929458,1312,1312
1469929940,1312,1312
1469930436,1312,1312
1469930894,1313,1313
1469933535,1312,1312
1469934012,1313,1313
1469934499,1310,1310
1469934967,1310,1310
1469935447,1311,1311
1469939046,1310,1310
1469939530,1311,1311
1469940492,1310,1310
1469940982,1311,1311
1469943853,1311,1311
1469944332,1311,1311
1469944824,1311,1311
1469945286,1310,1310
1469945769,1309,1309
1469946248,1311,1311
1469947207,1311,1311
1469948176,1312,1312
1469949129,1311,1311
1469949625,1311,1311
1469950087,1312,1312
1469952018,1311,1311
1469952489,1311,1311
1469953227,1312,1312
1469953686,1311,1311
1469954178,1312,1312
1469954646,1311,1311
1469955131,1311,1311
1469955616,1312,1312
1469957048,1311,1311
1469957528,1312,1312
1469958487,1312,1312
1469958967,1311,1311
1469959449,1311,1311
1469959934,1312,1312
1469960410,1312,1312
1469960897,1312,1312
1469961367,1311,1311
1469961854,1312,1312
1469962825,1311,1311
1469963287,1311,1311
1469963766,1311,1311
1469964245,1310,1310
1469964739,1311,1311
1469965208,1310,1310
1469965688,1311,1311
1469966650,1310,1310
1469969061,1309,1309
1469969525,1310,1310
1469970020,1309,1309
1469970487,1309,1309
1469970983,1309,1309
1469971458,1310,1310
1469972890,1309,1309
1469973366,1311,1311
1469974330,1310,1310
1469974820,1310,1310
1469975297,1310,1310
1469975777,1310,1310
1469976257,1309,1309
1469976725,1311,1311
1469977449,1311,1311
1469977928,1312,1312
1469978429,1311,1311
1469978890,1311,1311
1469979379,1311,1311
1469979847,1312,1312
1469980336,1311,1311
1469981063,1311,1311
1469981525,1311,1311
1469982011,1312,1312
1469983937,1311,1311
1469984648,1312,1312
1469985139,1311,1311
1469985611,1311,1311
1469986099,1312,1312
1469986574,1311,1311
1469987046,1311,1311
1469987543,1312,1312
1469988988,1311,1311
1469989464,1312,1312
1469989938,1311,1311
1469990409,1313,1313
1469990888,1312,1312
1469991380,1312,1312
1469991859,1312,1312
1469992329,1312,1312
1469992808,1312,1312
1469993299,1313,1313
1469995447,1313,1313
1469995926,1312,1312
1469996427,1312,1312
1469996887,1313,1313
1469997375,1313,1313
1469997845,1312,1312
1469998328,1313,1313
1469999529,1312,1312
1470000009,1312,1312
1470000487,1313,1313
1470000984,1313,1313
1470001448,1312,1312
1470001932,1311,1311
1470002649,1312,1312
1470003126,1311,1311
1470003620,1312,1312
1470004088,1311,1311
1470004565,1312,1312
1470005045,1311,1311
1470005526,1312,1312
1470006027,1311,1311
1470006500,1312,1312
1470006970,1311,1311
1470007447,1312,1312
1470008407,1310,1310
1470008892,1311,1311
1470011299,1310,1310
1470011787,1309,1309
1470012248,1309,1309
1470012726,1309,1309
1470013451,1309,1309
1470013926,1309,1309
1470014412,1309,1309
1470014899,1310,1310
1470016825,1309,1309
1470017290,1310,1310
1470017787,1311,1311
1470018249,1310,1310
1470018757,1310,1310
1470019690,1309,1309
1470020179,1310,1310
1470020653,1309,1309
1470021128,1310,1310
1470022569,1309,1309
1470023046,1310,1310
1470023531,1310,1310
1470024491,1310,1310
1470024975,1311,1311
1470025940,1311,1311
1470027860,1310,1310
1470028337,1310,1310
1470028830,1311,1311
1470029287,1310,1310
1470029769,1311,1311
1470031686,1309,1309
1470032168,1310,1310
1470032681,1311,1311
1470033126,1310,1310
