DateTime,Entries,UniqueIPs
1469775721,1706,1729
1469776322,1716,1740
1469776922,1716,1740
1469778122,1712,1737
1469778722,1712,1736
1469779322,1711,1735
1469779922,1698,1721
1469780521,1700,1723
1469781721,1700,1723
1469782321,1702,1725
1469782922,1698,1721
1469783522,1699,1722
1469784122,1694,1717
1469784722,1695,1718
1469785322,1698,1721
1469785921,1700,1724
1469786521,1701,1725
1469787721,1666,1689
1469788321,1667,1690
1469788921,1681,1704
1469789521,1683,1707
1469790122,1684,1708
1469790722,1685,1709
1469791321,1695,1720
1469791921,1688,1713
1469792522,1689,1714
1469793122,1698,1723
1469793722,1695,1720
1469794322,1696,1721
1469794921,1695,1721
1469795521,1701,1727
1469796121,1705,1732
1469796721,1709,1736
1469797321,1718,1745
1469798522,1718,1744
1469799122,1734,1760
1469799722,1742,1769
1469800321,1749,1776
1469800922,1753,1780
1469801521,1758,1785
1469802121,1759,1787
1469802722,1760,1788
1469803322,1764,1792
1469803922,1751,1778
1469804521,1751,1778
1469805121,1748,1775
1469805721,1749,1776
1469806922,1709,1735
1469808123,1708,1734
1469808722,1708,1734
1469809321,1709,1735
1469809922,1715,1742
1469811122,1678,1704
1469811721,1680,1706
1469812321,1681,1707
1469812922,1688,1716
1469813521,1692,1720
1469814122,1672,1700
1469814721,1676,1704
1469815321,1679,1707
1469815922,1683,1711
1469816521,1689,1717
1469817121,1685,1712
1469817721,1691,1718
1469818322,1687,1715
1469818922,1683,1710
1469819521,1690,1717
1469820121,1684,1711
1469820722,1685,1711
1469821322,1686,1712
1469821922,1689,1715
1469822521,1672,1698
1469823723,1672,1698
1469824321,1668,1694
1469824922,1672,1698
1469825522,1674,1700
1469826122,1679,1705
1469826722,1669,1695
1469827321,1667,1693
1469827922,1671,1697
1469828521,1674,1700
1469829121,1679,1705
1469829722,1675,1701
1469831522,1714,1740
1469832122,1713,1739
1469833321,1716,1742
1469833922,1710,1735
1469834521,1715,1740
1469835721,1705,1730
1469836322,1703,1728
1469836921,1705,1730
1469837524,1685,1709
1469838121,1690,1714
1469838721,1697,1721
1469839322,1683,1707
1469839921,1685,1709
1469840522,1672,1695
1469841122,1671,1694
1469841722,1670,1693
1469842921,1671,1694
1469843521,1671,1693
1469844121,1660,1682
1469845321,1654,1676
1469846522,1652,1674
1469847121,1635,1657
1469847722,1634,1656
1469848922,1630,1652
1469849522,1623,1645
1469850122,1627,1649
1469850722,1639,1661
1469851322,1678,1703
1469852522,1672,1697
1469853122,1677,1702
1469853721,1675,1700
1469854321,1668,1693
1469854921,1670,1695
1469856121,1672,1697
1469856721,1672,1697
1469857322,1682,1707
1469857922,1685,1710
1469858521,1673,1697
1469859122,1684,1708
1469859722,1700,1725
1469860321,1710,1735
1469860922,1714,1739
1469861522,1718,1743
1469862121,1707,1731
1469862721,1707,1731
1469863321,1708,1732
1469863921,1710,1734
1469864521,1710,1734
1469865121,1709,1733
1469865722,1713,1737
1469866322,1694,1718
1469866921,1697,1721
1469868121,1697,1721
1469868721,1699,1723
1469869922,1683,1707
1469871121,1692,1716
1469871721,1700,1725
1469872322,1701,1726
1469872922,1705,1730
1469873521,1705,1730
1469874121,1698,1721
1469874722,1704,1727
1469875322,1705,1728
1469876521,1706,1728
1469877122,1703,1725
1469877722,1696,1717
1469878322,1689,1709
1469878921,1700,1720
1469879522,1702,1722
1469880122,1705,1725
1469880722,1680,1698
1469881322,1673,1690
1469882522,1674,1691
1469883722,1669,1685
1469884321,1672,1689
1469884922,1674,1691
1469885522,1657,1674
1469886122,1660,1677
1469886721,1657,1675
1469887322,1658,1676
1469887921,1657,1675
1469888521,1652,1670
1469889122,1650,1667
1469889721,1652,1669
1469890322,1656,1673
1469890921,1656,1673
1469891522,1660,1677
1469892721,1664,1681
1469893321,1666,1683
1469893921,1667,1684
1469894521,1669,1686
1469895122,1675,1692
1469895722,1664,1680
1469896322,1674,1690
1469896921,1664,1680
1469898123,1666,1682
1469898722,1669,1685
1469899322,1677,1694
1469899921,1680,1697
1469900522,1671,1688
1469901721,1669,1686
1469902322,1674,1691
1469902922,1677,1694
1469903522,1677,1694
1469904122,1670,1688
1469904721,1670,1688
1469905322,1670,1688
1469905921,1665,1682
1469906521,1670,1687
1469907121,1672,1689
1469907722,1672,1689
1469908922,1654,1671
1469909521,1652,1669
1469910122,1648,1665
1469911322,1651,1667
1469911921,1657,1673
1469912521,1642,1658
1469913722,1641,1657
1469914321,1640,1656
1469914921,1641,1657
1469915522,1603,1619
1469916121,1601,1617
1469916722,1616,1632
1469917321,1622,1638
1469917921,1620,1637
1469918522,1624,1641
1469919121,1633,1650
1469919722,1631,1648
1469920922,1642,1659
1469922121,1633,1650
1469922721,1622,1639
1469923321,1620,1638
1469923922,1624,1642
1469924522,1624,1642
1469925123,1623,1641
1469925721,1628,1647
1469926322,1627,1646
1469926921,1633,1652
1469927522,1621,1639
1469928121,1620,1637
1469928722,1620,1637
1469929322,1605,1622
1469929923,1606,1623
1469930522,1606,1623
1469931121,1607,1624
1469931722,1618,1635
1469932322,1617,1634
1469932922,1620,1637
1469933521,1632,1649
1469934122,1636,1653
1469934722,1641,1658
1469935322,1640,1657
1469935921,1637,1654
1469936522,1636,1653
1469937121,1643,1660
1469937721,1648,1665
1469938921,1639,1657
1469940122,1662,1680
1469940722,1665,1683
1469941321,1658,1676
1469941921,1661,1679
1469942521,1671,1689
1469943121,1675,1693
1469943722,1672,1690
1469944321,1654,1673
1469944921,1666,1685
1469945522,1672,1691
1469946121,1672,1691
1469947321,1669,1688
1469947922,1674,1693
1469948522,1678,1697
1469949722,1680,1699
1469950322,1682,1701
1469950921,1685,1704
1469951521,1658,1677
1469952122,1659,1678
1469952721,1680,1699
1469953322,1687,1707
1469953922,1693,1713
1469954521,1702,1722
1469955121,1712,1732
1469955721,1721,1741
1469956921,1716,1736
1469958121,1720,1740
1469958721,1711,1731
1469959322,1708,1728
1469959921,1711,1732
1469960522,1715,1736
1469961122,1714,1735
1469961721,1714,1735
1469962321,1717,1738
1469962921,1720,1741
1469963521,1720,1741
1469964121,1721,1742
1469964721,1710,1731
1469966522,1693,1714
1469967121,1697,1718
1469967721,1694,1715
1469968921,1692,1713
1469970122,1705,1726
1469970721,1704,1725
1469971321,1688,1709
1469972522,1699,1720
1469973122,1714,1735
1469973722,1703,1723
1469974321,1699,1719
1469974922,1701,1721
1469975521,1711,1731
1469976121,1713,1733
1469976722,1722,1742
1469977322,1723,1743
1469977921,1724,1744
1469978522,1739,1759
1469979121,1722,1741
1469979722,1728,1747
1469980322,1732,1751
1469980921,1730,1748
1469981522,1734,1752
1469982122,1735,1753
1469982721,1733,1752
1469983322,1735,1754
1469983921,1727,1746
1469985122,1722,1741
1469985722,1725,1744
1469986322,1723,1742
1469986921,1724,1743
1469987521,1706,1723
1469988131,1709,1727
1469988721,1702,1718
1469989326,1701,1716
1469989921,1701,1716
1469991722,1699,1714
1469992322,1700,1715
1469992921,1709,1725
1469993521,1698,1714
1469994122,1700,1715
1469994723,1701,1716
1469995322,1720,1735
1469995921,1722,1738
1469996522,1728,1744
1469997121,1728,1744
1469997721,1720,1736
1469998321,1720,1736
1469998922,1726,1743
1469999521,1706,1722
1470000121,1710,1726
1470000722,1708,1724
1470001321,1713,1729
1470001922,1720,1737
1470002521,1724,1741
1470003121,1711,1728
1470003722,1714,1731
1470004922,1715,1732
1470006122,1684,1700
1470006721,1685,1701
1470007322,1693,1709
1470007922,1695,1711
1470008521,1697,1713
1470009122,1695,1711
1470009722,1692,1708
1470010322,1696,1712
1470010921,1693,1708
1470011522,1670,1685
1470012122,1668,1683
1470012721,1669,1684
1470013321,1669,1684
1470014522,1658,1673
1470015722,1665,1681
1470016321,1669,1685
1470016921,1677,1693
1470017522,1682,1698
1470018122,1678,1694
1470018721,1681,1697
1470019322,1696,1712
1470020521,1688,1703
1470021122,1693,1708
1470021722,1695,1710
1470022322,1699,1714
1470022922,1700,1715
1470023521,1697,1712
1470024123,1706,1721
1470025321,1706,1721
1470025921,1719,1734
1470026521,1720,1735
1470027122,1692,1707
1470027721,1695,1710
1470028322,1699,1714
1470028922,1702,1717
1470029521,1685,1701
1470030121,1686,1702
1470030722,1685,1701
1470031322,1693,1709
1470031922,1684,1700
1470032521,1680,1697
1470033722,1674,1691
1470034921,1685,1702
1470035521,1688,1705
1470036121,1711,1728
1470036722,1707,1724
1470037322,1702,1719
1470037922,1712,1730
1470038522,1684,1702
1470039121,1678,1696
1470039721,1667,1684
1470040922,1662,1680
1470041522,1670,1688
1470042121,1649,1667
1470042721,1650,1668
1470043322,1655,1673
1470044521,1649,1667
1470045122,1650,1668
1470045721,1660,1678
1470046321,1654,1672
1470046921,1649,1666
1470047521,1650,1667
1470049322,1648,1664
1470050522,1639,1655
1470051121,1644,1660
1470051721,1641,1657
1470052321,1647,1663
1470052922,1674,1691
1470053521,1681,1698
1470054145,1678,1695
1470054721,1704,1721
1470055325,1713,1731
1470056522,1709,1726
1470058321,1692,1709
1470058922,1698,1715
1470060122,1691,1708
1470061921,1665,1682
1470062521,1670,1687
1470063126,1663,1680
1470063723,1663,1680
1470064334,1660,1677
1470064921,1656,1673
1470066721,1646,1664
1470067321,1648,1666
1470067922,1646,1663
1470068521,1647,1664
1470069126,1647,1664
1470069724,1650,1667
1470070322,1624,1641
1470070922,1624,1641
1470071522,1626,1643
1470072121,1626,1643
1470073322,1608,1625
1470074521,1603,1620
1470075722,1586,1603
1470076321,1588,1605
1470076922,1615,1632
1470078122,1626,1643
1470078722,1628,1645
1470079321,1631,1648
1470080521,1637,1653
1470081122,1641,1657
1470081722,1645,1661
1470082321,1650,1666
1470082922,1638,1653
1470083521,1644,1659
1470084122,1652,1667
1470084722,1653,1668
1470085322,1658,1673
1470085922,1667,1682
1470086521,1661,1676
1470087122,1671,1686
1470087721,1670,1685
1470088321,1663,1678
1470088922,1671,1686
1470089522,1664,1679
1470090121,1672,1687
1470091322,1673,1688
1470092522,1679,1694
1470093122,1673,1688
1470093722,1672,1687
1470094321,1670,1685
1470095522,1697,1712
1470096122,1699,1714
1470096722,1676,1691
1470097322,1700,1716
1470097922,1717,1733
1470098521,1714,1731
1470099121,1722,1740
1470099729,1728,1746
1470100322,1736,1754
1470100921,1715,1733
1470101521,1723,1741
1470102122,1725,1743
1470102721,1730,1748
1470103321,1730,1748
1470103922,1729,1748
1470104521,1727,1746
1470105121,1731,1750
1470105721,1721,1740
1470106321,1723,1742
1470106921,1724,1743
1470107522,1727,1746
1470108122,1725,1744
1470109322,1722,1741
1470110521,1724,1743
1470111721,1723,1742
1470112921,1697,1715
1470113521,1700,1718
1470115321,1685,1703
1470115921,1691,1709
1470116521,1706,1723
1470117121,1706,1723
1470117722,1712,1729
1470118321,1710,1726
1470118922,1714,1730
1470120122,1695,1711
1470121322,1699,1717
1470121921,1702,1720
1470122521,1704,1722
1470123122,1706,1724
1470123721,1731,1750
1470124321,1705,1722
1470124922,1707,1724
