DateTime,Entries,UniqueIPs
1469088123,1780,1812
1469089321,1781,1813
1469090521,1783,1815
1469091722,1788,1820
1469092322,1789,1821
1469094722,1788,1820
1469100121,1783,1815
1469100722,1785,1817
1469103122,1786,1818
1469104922,1785,1817
1469107321,1784,1816
1469110921,1784,1816
1469111521,1785,1817
1469112721,1784,1816
1469113322,1782,1814
1469113921,1781,1813
1469117521,1780,1812
1469118121,1779,1811
1469120522,1774,1806
1469121122,1772,1804
1469122322,1771,1803
1469126522,1770,1802
1469128321,1771,1803
1469128922,1770,1802
1469130121,1770,1802
1469131322,1769,1801
1469131922,1770,1802
1469136122,1769,1801
1469136721,1768,1800
1469137322,1770,1802
1469138521,1773,1805
1469139122,1774,1806
1469140921,1773,1805
1469144522,1774,1806
1469145722,1775,1807
1469146922,1775,1807
1469147521,1776,1808
1469153521,1775,1807
1469154721,1777,1809
1469155321,1778,1810
1469158922,1765,1797
1469159522,1764,1796
1469162521,1761,1793
1469163122,1762,1794
1469163721,1768,1800
1469164322,1769,1801
1469166121,1770,1803
1469167321,1768,1801
1469168522,1767,1800
1469169121,1765,1798
1469171521,1763,1796
1469172121,1764,1797
1469173321,1765,1798
1469174521,1766,1799
1469175721,1763,1796
1469178121,1761,1794
1469179321,1760,1793
1469181722,1761,1794
1469184121,1760,1793
1469187722,1758,1791
1469188922,1757,1790
1469191322,1759,1792
1469193122,1760,1793
1469199724,1762,1795
1469200922,1761,1794
1469201522,1762,1795
1469206921,1763,1796
1469208122,1762,1795
1469209321,1763,1796
1469209921,1762,1795
1469217121,1759,1792
1469218921,1760,1793
1469219521,1761,1794
1469223121,1760,1793
1469226121,1760,1793
1469226721,1765,1798
1469227322,1766,1799
1469228521,1767,1800
1469230321,1768,1801
1469230921,1764,1797
1469232122,1765,1798
1469235121,1770,1804
1469235721,1769,1803
1469236921,1764,1798
1469244121,1781,1816
1469245322,1782,1817
1469245922,1781,1816
1469246523,1780,1815
1469250121,1781,1816
1469256121,1780,1815
1469256721,1779,1814
1469260922,1780,1815
1469264522,1779,1814
1469268121,1780,1815
1469271722,1778,1813
1469272322,1781,1816
1469273521,1779,1814
1469275321,1780,1815
1469281321,1777,1812
1469282526,1773,1808
1469284921,1770,1805
1469288523,1772,1807
1469289122,1774,1809
1469289722,1776,1811
1469294522,1777,1812
1469298721,1778,1813
1469300521,1779,1814
1469304121,1780,1815
1469306522,1781,1816
1469307121,1779,1814
1469307721,1776,1811
1469308922,1774,1809
1469314921,1773,1808
1469317321,1774,1809
1469317921,1775,1810
1469321521,1774,1809
1469324521,1777,1812
1469325721,1777,1812
1469328121,1777,1812
1469329321,1778,1813
1469330521,1779,1814
1469331722,1780,1815
1469336522,1781,1816
1469337122,1792,1827
1469337721,1790,1825
1469338321,1787,1822
1469338922,1788,1823
1469340722,1789,1824
1469341321,1783,1818
1469341921,1778,1813
1469344921,1777,1812
1469347322,1777,1812
1469347921,1776,1811
1469349722,1774,1809
1469350921,1773,1808
1469354522,1770,1805
1469355721,1768,1803
1469356322,1767,1802
1469357522,1766,1801
1469365321,1767,1802
1469368322,1762,1797
1469368922,1761,1796
1469371921,1758,1793
1469375527,1759,1794
1469376122,1757,1792
1469379121,1758,1793
1469382121,1757,1792
1469382721,1755,1790
1469384522,1756,1791
1469386923,1757,1792
1469387521,1753,1788
