DateTime,AddedIPs,RemovedIPs
1469139122,1,0
1469140921,0,1
1469141521,0,1
1469144522,2,2
1469145722,1,0
1469146922,1,4
1469147521,1,0
1469148722,0,2
1469152322,0,1
1469153521,0,1
1469154122,0,1
1469154721,2,0
1469155321,1,0
1469156521,0,3
1469158922,0,3
1469160721,0,1
1469163122,1,1
1469163721,6,0
1469164322,1,1
1469165522,0,15
1469166121,2,3
1469168522,0,4
1469169121,1,0
1469170321,0,1
1469172121,1,0
1469173321,1,0
1469174521,1,0
1469179321,0,1
1469181121,0,2
1469181722,1,0
1469182321,0,8
1469184121,0,10
1469184721,0,6
1469185923,0,1
1469186521,0,1
1469191322,2,1
1469191922,0,3
1469193122,1,0
1469193722,0,1
1469197921,0,2
1469199121,0,1
1469199724,2,0
1469201522,1,6
1469205721,0,2
1469206321,0,3
1469206921,1,0
1469208122,1,2
1469209321,1,0
1469209921,0,2
1469211722,0,1
1469212321,0,4
1469216522,0,1
1469218921,1,4
1469219521,1,2
1469220721,0,1
1469223121,0,7
1469224921,0,3
1469226121,1,3
1469226721,5,4
1469227322,1,4
1469228521,2,0
1469229122,0,2
1469230321,1,1
1469232122,1,0
1469235121,6,3
1469236921,0,2
1469238121,0,2
1469242322,0,1
1469244121,18,0
1469244721,0,3
1469245322,1,0
1469245922,0,2
1469246523,1,1
1469248321,0,1
1469250121,1,1
1469251922,0,1
1469253121,0,2
1469258522,0,1
1469259721,0,1
1469260922,2,3
1469261521,0,1
1469262121,1,0
1469268121,1,1
1469269321,0,1
1469271722,1,2
1469272322,3,0
1469274122,0,1
1469275321,1,0
1469275922,0,1
1469276522,0,4
1469281321,0,2
1469281921,0,3
1469283121,0,1
1469287922,0,1
1469288523,2,0
1469289122,3,4
1469289722,2,0
1469291522,1,0
1469292722,0,1
1469294522,1,0
1469297521,0,3
1469298721,1,0
1469300521,1,2
1469301721,0,1
1469304121,1,0
1469305321,0,1
1469306522,1,1
1469313722,0,4
1469316121,0,2
1469316722,0,1
1469317321,1,5
1469317921,1,0
1469324521,3,0
1469325721,1,4
1469328121,1,0
1469329321,1,1
1469330521,1,0
1469331122,0,2
1469331722,1,1
1469334721,0,2
1469336522,1,0
1469337122,11,1
1469337721,1,0
1469338922,1,0
1469340722,2,2
1469341321,0,2
1469344921,0,3
1469347322,1,0
1469361121,1,2
1469365321,2,1
1469367122,0,2
1469368922,0,2
1469375527,1,0
1469379121,1,0
1469379722,0,1
1469380922,0,1
1469382121,0,3
1469383322,0,1
1469384522,1,0
1469385721,0,7
1469386923,1,0
1469388121,0,1
1469390521,0,1
1469392321,2,0
1469392921,0,4
1469393521,1,0
1469394121,0,1
1469395322,1,0
1469397721,0,2
1469399522,1,0
1469400721,0,1
1469401321,2,0
1469402521,1,1
1469407321,0,1
1469409121,0,1
1469415721,0,1
1469421721,0,1
1469422321,0,4
1469423522,3,0
1469424121,6,0
1469426521,1,1
1469427122,0,2
1469433121,1,0
1469434921,1,0
1469437921,2,0
1469443321,4,0
1469449321,0,1
1469450522,1,0
1469451122,10,0
1469451722,1,0
1469454121,0,3
1469458922,1,0
1469459522,1,0
1469460121,5,0
1469461321,1,1
1469462521,1,4
1469463721,0,3
1469464921,1,0
1469469122,2,0
1469470922,0,2
1469472721,1,0
1469473323,1,0
1469475722,1,0
1469478121,3,0
1469479322,6,0
1469480522,0,6
1469481722,0,2
1469486522,3,0
1469488321,0,3
1469488922,0,1
1469491321,1,9
1469493722,1,0
1469496121,1,1
1469496721,1,0
1469498522,1,0
1469505123,1,0
1469511121,0,1
1469512922,0,2
1469514121,0,1
1469514722,4,0
1469515321,5,1
1469515921,0,5
1469517721,1,1
1469520122,4,0
1469520721,1,0
1469521321,1,0
1469522521,0,1
1469524922,1,1
1469533922,0,7
1469535721,1,0
1469537521,1,0
1469540521,0,2
1469544721,1,1
1469545922,0,2
1469551323,1,1
1469553721,0,1
1469554921,1,0
1469556121,0,1
1469556722,1,0
1469562122,0,1
1469568121,1,1
1469568721,1,0
1469570521,1,0
1469571122,0,1
1469571722,1,0
1469572321,0,3
1469574121,0,3
1469575321,1,0
1469577122,2,8
1469583722,2,0
1469586122,1,0
1469589121,1,0
1469592126,12,0
1469592722,3,0
1469594522,1,0
1469599323,1,0
1469599921,2,4
1469600521,2,0
1469601122,0,5
1469601721,1,0
1469602922,0,1
1469603521,2,0
1469607122,0,1
1469609525,0,3
1469610121,0,3
1469611322,0,5
1469612521,1,3
1469616122,3,2
1469617321,0,1
1469618522,0,2
1469619121,0,1
1469620922,1,1
1469623321,0,1
1469625121,0,1
1469627521,4,0
1469628121,0,2
1469629321,1,0
1469630522,0,4
1469632922,0,3
1469635922,2,1
1469636522,4,0
1469637121,1,0
1469637721,1,0
1469638321,1,0
1469638921,0,1
1469639521,1,0
1469640721,0,1
1469643121,0,1
1469644922,2,0
1469646121,1,5
1469648522,1,0
1469649121,1,0
1469650321,0,1
1469651521,1,0
1469652122,1,0
1469654521,1,6
1469655121,0,1
1469656921,0,1
1469659321,0,1
1469660522,0,1
1469662321,3,0
1469664122,2,0
1469665321,1,0
1469670127,1,0
1469677322,1,0
1469677921,6,0
1469681521,0,1
1469682722,1,0
1469685722,2,0
1469688121,0,3
1469689321,0,5
1469689922,0,5
1469690521,0,2
1469691721,0,1
1469692922,1,0
1469694121,1,0
1469695322,0,2
1469695921,0,3
1469697122,0,2
1469698322,0,2
1469700121,1,0
1469702522,0,1
1469703721,0,1
1469707321,0,4
1469712721,0,1
1469713922,0,2
1469715123,3,0
1469715721,1,0
1469720521,0,1
1469722921,1,0
1469728921,0,3
1469729522,3,0
1469731321,0,1
1469732521,0,1
1469733122,4,0
1469735522,0,3
1469736722,1,0
1469739122,0,2
1469739722,0,1
1469742121,0,4
1469743922,0,2
1469744522,1,0
1469747522,1,0
1469748122,0,1
1469750522,1,2
1469751721,2,0
1469752922,1,0
1469755322,0,1
1469758921,0,1
1469760121,1,1
1469763722,1,0
1469767922,0,6
1469769122,0,1
1469769721,1,0
1469770921,0,2
1469772722,0,1
1469773322,0,2
1469778722,1,0
1469784722,0,1
1469785921,2,0
1469788921,1,0
1469790721,1,0
1469791921,0,1
1469792522,1,0
1469798522,1,0
1469804521,0,3
1469811122,1,0
1469814122,1,0
1469817121,1,0
1469817721,1,0
1469818922,1,0
1469820121,0,1
1469821922,1,0
1469824321,1,0
1469827321,2,0
1469829722,0,3
1469831522,0,6
1469832121,0,1
1469833321,0,1
1469833922,1,4
1469834521,0,2
1469836322,1,15
1469836921,1,0
1469840522,0,1
1469845922,1,0
1469851322,1,1
1469852522,0,6
1469853122,1,0
1469855522,4,0
1469856121,2,0
1469856721,1,0
1469857322,0,1
1469863921,0,2
1469864521,0,3
1469865721,0,1
1469867521,1,0
1469868121,1,0
1469871721,0,1
1469875322,1,1
1469876521,1,1
1469877122,0,2
1469878921,0,1
1469886122,5,0
1469886721,1,0
1469888521,1,0
1469890921,0,1
1469891522,0,2
1469893321,1,3
1469893921,0,2
1469894521,0,1
1469895722,0,1
1469899322,1,0
1469903521,1,0
1469904721,1,0
1469905322,0,2
1469913722,2,0
1469914321,2,0
1469915521,1,3
1469916121,0,1
1469923922,0,1
1469924522,1,0
1469925721,3,2
1469926921,1,0
1469928722,0,3
1469933521,0,3
1469935322,1,0
1469936522,0,1
1469938921,1,0
1469939522,0,3
1469941321,0,4
1469943722,0,1
1469944921,1,0
1469947922,0,1
1469952122,1,0
1469953921,0,6
1469957521,1,0
1469962321,2,0
1469964721,0,1
1469972522,1,0
1469973122,1,0
1469979722,0,1
1469982721,1,0
1469985722,1,0
1469986921,1,0
1469991722,0,1
1469994122,1,0
1470000722,0,1
1470001321,0,1
1470002521,1,0
1470003121,1,0
1470003722,1,0
1470004321,1,0
1470004922,1,0
1470007921,0,1
1470009722,0,16
1470011522,1,0
1470012122,1,0
1470012721,2,0
1470020521,0,1
1470021722,2,0
1470025321,1,0
1470030722,0,2
1470031922,1,0
1470035521,0,1
1470040321,1,0
1470040922,1,0
1470041522,1,0
1470046921,0,5
1470049322,2,1
1470051121,1,0
1470054145,0,5
1470054721,0,1
1470055921,0,2
1470056522,1,0
1470060122,0,2
1470061322,2,0
1470061921,1,2
1470063723,0,2
1470069126,0,3
1470070322,0,1
1470072121,1,0
1470073322,0,1
1470073921,0,4
1470075122,1,0
1470078122,0,1
1470080521,0,1
1470082922,0,8
1470084722,0,1
1470085322,0,2
1470088321,1,0
1470089522,0,2
1470090722,1,0
1470091921,4,0
1470093722,0,1
1470097322,0,1
1470098521,0,1
1470099729,0,1
1470100322,1,0
1470101521,0,2
1470102121,0,1
1470103321,0,1
1470108722,0,3
1470109322,0,1
1470112921,2,0
1470114121,0,1
1470114721,1,0
1470120121,0,3
1470121921,1,0
1470123122,3,0
1470123721,1,1
1470124922,1,0
1470126121,1,0
1470127322,0,1
1470132122,0,4
1470139321,0,3
1470141721,0,2
1470142922,3,0
1470145321,0,3
1470146521,4,0
1470148929,0,1
