DateTime,Entries,UniqueIPs
1468350002,4381,4381
1468353602,4383,4383
1468357202,4347,4347
1468360802,4328,4328
1468364402,4327,4327
1468368002,4274,4274
1468371602,4299,4299
1468375202,4291,4291
1468378801,4279,4279
1468382402,4284,4284
1468386002,4263,4263
1468389602,4229,4229
1468393201,4245,4245
1468396802,4276,4276
1468400401,4281,4281
1468404002,4281,4281
1468407602,4334,4334
1468411201,4376,4376
1468414802,4382,4382
1468418402,4409,4409
1468422001,4434,4434
1468425601,4317,4317
1468429202,4329,4329
1468432802,4285,4285
1468436401,4294,4294
1468440001,4265,4265
1468443602,4280,4280
1468447202,4226,4226
1468450801,4196,4196
1468454402,4171,4171
1468458002,4138,4138
1468461602,4137,4137
1468465202,4165,4165
1468468802,4141,4141
1468472402,4181,4181
1468476001,4223,4223
1468479601,4246,4246
1468483202,4289,4289
1468486801,4259,4259
1468490402,4327,4327
1468494002,4311,4311
1468497602,4292,4292
1468501202,4290,4290
1468504802,4295,4295
1468508401,4246,4246
1468512002,4312,4312
1468515601,4352,4352
1468519202,4398,4398
1468522802,4401,4401
1468526401,4415,4415
1468530001,4386,4386
1468533601,4451,4451
1468537202,4458,4458
1468540802,4464,4464
1468544402,4490,4490
1468548002,4498,4498
1468551602,4485,4485
1468555201,4473,4473
1468558802,4447,4447
1468562402,4437,4437
1468566002,4494,4494
1468569602,4457,4457
1468573201,4456,4456
1468576801,4437,4437
1468580402,4385,4385
1468584001,4384,4384
1468587601,4328,4328
1468591202,4347,4347
1468594801,4330,4330
1468598402,4394,4394
1468602001,4388,4388
1468605602,4354,4354
1468609202,4343,4343
1468612801,4348,4348
1468616402,4349,4349
1468620001,4323,4323
1468623601,4334,4334
1468627202,4344,4344
1468630802,4370,4370
1468634402,4408,4408
1468638001,4447,4447
1468641602,4471,4471
1468645202,4524,4524
1468648802,4533,4533
1468652402,4539,4539
1468656001,4536,4536
1468659602,4558,4558
1468663202,4592,4592
1468666802,4642,4642
1468670402,4633,4633
1468674002,4650,4650
1468677602,4616,4616
1468681202,4577,4577
1468684802,4487,4487
1468688402,4367,4367
1468692002,4493,4493
1468695601,4477,4477
1468699202,4502,4502
1468702801,4568,4568
1468706402,4604,4604
1468710001,4618,4618
1468713601,4558,4558
1468717202,4530,4530
1468720801,4503,4503
1468724401,4448,4448
1468728002,4450,4450
1468731601,4413,4413
1468735202,4425,4425
1468738801,4384,4384
1468742402,4384,4384
1468746002,4386,4386
1468749601,4348,4348
1468753201,4329,4329
1468756801,4293,4293
1468760401,4262,4262
1468764002,4230,4230
1468767602,4255,4255
1468771201,4439,4439
1468774802,4518,4518
1468778401,4414,4414
1468782002,4395,4395
1468785601,4401,4401
1468789201,4384,4384
1468792801,4285,4285
1468796402,4227,4227
1468800002,4196,4196
1468803601,4236,4236
1468807201,4268,4268
1468810802,4299,4299
1468814402,4309,4309
1468818001,4309,4309
1468821602,4311,4311
1468825201,4436,4436
1468828802,4468,4468
1468832401,4468,4468
1468836001,4487,4487
1468839601,4547,4547
1468843202,4558,4558
1468846802,4637,4637
1468850402,4742,4742
1468854001,4935,4935
1468857602,4804,4804
1468861201,4716,4716
1468864801,4868,4868
1468868401,4942,4942
1468872001,4963,4963
1468875601,4941,4941
1468879201,4960,4960
1468882802,5001,5001
1468886404,4997,4997
1468890002,5013,5013
1468893602,4985,4985
1468897201,4989,4989
1468900802,4979,4979
1468904401,5000,5000
1468908001,5022,5022
1468911601,4961,4961
1468915202,4896,4896
1468918802,4950,4950
1468922402,4993,4993
1468926001,5016,5016
1468929601,5052,5052
1468933202,5041,5041
1468936802,5075,5075
1468940402,4869,4869
1468944001,4870,4870
1468947601,4867,4867
1468951201,4749,4749
1468954802,4699,4699
1468958402,4702,4702
1468962001,4662,4662
1468965602,4648,4648
1468969201,4603,4603
1468972804,4547,4547
1468976401,4596,4596
1468980002,4593,4593
1468983602,4588,4588
1468987202,4617,4617
1468990802,4653,4653
1468994402,4676,4676
1468998002,4689,4689
1469001601,4714,4714
1469005201,4696,4696
1469008802,4728,4728
1469012401,4731,4731
1469016002,4740,4740
1469019601,4704,4704
1469023201,4609,4609
1469026801,4578,4578
1469030401,4622,4622
1469034001,4560,4560
1469037602,4509,4509
1469041202,4416,4416
1469044801,4396,4396
1469048402,4393,4393
1469052001,4391,4391
1469055601,4445,4445
1469059202,4427,4427
1469062801,4422,4422
1469066402,4423,4423
1469070001,4412,4412
1469073602,4382,4382
1469077202,4363,4363
1469080801,4377,4377
1469084401,4390,4390
1469088002,4548,4548
1469091602,4522,4522
1469095202,4511,4511
1469098801,4482,4482
1469102401,4424,4424
1469106002,4532,4532
1469109602,4589,4589
1469113201,4687,4687
1469116801,4564,4564
1469120401,4583,4583
1469124001,4614,4614
1469127601,4595,4595
1469131202,4573,4573
1469134802,4583,4583
1469138401,4558,4558
1469142002,4866,4866
1469145602,5187,5187
1469149202,5534,5534
1469152802,5862,5862
