DateTime,Entries,UniqueIPs
1469450400,7183,7183
1469451000,7368,7368
1469454000,7393,7393
1469454600,7553,7553
1469456400,7565,7565
1469457600,7571,7571
1469458200,7746,7746
1469461200,7792,7792
1469461800,7902,7902
1469463600,7901,7901
1469464800,7934,7934
1469465400,8043,8043
1469468400,8067,8067
1469469000,8173,8173
1469470800,8174,8174
1469472000,8186,8186
1469472600,8293,8293
1469474400,8294,8294
1469475600,8293,8293
1469476200,8428,8428
1469478000,8431,8431
1469479200,8438,8438
1469479800,8535,8535
1469482800,8553,8553
1469483400,8635,8635
1469485200,8631,8631
1469486400,8609,8609
1469487000,8699,8699
1469490000,8649,8649
1469490600,8747,8747
1469492400,8751,8751
1469493600,8721,8721
1469494200,8891,8891
1469497200,8887,8887
1469497800,9053,9053
1469499600,9047,9047
1469500800,9044,9044
1469501400,9233,9233
1469504400,9243,9243
1469505000,9397,9397
1469506800,9397,9397
1469508000,9365,9365
1469508600,9558,9558
1469511600,9555,9555
1469512200,9724,9724
1469514000,9729,9729
1469515200,9747,9747
1469515800,9904,9904
1469518800,9864,9864
1469519400,10027,10027
1469521200,10027,10027
1469522400,10039,10039
1469523000,10156,10156
1469526000,10132,10132
1469526600,10283,10283
1469528400,10282,10282
1469529600,10290,10290
1469530200,10430,10430
1469533200,10449,10449
1469533800,10553,10553
1469535600,10556,10556
1469536800,10554,10554
1469537400,10667,10667
1469541600,10790,10790
1469542800,10790,10790
1469544000,10791,10791
1469544600,10941,10941
1469547600,10939,10939
1469548200,11081,11081
1469550000,11082,11082
1469551200,11069,11069
1469551800,11188,11188
1469554800,11165,11165
1469555400,11240,11240
1469557200,11237,11237
1469558400,11219,11219
1469559000,11261,11261
1469562000,11224,11224
1469562600,11279,11279
1469564400,11279,11279
1469565600,11285,11285
1469566200,11333,11333
1469569200,11310,11310
1469569800,11374,11374
1469571600,11375,11375
1469572800,11329,11329
1469573400,11378,11378
1469576400,11259,11259
1469577000,11334,11334
1469578800,11333,11333
1469580000,11274,11274
1469580600,11358,11358
1469583600,11324,11324
1469584200,11415,11415
1469586000,11414,11414
1469587200,11299,11299
1469587800,11402,11402
1469589000,11403,11403
1469590800,11193,11193
1469591400,11296,11296
1469593800,11299,11299
1469594400,11098,11098
1469595000,11204,11204
1469596200,11205,11205
1469598000,11030,11030
1469598600,11153,11153
1469600400,11158,11158
1469601600,10961,10961
1469602200,11076,11076
1469605200,10839,10839
1469605800,11003,11003
1469607600,11017,11017
1469608800,10788,10788
1469609400,10878,10878
1469611200,10877,10877
1469612400,10662,10662
1469613000,10742,10742
1469614800,10736,10736
1469616000,10553,10553
1469616600,10656,10656
1469619600,10451,10451
1469620200,10532,10532
1469622001,10528,10528
1469623200,10385,10385
1469623800,10481,10481
1469626800,10326,10326
1469627400,10416,10416
1469629200,10415,10415
1469630400,10289,10289
1469631000,10405,10405
1469634000,10299,10299
1469634600,10394,10394
1469636400,10396,10396
1469637600,10301,10301
1469638200,10398,10398
1469641200,10305,10305
1469641800,10350,10350
1469644200,10357,10357
1469644800,10229,10229
1469645400,10272,10272
1469648400,10181,10181
1469649000,10219,10219
1469650800,10218,10218
1469652000,10123,10123
1469652600,10172,10172
1469655600,10064,10064
1469656200,10110,10110
1469658000,10107,10107
1469659200,10017,10017
1469659800,10071,10071
1469662800,9914,9914
1469663400,9975,9975
1469665200,9974,9974
1469666400,9800,9800
1469667000,9860,9860
1469670000,9666,9666
1469670600,9732,9732
1469672400,9727,9727
1469673600,9553,9553
1469674200,9635,9635
1469675400,9636,9636
1469677200,9486,9486
1469677800,9580,9580
1469679600,9577,9577
1469680800,9418,9418
1469681400,9527,9527
1469684400,9402,9402
1469685000,9569,9569
1469686800,9579,9579
1469688000,9472,9472
1469688600,9642,9642
1469691600,9515,9515
1469692200,9603,9603
1469694000,9599,9599
1469695200,9507,9507
1469695800,9548,9548
1469697600,9545,9545
1469698800,9398,9398
1469699400,9495,9495
1469701200,9491,9491
1469702400,9372,9372
1469703000,9512,9512
1469706000,9416,9416
1469706600,9538,9538
1469708400,9542,9542
1469709600,9430,9430
1469710200,9560,9560
1469713200,9414,9414
1469713800,9546,9546
1469715600,9548,9548
1469716800,9398,9398
1469717400,9545,9545
1469720400,9443,9443
1469721000,9603,9603
1469722800,9607,9607
1469724000,9533,9533
1469724600,9680,9680
1469726400,9681,9681
1469728200,9730,9730
1469730000,9728,9728
1469731200,9692,9692
1469731800,9794,9794
1469734800,9757,9757
1469735400,9857,9857
1469737200,9859,9859
1469738400,9812,9812
1469739000,9910,9910
1469742000,9870,9870
1469742600,9951,9951
1469744400,9959,9959
1469745600,9889,9889
1469746200,9969,9969
1469749200,9863,9863
1469749800,9959,9959
1469751600,9963,9963
1469752800,9841,9841
1469753400,9946,9946
1469756400,9835,9835
1469757000,9928,9928
1469758800,9925,9925
1469760000,9836,9836
1469760600,9919,9919
1469762400,9921,9921
1469763600,9797,9797
1469764200,9878,9878
1469766000,9877,9877
1469767200,9724,9724
1469767800,9874,9874
1469769000,9875,9875
1469769600,9874,9874
1469770800,9720,9720
1469771400,9881,9881
1469773200,9887,9887
1469774400,9736,9736
1469775000,9886,9886
1469778000,9751,9751
1469778600,9884,9884
1469780400,9886,9886
1469781600,9825,9825
1469782200,9942,9942
1469785200,9837,9837
1469785800,9950,9950
1469787600,9949,9949
1469788801,9898,9898
1469789400,10014,10014
1469792400,9927,9927
1469793000,10078,10078
1469794800,10079,10079
1469796000,10027,10027
1469796600,10168,10168
1469799600,10110,10110
1469800200,10418,10418
1469802000,10422,10422
1469803200,10368,10368
1469803800,10856,10856
1469805000,10854,10854
1469806800,10784,10784
1469807400,11246,11246
1469809200,11249,11249
1469810400,11259,11259
1469811000,11713,11713
1469814000,11739,11739
1469814600,12147,12147
1469816400,12150,12150
1469817600,12155,12155
1469818200,12546,12546
1469820000,12545,12545
1469821200,12548,12548
1469821800,12887,12887
1469823600,12887,12887
1469824800,12888,12888
1469825400,13169,13169
1469828400,13099,13099
1469829000,13355,13355
1469830800,13355,13355
1469832000,13312,13312
1469832600,13556,13556
1469835600,13506,13506
1469836800,13769,13769
1469838000,13773,13773
1469839200,13695,13695
1469839800,13915,13915
1469842800,13840,13840
1469843400,14033,14033
1469845200,14030,14030
1469846400,13910,13910
1469847000,14140,14140
1469850000,13976,13976
1469850600,14181,14181
1469852400,14173,14173
1469853600,13925,13925
1469854200,14154,14154
1469857200,13941,13941
1469857800,14203,14203
1469859600,14205,14205
1469860800,14063,14063
1469861400,14185,14185
1469864400,14042,14042
1469865000,14132,14132
1469866800,14131,14131
1469868000,14002,14002
1469868600,14079,14079
1469870400,14080,14080
1469871600,13858,13858
1469872200,13952,13952
1469874000,13951,13951
1469875200,13764,13764
1469875800,13828,13828
1469879400,13701,13701
1469881200,13706,13706
1469882400,13507,13507
1469883000,13586,13586
1469886000,13355,13355
1469886600,13458,13458
1469888400,13458,13458
1469889601,13205,13205
1469890200,13286,13286
1469893200,13090,13090
1469893800,13158,13158
1469895600,13152,13152
1469896800,13028,13028
1469897400,13064,13064
1469900400,12927,12927
1469901000,12976,12976
1469902800,12971,12971
1469904000,12852,12852
1469904600,12891,12891
1469907600,12770,12770
1469908200,12813,12813
1469910000,12810,12810
1469911200,12711,12711
1469911800,12738,12738
1469914800,12665,12665
1469915400,12704,12704
1469917200,12705,12705
1469918400,12621,12621
1469919000,12655,12655
1469922000,12558,12558
1469922600,12591,12591
1469924400,12592,12592
1469925600,12471,12471
1469926200,12500,12500
1469929200,12404,12404
1469929800,12440,12440
1469931600,12440,12440
1469932800,12332,12332
1469933400,12360,12360
1469936400,12215,12215
1469937000,12246,12246
1469938800,12240,12240
1469940000,12050,12050
1469940600,12098,12098
1469943600,11934,11934
1469944200,11962,11962
1469946000,11964,11964
1469947200,11852,11852
1469947800,11865,11865
1469950800,11713,11713
1469952000,11781,11781
1469953200,11781,11781
1469954400,11677,11677
1469955000,11704,11704
1469958000,11577,11577
1469958600,11592,11592
1469960400,11592,11592
1469961600,11436,11436
1469962200,11445,11445
1469965200,11272,11272
1469965800,11283,11283
1469967600,11282,11282
1469968800,10917,10917
1469969400,10937,10937
1469972400,10440,10440
1469974800,10443,10443
1469976000,9959,9959
1469976600,9981,9981
1469979600,9498,9498
1469980200,9506,9506
1469982000,9507,9507
1469983200,9084,9084
1469986800,8707,8707
1469989200,8703,8703
1469990400,8349,8349
1469994002,8030,8030
1469994600,8043,8043
1469996400,8045,8045
1469997600,7818,7818
1470001200,7588,7588
1470003600,7589,7589
1470004800,7351,7351
1470008401,7155,7155
1470009000,7162,7162
1470010800,7165,7165
1470012000,6993,6993
1470015600,6783,6783
1470018000,6787,6787
1470019200,6598,6598
1470022800,6437,6437
1470025200,6439,6439
1470026400,6290,6290
1470030000,6327,6327
1470032400,6332,6332
1470033600,6369,6369
1470034200,6399,6399
1470037200,6313,6313
1470037800,6516,6516
1470039600,6517,6517
1470040800,6578,6578
1470041400,6647,6647
1470044400,6643,6643
1470045000,6738,6738
1470046800,6732,6732
1470048000,6733,6733
1470048600,6820,6820
1470051600,6831,6831
1470052200,6923,6923
1470054000,6922,6922
1470055200,6932,6932
1470056400,7051,7051
1470058800,7063,7063
1470059400,7180,7180
1470061200,7176,7176
1470062400,7183,7183
1470063000,7323,7323
1470066000,7346,7346
1470066600,7486,7486
1470068400,7488,7488
1470069600,7500,7500
1470070200,7568,7568
1470073200,7595,7595
1470073800,7631,7631
1470075000,7632,7632
1470075600,7638,7638
1470076800,7618,7618
1470077400,7684,7684
1470080400,7674,7674
1470081000,7907,7907
1470082800,7916,7916
1470084000,7974,7974
1470084600,8556,8556
1470087600,8578,8578
1470088200,9039,9039
1470090000,9032,9032
1470091200,9032,9032
1470091800,9466,9466
1470094801,9465,9465
1470095401,9928,9928
1470097201,9929,9929
1470098401,9908,9908
1470099002,10412,10412
1470102001,10414,10414
1470102601,10866,10866
1470104401,10866,10866
1470105601,10887,10887
1470106201,11366,11366
1470107401,11367,11367
1470109201,11356,11356
1470109801,11819,11819
1470111601,11816,11816
1470112801,11767,11767
1470113401,12316,12316
1470116401,12258,12258
1470117001,13007,13007
1470118801,13011,13011
1470120001,13008,13008
1470120600,13511,13511
1470123600,13480,13480
1470124200,13710,13710
1470126000,13706,13706
1470127200,13642,13642
1470127800,13871,13871
1470129600,13870,13870
1470130800,13796,13796
1470131400,14002,14002
1470133200,14006,14006
1470134400,13970,13970
1470135000,14168,14168
1470138000,14117,14117
1470138600,14294,14294
1470140400,14302,14302
1470141600,14275,14275
1470142200,14508,14508
1470145200,14490,14490
1470145800,14757,14757
1470147600,14762,14762
1470148800,14702,14702
1470149400,14952,14952
1470152400,14913,14913
1470153000,15168,15168
1470154800,15172,15172
1470156000,15096,15096
1470156600,15300,15300
1470159600,15269,15269
1470160200,15420,15420
1470162000,15421,15421
1470163200,15378,15378
1470163800,15509,15509
1470166800,15459,15459
1470167400,15590,15590
1470169200,15594,15594
