DateTime,AddedIPs,RemovedIPs
1468402914,4,1
1468407794,0,4
1468411394,2,0
1468413711,2,5
1468414993,0,2
1468418531,4,0
1468422191,1,3
1468424569,4,0
1468429388,7,1
1468432927,3,5
1468435427,3,0
1468436586,0,5
1468440187,4,3
1468443784,3,3
1468446163,2,0
1468447325,0,2
1468450982,4,3
1468454581,2,3
1468456965,2,0
1468461780,1,6
1468465378,4,3
1468467757,2,0
1468468978,0,4
1468472637,3,0
1468476175,2,8
1468478554,2,0
1468479774,0,3
1468483374,2,2
1468486972,1,2
1468489351,2,0
1468494176,3,0
1468497768,5,0
1468500147,3,1
1468501435,0,4
1468504967,2,3
1468508566,2,4
1468510944,3,0
1468512225,0,1
1468515764,3,0
1468519363,3,1
1468521741,3,5
1468523022,0,6
1468526560,7,1
1468530159,1,3
1468532538,7,0
1468537364,4,5
1468541018,1,0
1468543396,1,3
1468544556,0,2
1468548155,2,0
1468551754,3,8
1468554193,5,0
1468555414,0,4
1468558951,4,0
1468562550,5,6
1468564991,3,0
1468566212,0,4
1468569810,0,3
1468573358,2,1
1468575788,5,0
1468580607,3,4
1468584207,5,6
1468586646,3,0
1468591404,4,2
1468595003,4,6
1468597382,6,0
1468602201,2,2
1468605740,1,5
1468608179,1,4
1468612998,3,3
1468616598,3,2
1468617756,2,0
1468620197,0,1
1468623734,6,3
1468627395,0,2
1468630994,1,5
1468634592,1,0
1468638191,6,11
1468641790,3,0
1468644778,3,6
1468648989,6,5
1468652588,4,5
1468655026,4,0
1468659785,3,4
1468663384,2,0
1468666982,2,4
1468670582,3,1
1468673266,3,0
1468674180,0,3
1468677779,2,0
1468681378,2,2
1468683818,0,1
1468688576,3,4
1468692175,1,2
1468695775,4,4
1468699434,4,0
1468706632,3,6
1468710170,4,1
1468713830,0,1
1468717369,6,6
1468721029,3,1
1468724628,7,4
1468728166,5,4
1468731215,5,3
1468735363,5,9
1468738962,1,5
1468741402,1,0
1468742561,0,2
1468746161,4,4
1468748661,2,0
1468749820,0,3
1468753358,4,0
1468757019,5,0
1468759458,3,1
1468764217,3,3
1468767754,1,5
1468771354,1,0
1468774953,1,0
1468777942,1,1
1468782152,3,1
1468785750,3,2
1468788251,3,2
1468792949,3,3
1468796609,6,3
1468803745,1,2
1468807405,5,0
1468811004,3,3
1468814603,6,8
1468818203,3,3
1468821802,2,0
1468825401,3,1
1468829000,3,3
1468832537,6,6
1468839796,4,3
1468843395,3,0
1468846995,4,0
1468850105,2,1
1468850594,0,2
1468854193,2,0
1468857791,0,2
1468861390,0,2
1468868589,2,1
1468871089,2,1
1468875787,5,4
1468879385,4,3
1468881886,4,0
1468882984,0,5
1468886583,3,0
1468890188,3,1
1468892683,1,0
1468897380,5,3
1468900980,2,4
1468903541,4,2
1468904578,0,1
1468908178,4,3
1468911777,1,0
1468914338,4,2
1468919001,3,2
1468922635,3,2
1468925135,1,3
1468929771,1,2
1468933370,4,3
1468935871,2,0
1468936969,0,2
1468940569,3,0
1468944228,1,3
1468946668,5,0
1468951426,2,3
1468954964,2,4
1468957465,1,2
1468962162,1,0
1468965761,3,3
1468968261,3,0
1468973019,4,1
1468976746,3,8
1468980218,7,6
1468983817,5,3
1468986927,1,0
1468990954,3,1
1468994559,3,7
1468998151,5,0
1469001819,3,0
1469004312,1,0
1469005417,0,1
1469009009,2,1
1469012609,6,1
1469016208,4,4
1469019807,3,0
1469022368,3,2
1469027004,2,3
1469030543,0,2
1469033165,5,4
1469037802,4,2
1469041401,2,6
1469044999,2,0
1469048600,3,0
1469051709,2,3
1469052325,0,1
1469055797,4,0
1469059395,2,2
1469061897,2,0
1469066594,1,3
1469070193,5,10
1469073731,4,3
1469077390,1,0
1469079952,4,2
1469084589,4,3
1469088188,2,7
1469090750,2,0
1469095386,2,0
1469098985,3,3
1469102585,3,3
1469106183,4,4
1469108805,2,0
1469113381,3,4
1469116979,3,0
1469120151,3,2
1469124177,0,5
1469127776,2,4
1469130948,5,0
1469134981,3,2
1469138573,2,2
1469141745,2,2
1469145772,0,4
1469149371,2,0
1469152176,1,0
1469156568,3,11
1469160229,5,3
1469163339,3,0
1469167366,4,4
1469170964,2,6
1469173588,2,0
1469178162,0,4
1469181822,1,0
1469184933,3,5
1469188959,6,1
1469192558,3,5
1469195121,2,0
1469199756,3,1
1469203417,3,0
1469206955,3,3
1469210554,3,3
1469217752,1,2
1469221411,3,2
1469224034,1,3
1469228548,3,4
1469232209,2,2
1469239407,4,3
1469242987,4,3
1469245568,3,6
1469250210,5,5
1469253741,3,0
1469256364,1,3
1469261000,1,6
1469264600,1,1
1469271797,3,4
1469275336,2,4
1469277958,4,0
1469282594,3,3
1469286193,1,0
1469288756,0,4
1469293391,4,1
1469300589,3,6
1469304188,5,4
1469307788,0,2
1469311387,3,0
1469314985,2,2
1469318585,1,3
1469322191,3,0
1469325722,4,0
1469329387,4,5
1469332981,2,7
1469336580,4,2
1469340179,2,0
1469343777,1,6
1469351037,3,3
1469354635,3,0
1469358187,3,1
1469361406,2,0
1469365432,3,9
1469372205,1,0
1469376170,2,3
1469379770,6,0
1469382699,2,3
1469383368,0,2
1469386967,3,3
1469390566,2,0
1469393799,3,2
1469397765,0,5
1469401363,7,0
1469404230,0,1
1469408623,1,1
1469412160,4,4
1469415393,4,0
1469419419,2,5
1469422957,5,4
1469430216,4,3
1469433815,3,6
1469436500,3,0
1469437353,0,1
1469440952,0,2
1469444612,5,0
1469447601,3,4
1469451817,11,3
1469455409,2,0
1469458643,3,2
1469462546,1,1
1469466146,1,0
1469469074,3,1
1469473405,3,1
1469476942,1,2
1469479688,1,0
1469484203,1,2
1469487800,6,0
1469491033,3,3
1469494998,1,3
1469498597,2,0
1469501830,3,4
1469505795,4,2
1469509333,6,5
1469512078,3,0
1469516592,3,2
1469520191,2,1
1469523424,2,0
1469527396,1,0
1469530989,5,5
1469533916,2,0
1469534588,0,4
1469538187,2,1
1469541786,1,1
1469545079,1,0
1469548983,2,2
