DateTime,Entries,UniqueIPs
1468396997,1482,1534
1468400597,1483,1535
1468402914,1487,1539
1468407794,1484,1536
1468411394,1484,1536
1468413711,1486,1538
1468418531,1486,1538
1468422191,1487,1539
1468424569,1488,1540
1468429388,1494,1546
1468432927,1493,1545
1468435427,1496,1548
1468436586,1493,1545
1468440187,1494,1546
1468443784,1495,1548
1468446163,1494,1547
1468450982,1494,1547
1468454581,1496,1549
1468456965,1498,1551
1468458182,1497,1550
1468461780,1499,1552
1468465378,1498,1551
1468467757,1500,1553
1468472637,1496,1549
1468476175,1498,1548
1468478554,1499,1549
1468483374,1499,1549
1468486972,1497,1547
1468489351,1499,1549
1468494176,1496,1546
1468497768,1499,1549
1468500147,1502,1552
1468504967,1501,1551
1468508566,1501,1551
1468510944,1504,1554
1468512225,1503,1553
1468515764,1506,1556
1468519363,1507,1557
1468521741,1508,1558
1468526560,1512,1562
1468530159,1508,1558
1468532538,1516,1566
1468533766,1513,1563
1468537364,1517,1567
1468541018,1516,1565
1468543396,1517,1566
1468548155,1516,1565
1468551754,1511,1560
1468554193,1516,1565
1468558951,1517,1566
1468562550,1518,1567
1468564991,1521,1570
1468566212,1520,1569
1468573358,1520,1569
1468575788,1525,1574
1468580607,1528,1577
1468584207,1530,1579
1468586646,1530,1579
1468591404,1525,1574
1468595003,1529,1578
1468597382,1535,1584
1468602201,1536,1585
1468605740,1533,1582
1468608179,1534,1583
1468612998,1527,1576
1468616598,1530,1579
1468617756,1531,1580
1468620197,1527,1576
1468623734,1533,1582
1468626235,1532,1581
1468627395,1531,1580
1468630994,1531,1580
1468634592,1532,1581
1468638191,1531,1580
1468641790,1534,1583
1468644778,1535,1584
1468648989,1531,1581
1468652588,1533,1583
1468655026,1537,1587
1468656187,1536,1586
1468659785,1538,1588
1468663384,1540,1590
1468666982,1534,1584
1468670582,1533,1583
1468673266,1536,1586
1468677779,1534,1584
1468681378,1533,1583
1468684978,1531,1581
1468688576,1531,1581
1468692175,1532,1582
1468695775,1534,1584
1468699434,1537,1587
1468702423,1538,1588
1468706632,1536,1586
1468710170,1539,1589
1468717369,1544,1594
1468721029,1546,1596
1468724628,1545,1595
1468728166,1550,1600
1468731215,1553,1603
1468735363,1554,1604
1468738962,1549,1599
1468741402,1550,1600
1468746161,1552,1602
1468748661,1554,1604
