DateTime,Entries,UniqueIPs
1468461780,1072,1072
1468465378,1072,1072
1468467757,1072,1072
1468472637,1071,1071
1468476175,1069,1069
1468478554,1068,1068
1468483374,1067,1067
1468486972,1065,1065
1468489351,1068,1068
1468494176,1067,1067
1468497768,1069,1069
1468500147,1069,1069
1468504967,1069,1069
1468508566,1071,1071
1468510944,1071,1071
1468512225,1067,1067
1468515764,1068,1068
1468519363,1066,1066
1468521741,1071,1071
1468523022,1070,1070
1468526560,1073,1073
1468530159,1075,1075
1468532538,1079,1079
1468533766,1076,1076
1468537364,1077,1077
1468541018,1076,1076
1468543396,1074,1074
1468548155,1069,1069
1468551754,1070,1070
1468554193,1069,1069
1468555414,1068,1068
1468558951,1068,1068
1468562550,1067,1067
1468564991,1067,1067
1468566212,1066,1066
1468569810,1064,1064
1468573358,1065,1065
1468575788,1066,1066
1468580607,1067,1067
1468584207,1069,1069
1468586646,1070,1070
1468591404,1071,1071
1468595003,1070,1070
1468597382,1072,1072
1468602201,1071,1071
1468605740,1072,1072
1468608179,1071,1071
1468612998,1070,1070
1468616598,1072,1072
1468617756,1073,1073
1468620197,1072,1072
1468623734,1072,1072
1468626235,1070,1070
1468630994,1071,1071
1468634592,1069,1069
1468638191,1071,1071
1468641790,1072,1072
1468644778,1067,1067
1468645388,1065,1065
1468648989,1067,1067
1468652588,1070,1070
1468655026,1068,1068
1468659785,1065,1065
1468663384,1065,1065
1468666982,1066,1066
1468670582,1065,1065
1468673266,1066,1066
1468677779,1065,1065
1468681378,1062,1062
1468683818,1061,1061
1468688576,1062,1062
1468692175,1059,1059
1468695775,1061,1061
1468699434,1062,1062
1468702423,1065,1065
1468706632,1062,1062
1468710170,1063,1063
1468712610,1062,1062
1468717369,1066,1066
1468721029,1066,1066
1468724628,1067,1067
1468728166,1066,1066
1468731215,1066,1066
1468731835,1065,1065
1468735363,1065,1065
1468738962,1064,1064
1468741402,1062,1062
1468746161,1061,1061
1468748661,1060,1060
1468753358,1064,1064
1468757019,1067,1067
1468759458,1066,1066
1468760617,1065,1065
1468764217,1064,1064
1468767754,1064,1064
1468771354,1064,1064
1468774953,1062,1062
1468777942,1060,1060
1468782152,1063,1063
1468785750,1061,1061
1468788251,1060,1060
1468789410,1058,1058
1468792949,1062,1062
1468796609,1059,1059
1468800146,1060,1060
1468803745,1061,1061
1468807405,1061,1061
1468811004,1061,1061
1468814603,1058,1058
1468818203,1059,1059
1468821802,1057,1057
