DateTime,AddedIPs,RemovedIPs
1467066781,1,0
1467073981,0,3
1467081181,0,1
1467088381,4,0
1467091982,0,1
1467099181,0,2
1467109981,0,2
1467117181,1,1
1467124381,0,1
1467131581,0,1
1467138781,2,1
1467145982,2,0
1467149581,0,1
1467153182,1,1
1467174781,2,2
1467178381,0,1
1467196381,2,0
1467199981,0,3
1467207181,2,0
1467214381,3,1
1467228781,4,0
1467235981,2,2
1467239581,3,0
1467243181,0,2
1467246781,2,0
1467264781,1,0
1467271981,1,0
1467279181,3,4
1467286381,0,3
1467293581,3,0
1467300781,2,1
1467304381,1,2
1467318781,0,1
1467325981,2,1
1467333181,5,2
1467351181,0,1
1467361981,1,0
1467365581,0,5
1467372781,0,5
1467376381,1,0
1467383581,1,1
1467390782,0,2
1467397981,5,0
1467405182,1,0
1467412381,0,2
1467423182,2,3
1467426781,0,1
1467433981,4,0
1467437582,0,1
1467441181,0,1
1467444782,2,0
1467455581,0,1
1467459181,1,0
1467466382,1,0
1467473581,1,4
1467477181,0,1
1467480781,5,0
1467487981,0,2
1467495181,4,0
1467502381,3,0
1467513182,1,1
1467520381,0,3
1467527582,2,0
1467531182,0,3
1467534781,1,0
1467541981,2,0
1467545581,0,2
1467552781,0,1
1467556382,1,0
1467559981,0,2
1467563581,3,0
1467570781,3,4
1467577981,0,5
1467585181,0,1
1467588781,6,0
1467595982,2,0
1467603181,0,1
1467624782,0,1
1467628381,0,3
1467631981,1,0
1467639181,1,0
1467642781,0,4
1467646382,3,1
1467657182,0,1
1467664381,1,1
1467671581,0,2
1467678781,1,3
1467685981,1,0
1467693182,1,3
1467703982,0,1
1467711181,0,2
1467718382,1,1
1467725581,2,0
1467729181,0,3
1467736382,0,2
1467739982,2,0
1467743581,0,1
1467750781,0,1
1467754381,0,3
1467761581,0,2
1467772381,1,1
1467775981,0,3
1467786782,1,1
1467793981,0,2
1467801181,0,6
1467808381,6,3
1467819181,0,1
1467822781,0,1
1467826381,1,0
1467829981,0,2
1467833581,3,0
1467837181,0,1
1467844382,0,1
1467847981,3,0
1467851581,0,1
1467855181,5,0
1467858781,0,2
1467862381,0,3
1467873181,0,1
1467883981,1,2
1467894781,4,0
1467901981,4,0
1467909181,0,1
1467916381,0,2
1467919982,5,1
1467927181,1,0
1467930781,0,1
1467934381,0,1
1467941581,1,0
1467945181,0,1
1467948781,1,0
1467952381,0,2
1467955981,2,0
1467959581,0,1
1467963181,1,0
1467966781,0,2
1467970383,1,0
1467973981,0,1
1467977582,6,0
1467981181,0,1
1467984781,0,3
1467991981,4,1
1467999181,3,1
1468006381,0,1
1468017181,4,3
1468024382,1,0
1468031581,2,0
1468045981,1,0
1468056781,1,3
1468063981,6,0
1468071181,0,1
1468074782,2,1
1468085581,3,2
1468092781,4,0
1468096382,0,1
1468099981,2,0
1468107181,4,0
1468114381,0,2
1468125181,3,0
1468132381,0,2
1468139582,4,0
1468143181,0,1
1468150382,1,0
1468153981,2,3
1468161181,0,1
1468164781,1,0
1468168381,0,3
1468171981,1,0
1468175581,0,3
1468182781,1,2
1468189981,2,0
1468193581,0,2
1468204381,1,0
1468215181,0,2
1468218781,3,0
1468222381,0,3
1468225981,0,2
1468233181,0,1
1468236781,2,0
1468243981,0,1
1468247582,0,2
1468258381,2,4
1468269181,0,1
1468272781,2,0
1468276382,0,2
1468279981,0,1
1468283581,2,0
1468290781,2,0
1468308781,0,1
1468319581,2,0
1468323182,0,1
1468326781,4,0
1468333981,0,2
1468348381,3,0
1468359181,3,1
1468369981,1,0
1468373581,0,1
1468380781,1,0
1468387981,2,0
1468395182,0,1
1468398781,2,0
1468409581,1,2
1468420381,0,1
1468427581,10,0
1468431181,0,1
1468434781,4,0
1468438381,0,1
1468445582,0,1
1468449181,0,1
1468456381,0,2
1468463581,0,2
1468470782,1,0
1468481581,0,1
1468485182,0,1
1468492381,2,0
1468499581,1,4
1468510381,0,1
1468521182,0,4
1468524781,3,0
1468528381,0,6
1468531981,1,0
1468542781,1,0
1468546382,0,2
1468549982,1,0
1468557182,1,1
1468567981,1,0
1468575182,0,2
1468578781,2,0
1468582381,0,1
1468585981,2,0
1468593181,2,0
1468596781,0,2
1468607582,1,0
1468611181,0,1
1468614781,2,0
1468621981,0,1
1468629182,0,2
1468636382,3,2
1468647181,0,1
1468657981,0,1
1468665182,0,1
1468679581,2,3
1468686781,0,4
1468690381,8,0
1468693981,0,2
1468697582,1,0
1468704781,0,2
1468711982,3,0
1468719181,1,1
1468726381,2,0
1468733581,2,0
1468737181,0,2
1468740782,2,0
1468747983,1,0
1468758781,1,3
1468765982,2,0
1468769581,0,1
1468773182,2,0
1468776781,0,1
1468783981,2,1
1468791181,0,1
1468798381,0,2
1468801981,1,0
1468805581,0,2
1468809181,3,0
1468816381,1,1
1468819982,0,2
1468823581,1,0
1468837981,2,0
1468841581,0,1
1468848781,0,1
1468852381,2,0
1468859581,2,0
1468863181,0,1
1468866782,10,0
1468870381,0,4
1468873981,1,2
1468881181,1,0
1468888381,1,1
1468895581,0,2
1468899182,1,0
1468902781,0,2
1468906381,1,0
1468909981,0,1
1468913581,1,0
1468920781,3,0
1468924381,0,1
1468931581,1,5
1468942381,2,0
1468953182,0,8
1468956781,4,0
1468960382,0,3
1468963981,2,0
1468971181,1,0
1468974781,0,4
1468981981,0,5
1468985581,2,0
1468989181,0,3
1468992782,1,0
1468999981,3,0
1469003581,0,2
1469007181,2,0
1469014381,2,0
1469021581,2,0
1469028781,8,4
1469035981,1,0
1469039581,0,1
1469046781,0,1
1469050381,1,0
1469057581,0,2
1469064782,2,0
