DateTime,AddedIPs,RemovedIPs
1466461981,8,6
1466469181,11,10
1466476381,10,8
1466487181,15,17
1466494381,6,7
1466505181,6,7
1466512381,8,10
1466519581,4,3
1466530381,12,12
1466537582,11,12
1466544782,5,7
1466551981,6,5
1466562781,7,6
1466569981,7,8
1466577181,10,9
1466584381,10,10
1466595181,11,11
1466602381,6,5
1466609581,5,6
1466616781,4,3
1466631181,14,17
1466638381,9,7
1466645581,6,5
1466652781,5,5
1466659981,9,10
1466670781,14,11
1466677981,10,9
1466685181,12,13
1466695981,2,3
1466703181,11,12
1466713981,10,10
1466724781,8,9
1466731981,16,14
1466742781,5,5
1466749982,9,6
1466760782,13,15
1466767981,8,14
1466775181,6,3
1466782381,11,9
1466789581,6,5
1466800381,6,5
1466803981,5,8
1466811181,16,11
1466818381,9,13
1466825582,4,5
1466832781,6,6
1466839981,5,5
1466850781,11,9
1466857981,9,9
1466868781,13,16
1466875981,11,10
1466886781,3,3
1466893981,8,8
1466901182,16,16
1466908382,11,10
1466915581,6,6
1466926381,12,14
1466933581,5,4
1466940781,7,10
1466951582,6,6
1466958781,14,15
1466965981,16,14
1466973181,9,9
1466983982,9,7
1466991181,8,6
1467001981,9,12
1467009181,9,6
1467019981,16,14
1467027181,10,11
1467037981,11,13
1467045181,5,8
1467055981,14,11
1467063181,10,11
1467066781,4,4
1467073981,7,8
1467088381,19,16
1467091982,6,6
1467099181,5,6
1467106381,12,11
1467117181,10,10
1467124381,3,6
1467131581,9,11
1467138781,10,8
1467145982,13,12
1467153182,9,10
1467160381,10,10
1467167581,6,6
1467174781,10,10
1467181981,4,2
1467189181,5,5
1467196381,12,14
1467199981,8,6
1467207181,10,10
1467214381,8,7
1467221581,10,9
1467228781,10,12
1467235981,4,7
1467239581,12,11
1467246781,7,6
1467253981,5,4
1467257582,8,7
1467264781,7,5
1467271981,10,10
1467279181,5,7
1467286381,13,12
1467293581,7,8
1467300781,8,6
1467304381,8,8
1467311581,7,10
1467318781,3,3
1467325981,7,8
1467333181,12,12
1467340381,5,4
1467347581,2,4
1467354781,7,6
1467361981,9,8
1467369182,4,4
1467376381,6,7
1467383581,17,17
1467390782,6,6
1467397981,10,11
1467405182,4,4
1467408781,3,3
1467415981,5,6
1467423182,11,7
1467433981,13,10
1467444782,11,10
1467451981,13,10
1467459181,7,10
1467466382,5,4
1467473581,7,10
1467480781,15,17
1467487981,1,2
1467495181,6,8
1467502381,7,5
1467513182,8,9
1467520381,4,4
1467527582,12,8
1467534781,10,9
1467541981,13,10
1467549181,2,6
1467556382,7,5
1467563581,7,10
1467570781,9,8
1467577981,11,12
1467588781,14,17
1467595982,6,5
1467603181,2,3
1467610381,8,7
1467617581,7,6
1467624782,11,12
1467631981,8,8
1467639181,9,6
1467646382,8,11
1467653581,6,7
1467664381,8,7
1467671581,8,10
1467678781,15,14
1467685981,4,3
1467693182,6,4
1467703982,9,11
1467718382,11,14
1467725581,11,9
1467732781,12,13
1467739982,7,6
1467750781,3,3
1467757981,10,8
1467765181,6,8
1467772381,11,10
1467779581,5,6
1467786782,8,6
1467793981,8,6
1467801181,3,4
1467808381,10,9
1467819181,12,13
1467826381,6,11
1467833581,10,8
1467840781,6,8
1467847981,10,9
1467855181,9,8
1467862381,12,12
1467869582,7,6
1467876781,11,8
